objectid,parentid,title,creator,date,archival date,description,site number,subject,location,latitude,longitude,source,identifier,type,format original,format,language,rights,rightsstatement,finding aid,display_template,filename,object_location,image_small,image_thumb
latahsites0016a,latahsites0016,Scenic 6 Park [01],"Nielsen, Cameron",2023,2023,,51,,,,,,scenic-6-park-2,Image;StillImage,color photograph,image/jpeg,eng,"In copyright, educational use permitted. Educational use includes non-commercial reproduction of text and images in materials for teaching and research purposes. For other contexts beyond fair use, including digital reproduction, please contact the University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu. The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/InC-EDU/1.0/,,image,scenic-6-park-2.jpg,https://objects.lib.uidaho.edu/latahsites/scenic-6-park-2.jpg,https://objects.lib.uidaho.edu/latahsites/small/scenic-6-park-2_sm.jpg,https://objects.lib.uidaho.edu/latahsites/thumbs/scenic-6-park-2_th.jpg
latahsites0016b,latahsites0016,Scenic 6 Park [02],"Nielsen, Cameron",2023,2023,,51,,,,,,scenic-6-park,Image;StillImage,color photograph,image/jpeg,eng,"In copyright, educational use permitted. Educational use includes non-commercial reproduction of text and images in materials for teaching and research purposes. For other contexts beyond fair use, including digital reproduction, please contact the University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu. The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/InC-EDU/1.0/,,image,scenic-6-park.jpg,https://objects.lib.uidaho.edu/latahsites/scenic-6-park.jpg,https://objects.lib.uidaho.edu/latahsites/small/scenic-6-park_sm.jpg,https://objects.lib.uidaho.edu/latahsites/thumbs/scenic-6-park_th.jpg
latahsites0016c,latahsites0016,Scenic 6 Park [03],"Romig, M. L.",1906-01-01,January 1906,,51,,,,,"Clifford M. Ott Collection, PG 90, University of Idaho Library Special Collections and Archives",90-05-027,Image;StillImage,black and white photograph,image/jpeg,eng,"Material has likely passed into public domain. Digital reproductions are made available by University of Idaho Library for educational purposes, and future use should acknowledge this repository. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu. The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/NoC-US/1.0/,,image,90-05-027.jpg,https://objects.lib.uidaho.edu/latahsites/90-05-027.jpg,https://objects.lib.uidaho.edu/latahsites/small/90-05-027_sm.jpg,https://objects.lib.uidaho.edu/latahsites/thumbs/90-05-027_th.jpg
latahsites0017,,Bachelor Shacks,,,,"The Bennett family built these cabins in the late 1920s. At that time, high schoolers at Deary High School boarded at the cabins during the week and walked home on the weekends.",9,cabin; high school; ,"Deary, Idaho ",46.7996667,-116.5599455,,,,,,,,,,historic_site,,,https://objects.lib.uidaho.edu/latahsites/small/bachelor-shacks-2_sm.jpg,https://objects.lib.uidaho.edu/latahsites/thumbs/bachelor-shacks-2_th.jpg
latahsites0017a,latahsites0017,Bachelor Shacks [01],"Nielsen, Cameron",2023,2023,,9,,,,,,bachelor-shacks-2,Image;StillImage,color photograph,image/jpeg,eng,"In copyright, educational use permitted. Educational use includes non-commercial reproduction of text and images in materials for teaching and research purposes. For other contexts beyond fair use, including digital reproduction, please contact the University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu. The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/InC-EDU/1.0/,,image,bachelor-shacks-2.jpg,https://objects.lib.uidaho.edu/latahsites/bachelor-shacks-2.jpg,https://objects.lib.uidaho.edu/latahsites/small/bachelor-shacks-2_sm.jpg,https://objects.lib.uidaho.edu/latahsites/thumbs/bachelor-shacks-2_th.jpg
latahsites0017b,latahsites0017,Bachelor Shacks [02],,2010,2010,Photograph of the Bachelor Shacks from the 2010 Bovill Run publication. ,9,,,,,,LCHS Bovill Run,Image;StillImage,color photograph,image/jpeg,eng,"In copyright, educational use permitted. Educational use includes non-commercial reproduction of text and images in materials for teaching and research purposes. For other contexts beyond fair use, including digital reproduction, please contact the University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu. The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/InC-EDU/1.0/,,image,bachelor-shacks-1.jpg,https://objects.lib.uidaho.edu/latahsites/bachelor-shacks-1.jpg,https://objects.lib.uidaho.edu/latahsites/small/bachelor-shacks-1_sm.jpg,https://objects.lib.uidaho.edu/latahsites/thumbs/bachelor-shacks-1_th.jpg
latahsites0018,,Campbell House ,,,,A 1927 Arts and Tudor Revival house built by Harry H. Camp- bell. He was a local contractor and painter who became an accomplished artist in his retirement years.,65,Homes; tudor; historic building ,"Troy, Idaho",46.73631766,-116.7684136,,,,,,,,,,historic_site,,,https://objects.lib.uidaho.edu/latahsites/small/campbell-house-2_sm.jpg,https://objects.lib.uidaho.edu/latahsites/thumbs/campbell-house-2_th.jpg
latahsites0018a,latahsites0018,Campbell House [01],"Nielsen, Cameron",2023,2023,,65,,,,,,campbell-house-2,Image;StillImage,color photograph,image/jpeg,eng,"In copyright, educational use permitted. Educational use includes non-commercial reproduction of text and images in materials for teaching and research purposes. For other contexts beyond fair use, including digital reproduction, please contact the University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu. The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/InC-EDU/1.0/,,image,campbell-house-2.jpg,https://objects.lib.uidaho.edu/latahsites/campbell-house-2.jpg,https://objects.lib.uidaho.edu/latahsites/small/campbell-house-2_sm.jpg,https://objects.lib.uidaho.edu/latahsites/thumbs/campbell-house-2_th.jpg
latahsites0019,,Chevron Station ,,,,"Once Dinsmore's Texaco in 1925, he advertised that he washed windshields and may have been the first in the state to do so. It became a Chevron Station in 1931. This art deco repurposed service station is the pride of Troy. Now known as the Filling Station, it serves wonderful lunches, homemade pastries, and specialty ",62,Gas station; restaurant; Texaco,"Troy, Idaho","46.73524271517113, -116.76705881683006",-116.7670588,,,,,,,,,,historic_site,,,https://objects.lib.uidaho.edu/latahsites/small/chevron-station_sm.jpg,https://objects.lib.uidaho.edu/latahsites/thumbs/chevron-station_th.jpg
latahsites0019a,latahsites0019,Chevron Station [01],"Nielsen, Cameron",2023,2023,,62,,,,,,chevron-station,Image;StillImage,color photograph,image/jpeg,eng,"In copyright, educational use permitted. Educational use includes non-commercial reproduction of text and images in materials for teaching and research purposes. For other contexts beyond fair use, including digital reproduction, please contact the University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu. The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/InC-EDU/1.0/,,image,chevron-station.jpg,https://objects.lib.uidaho.edu/latahsites/chevron-station.jpg,https://objects.lib.uidaho.edu/latahsites/small/chevron-station_sm.jpg,https://objects.lib.uidaho.edu/latahsites/thumbs/chevron-station_th.jpg
latahsites0019b,latahsites0019,Chevron Station [02],,1930,1930-1939,Homer Dinsmore built this service station in 1925 and operated it for 12 years. ,62,,,,,"Latah County Historical Society, Moscow, ID",15-3-46_47,Image;StillImage,sepia tint photograph,image/jpeg,eng,"In copyright, educational use permitted. Educational use includes non-commercial reproduction of text and images in materials for teaching and research purposes. For other contexts beyond fair use, including digital reproduction, please contact the University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu. The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/InC-EDU/1.0/,,image,15-3-46_47.jpg,https://objects.lib.uidaho.edu/latahsites/15-3-46_47.jpg,https://objects.lib.uidaho.edu/latahsites/small/15-3-46_47_sm.jpg,https://objects.lib.uidaho.edu/latahsites/thumbs/15-3-46_47_th.jpg
latahsites0020,,Fuzzy's,,,,"This business was built in 1946 and opened in 1947. In earlier years, Fuzzy’s offered breakfasts for the loggers, soup and sandwich lunches, hand-pattied burgers and beer. Fuzzy’s is still a popular meeting place for a burger and milkshake, or a beer.",10,Restaurant; bar; logging,"Deary, Idaho ",46.79948759,-116.5597417,,,,,,,,,,historic_site,,,https://objects.lib.uidaho.edu/latahsites/small/fuzzys-3_sm.jpg,https://objects.lib.uidaho.edu/latahsites/thumbs/fuzzys-3_th.jpg
latahsites0020a,latahsites0020,Fuzzy's [01],"Nielsen, Cameron",2023,2023,,10,,,,,,fuzzys-3,Image;StillImage,color photograph,image/jpeg,eng,"In copyright, educational use permitted. Educational use includes non-commercial reproduction of text and images in materials for teaching and research purposes. For other contexts beyond fair use, including digital reproduction, please contact the University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu. The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/InC-EDU/1.0/,,image,fuzzys-3.jpg,https://objects.lib.uidaho.edu/latahsites/fuzzys-3.jpg,https://objects.lib.uidaho.edu/latahsites/small/fuzzys-3_sm.jpg,https://objects.lib.uidaho.edu/latahsites/thumbs/fuzzys-3_th.jpg
latahsites0021,,Hotel Rietmann,,,,"This impressive building was the first constructed of brick in Troy in 1898. This hotel featured lace curtains in the 21 sleeping rooms, a dining room, and bar on the lower level.",63,Hotel; architecture; historic building; bar,"Troy, Idaho",46.73431752,-116.7671389,,,,,,,,,,historic_site,,,https://objects.lib.uidaho.edu/latahsites/small/hotel-rietmann-2_sm.jpg,https://objects.lib.uidaho.edu/latahsites/thumbs/hotel-rietmann-2_th.jpg
latahsites0021a,latahsites0021,Hotel Rietmann [01],"Nielsen, Cameron",2023,2023,,63,,,,,,hotel-rietmann-2,Image;StillImage,color photograph,image/jpeg,eng,"In copyright, educational use permitted. Educational use includes non-commercial reproduction of text and images in materials for teaching and research purposes. For other contexts beyond fair use, including digital reproduction, please contact the University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu. The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/InC-EDU/1.0/,,image,hotel-rietmann-2.jpg,https://objects.lib.uidaho.edu/latahsites/hotel-rietmann-2.jpg,https://objects.lib.uidaho.edu/latahsites/small/hotel-rietmann-2_sm.jpg,https://objects.lib.uidaho.edu/latahsites/thumbs/hotel-rietmann-2_th.jpg
latahsites0021b,latahsites0021,Hotel Rietmann [02],"Nielsen, Cameron",2023,2023,,63,,,,,,hotel-rietmann,Image;StillImage,color photograph,image/jpeg,eng,"In copyright, educational use permitted. Educational use includes non-commercial reproduction of text and images in materials for teaching and research purposes. For other contexts beyond fair use, including digital reproduction, please contact the University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu. The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/InC-EDU/1.0/,,image,hotel-rietmann.jpg,https://objects.lib.uidaho.edu/latahsites/hotel-rietmann.jpg,https://objects.lib.uidaho.edu/latahsites/small/hotel-rietmann_sm.jpg,https://objects.lib.uidaho.edu/latahsites/thumbs/hotel-rietmann_th.jpg
latahsites0021c,latahsites0021,Hotel Rietmann [03],,1918,1918,"Historic view of downtown Troy, ID during an Armistice Day Parade. The Hotel Rietmann can be partially seen (first building on left).",63,,,,,"Idaho photograph collection, PG 005, University of Idaho Library Special Collections and Archives",5-077-05a,Image;StillImage,black and white photograph,image/jpeg,eng,"Material has likely passed into public domain. Digital reproductions are made available by University of Idaho Library for educational purposes, and future use should acknowledge this repository. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu. The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/NoC-US/1.0/,,image,5-077-05a.jpg,https://objects.lib.uidaho.edu/latahsites/5-077-05a.jpg,https://objects.lib.uidaho.edu/latahsites/small/5-077-05a_sm.jpg,https://objects.lib.uidaho.edu/latahsites/thumbs/5-077-05a_th.jpg
latahsites0022,,Latah County State Bank,,,,"This brick building, constructed in 1908, was the only one in the block to survive the fire of 1923. One arched entrance leads to an upstairs lodge hall and the other to the post office that still uses the original vault.",8,Buildings; architecture; bank,"Deary, Idaho",46.80121547,-116.5607871,,,,,,,,,,historic_site,,,https://objects.lib.uidaho.edu/latahsites/small/latah-county-state-bank-3_sm.jpg,https://objects.lib.uidaho.edu/latahsites/thumbs/latah-county-state-bank-3_th.jpg
latahsites0022a,latahsites0022,Latah County State Bank [01],"Nielsen, Cameron",2023,2023,,8,,,,,,latah-county-state-bank-3,Image;StillImage,color photograph,image/jpeg,eng,"In copyright, educational use permitted. Educational use includes non-commercial reproduction of text and images in materials for teaching and research purposes. For other contexts beyond fair use, including digital reproduction, please contact the University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu. The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/InC-EDU/1.0/,,image,latah-county-state-bank-3.jpg,https://objects.lib.uidaho.edu/latahsites/latah-county-state-bank-3.jpg,https://objects.lib.uidaho.edu/latahsites/small/latah-county-state-bank-3_sm.jpg,https://objects.lib.uidaho.edu/latahsites/thumbs/latah-county-state-bank-3_th.jpg
latahsites0022b,latahsites0022,Latah County State Bank [02],,1906-06-01,June 1906,"Historic image of the Latah County Bank in Deary, ID. Picture from Al Hoffman of Moscow.",8,,,,,"Clifford M. Ott Collection, PG 90, University of Idaho Library Special Collections and Archives",90-05-089,Image;StillImage,black and white photograph,image/jpeg,eng,"Material has likely passed into public domain. Digital reproductions are made available by University of Idaho Library for educational purposes, and future use should acknowledge this repository. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu. The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/NoC-US/1.0/,,image,90-05-089.jpg,https://objects.lib.uidaho.edu/latahsites/90-05-089.jpg,https://objects.lib.uidaho.edu/latahsites/small/90-05-089_sm.jpg,https://objects.lib.uidaho.edu/latahsites/thumbs/90-05-089_th.jpg
latahsites0023,,Old Hospital,,,,This large home was purchased in 1926 by Dr. Charles Meyers. He set up his practice here and expanded it into a hospital that served the area for fifteen years. It has since been converted to a private residence.,66,hospital; buildings; exterior,"Troy, Idaho",46.73436951,-116.7661037,,,,,,,,,,historic_site,,,https://objects.lib.uidaho.edu/latahsites/small/old-hospital-2_sm.jpg,https://objects.lib.uidaho.edu/latahsites/thumbs/old-hospital-2_th.jpg
latahsites0023a,latahsites0023,Old Hospital [01],"Nielsen, Cameron",2023,2023,,66,,,,,,old-hospital-2,Image;StillImage,color photograph,image/jpeg,eng,"In copyright, educational use permitted. Educational use includes non-commercial reproduction of text and images in materials for teaching and research purposes. For other contexts beyond fair use, including digital reproduction, please contact the University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu. The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/InC-EDU/1.0/,,image,old-hospital-2.jpg,https://objects.lib.uidaho.edu/latahsites/old-hospital-2.jpg,https://objects.lib.uidaho.edu/latahsites/small/old-hospital-2_sm.jpg,https://objects.lib.uidaho.edu/latahsites/thumbs/old-hospital-2_th.jpg
latahsites0024,,Ole and Axel Bohman House,,,,Built by pioneer family brothers Ole and Axel Bohman. Ole was the president of the First Bank of Troy and Axel headed the Troy Lumber Company. From these homes one can look to the south and see most of the City of Troy.,67,Buildings; pioneer; lumber,"Troy, Idaho",46.73885737,-116.7714105,,,,,,,,,,historic_site,,,https://objects.lib.uidaho.edu/latahsites/small/ole-and-axel_sm.jpg,https://objects.lib.uidaho.edu/latahsites/thumbs/ole-and-axel_th.jpg
latahsites0024a,latahsites0024,Ole and Axel Bohman House [01],"Nielsen, Cameron",2023,2023,,67,,,,,,ole-and-axel,Image;StillImage,color photograph,image/jpeg,eng,"In copyright, educational use permitted. Educational use includes non-commercial reproduction of text and images in materials for teaching and research purposes. For other contexts beyond fair use, including digital reproduction, please contact the University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu. The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/InC-EDU/1.0/,,image,ole-and-axel.jpg,https://objects.lib.uidaho.edu/latahsites/ole-and-axel.jpg,https://objects.lib.uidaho.edu/latahsites/small/ole-and-axel_sm.jpg,https://objects.lib.uidaho.edu/latahsites/thumbs/ole-and-axel_th.jpg
latahsites0024b,latahsites0024,Ole and Axel Bohman House [02],"Nielsen, Cameron",2023,2023,,67,,,,,,ole-and-axel-2,Image;StillImage,color photograph,image/jpeg,eng,"In copyright, educational use permitted. Educational use includes non-commercial reproduction of text and images in materials for teaching and research purposes. For other contexts beyond fair use, including digital reproduction, please contact the University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu. The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/InC-EDU/1.0/,,image,ole-and-axel-2.jpg,https://objects.lib.uidaho.edu/latahsites/ole-and-axel-2.jpg,https://objects.lib.uidaho.edu/latahsites/small/ole-and-axel-2_sm.jpg,https://objects.lib.uidaho.edu/latahsites/thumbs/ole-and-axel-2_th.jpg
latahsites0025,,Pie Safe and Bakery ,,,,"The bakery and Brush Creek Creamery are located in a 1920s service station. The old safe was converted to a brick baking oven. Original red fir floors are still intact. They feature delicious homemade pastries, soups, pizzas and cheeses, as well as handmade soaps, jams, candles, quilts, and more. Open Tues. – Sat.",7,Bakery; Creamery; Service Station,"Deary, Idaho",46.7998917,-116.5611832,,,,,,,,,,historic_site,,,https://objects.lib.uidaho.edu/latahsites/small/pie-safe-3_sm.jpg,https://objects.lib.uidaho.edu/latahsites/thumbs/pie-safe-3_th.jpg
latahsites0025a,latahsites0025,Pie Safe and Bakery [01],"Nielsen, Cameron",2023,2023,,7,,,,,,pie-safe-3,Image;StillImage,color photograph,image/jpeg,eng,"In copyright, educational use permitted. Educational use includes non-commercial reproduction of text and images in materials for teaching and research purposes. For other contexts beyond fair use, including digital reproduction, please contact the University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu. The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/InC-EDU/1.0/,,image,pie-safe-3.jpg,https://objects.lib.uidaho.edu/latahsites/pie-safe-3.jpg,https://objects.lib.uidaho.edu/latahsites/small/pie-safe-3_sm.jpg,https://objects.lib.uidaho.edu/latahsites/thumbs/pie-safe-3_th.jpg
latahsites0025b,latahsites0025,Pie Safe and Bakery [02],,1940,1940-1949,,7,,,,,"Latah County Historical Society, Moscow, ID",04-03-026,Image;StillImage,black and white photograph,image/jpeg,eng,"In copyright, educational use permitted. Educational use includes non-commercial reproduction of text and images in materials for teaching and research purposes. For other contexts beyond fair use, including digital reproduction, please contact the University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu. The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/InC-EDU/1.0/,,image,04-03-026.jpg,https://objects.lib.uidaho.edu/latahsites/04-03-026.jpg,https://objects.lib.uidaho.edu/latahsites/small/04-03-026_sm.jpg,https://objects.lib.uidaho.edu/latahsites/thumbs/04-03-026_th.jpg
latahsites0026,,Troy Downtown Historic District,,,,Two blocks of Troy’s Main Street are significant as the center of capitalism and trade for over a century. The brick construction is eye catching.,64,Brick buildings; architecture; historic buildings,"Troy, Idaho",46.73570864,-116.7686899,,,,,,,,,,historic_site,,,https://objects.lib.uidaho.edu/latahsites/small/troy-downtown_sm.jpg,https://objects.lib.uidaho.edu/latahsites/thumbs/troy-downtown_th.jpg
latahsites0026a,latahsites0026,Troy Downtown Historic District [01],"Nielsen, Cameron",2023,2023,,64,,,,,,troy-downtown,Image;StillImage,color photograph,image/jpeg,eng,"In copyright, educational use permitted. Educational use includes non-commercial reproduction of text and images in materials for teaching and research purposes. For other contexts beyond fair use, including digital reproduction, please contact the University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu. The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/InC-EDU/1.0/,,image,troy-downtown.jpg,https://objects.lib.uidaho.edu/latahsites/troy-downtown.jpg,https://objects.lib.uidaho.edu/latahsites/small/troy-downtown_sm.jpg,https://objects.lib.uidaho.edu/latahsites/thumbs/troy-downtown_th.jpg
latahsites0026b,latahsites0026,Troy Downtown Historic District [02],,1891,1890-1895,"Looking southeast at Main Street in Troy, Idaho during winter.",64,,,,,"Clifford M. Ott Collection, PG 90, University of Idaho Library Special Collections and Archives",PG90_04_146,Image;StillImage,black and white photograph,image/jpeg,eng,"Material has likely passed into public domain. Digital reproductions are made available by University of Idaho Library for educational purposes, and future use should acknowledge this repository. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu. The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/NoC-US/1.0/,,image,PG90_04_146.jpg,https://objects.lib.uidaho.edu/latahsites/PG90_04_146.jpg,https://objects.lib.uidaho.edu/latahsites/small/pg90_04_146_sm.jpg,https://objects.lib.uidaho.edu/latahsites/thumbs/pg90_04_146_th.jpg
latahsites0026c,latahsites0026,Troy Downtown Historic District [03],,1903,1900-1905,"Looking northwest at Main Street in Troy, Idaho.",64,,,,,"Clifford M. Ott Collection, PG 90, University of Idaho Library Special Collections and Archives",PG90_04_147,Image;StillImage,black and white photograph,image/jpeg,eng,"Material has likely passed into public domain. Digital reproductions are made available by University of Idaho Library for educational purposes, and future use should acknowledge this repository. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu. The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/NoC-US/1.0/,,image,PG90_04_147.jpg,https://objects.lib.uidaho.edu/latahsites/PG90_04_147.jpg,https://objects.lib.uidaho.edu/latahsites/small/pg90_04_147_sm.jpg,https://objects.lib.uidaho.edu/latahsites/thumbs/pg90_04_147_th.jpg
latahsites0027,,Troy Museum ,,,,"Troy’s Historical Society and museum, a fun place to visit.",68,Museum; attraction; Historical society ,"Troy, Idaho",46.73506573,-116.7680425,,,,,,,,,,historic_site,,,https://objects.lib.uidaho.edu/latahsites/small/troy-museum-2_sm.jpg,https://objects.lib.uidaho.edu/latahsites/thumbs/troy-museum-2_th.jpg
latahsites0027a,latahsites0027,Troy Museum [01],"Nielsen, Cameron",2023,2023,,68,,,,,,troy-museum-2,Image;StillImage,color photograph,image/jpeg,eng,"In copyright, educational use permitted. Educational use includes non-commercial reproduction of text and images in materials for teaching and research purposes. For other contexts beyond fair use, including digital reproduction, please contact the University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu. The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/InC-EDU/1.0/,,image,troy-museum-2.jpg,https://objects.lib.uidaho.edu/latahsites/troy-museum-2.jpg,https://objects.lib.uidaho.edu/latahsites/small/troy-museum-2_sm.jpg,https://objects.lib.uidaho.edu/latahsites/thumbs/troy-museum-2_th.jpg
latahsites0028,,Troy RV Park ,,,,This seasonal RV Park provides nine pull-through spots for recreational vehicles from April 1st to November 30th. Please contact the Troy City Hall to find out more at 208-835-2741.,69,camping; parking; park,"Troy, Idaho",46.73210688,-116.7662684,,,,,,,,,,historic_site,,,https://objects.lib.uidaho.edu/latahsites/small/troy-rv-park-3_sm.jpg,https://objects.lib.uidaho.edu/latahsites/thumbs/troy-rv-park-3_th.jpg
latahsites0028a,latahsites0028,Troy RV Park [01],"Nielsen, Cameron",2023,2023,,69,,,,,,troy-rv-park-3,Image;StillImage,color photograph,image/jpeg,eng,"In copyright, educational use permitted. Educational use includes non-commercial reproduction of text and images in materials for teaching and research purposes. For other contexts beyond fair use, including digital reproduction, please contact the University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu. The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/InC-EDU/1.0/,,image,troy-rv-park-3.jpg,https://objects.lib.uidaho.edu/latahsites/troy-rv-park-3.jpg,https://objects.lib.uidaho.edu/latahsites/small/troy-rv-park-3_sm.jpg,https://objects.lib.uidaho.edu/latahsites/thumbs/troy-rv-park-3_th.jpg
latahsites0029,,Kendrick Cafe and Spirits,,,,"In 1892 this was a saloon. Later it operated as a barber shop, a bath, and a grocery store. Since 1904 it has been serving food. Long time owners Burt and Vera Souders operated it as “Burt’s Café” for many years. You will find a friendly diner environment with a full menu of delicious food. Previous names include Archie's and JoJo's.",25,Diner; saloon; barber shop,"Kendrick, Idaho",46.61423882,-116.6502589,,,,,,,,,,historic_site,,,https://objects.lib.uidaho.edu/latahsites/small/burts-cafe_sm.jpg,https://objects.lib.uidaho.edu/latahsites/thumbs/burts-cafe_th.jpg
latahsites0029a,latahsites0029,Kendrick Cafe and Spirits [01],"Nielsen, Cameron",2023,2023,,25,,,,,,burts-cafe,Image;StillImage,color photograph,image/jpeg,eng,"In copyright, educational use permitted. Educational use includes non-commercial reproduction of text and images in materials for teaching and research purposes. For other contexts beyond fair use, including digital reproduction, please contact the University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu. The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/InC-EDU/1.0/,,image,burts-cafe.jpg,https://objects.lib.uidaho.edu/latahsites/burts-cafe.jpg,https://objects.lib.uidaho.edu/latahsites/small/burts-cafe_sm.jpg,https://objects.lib.uidaho.edu/latahsites/thumbs/burts-cafe_th.jpg
latahsites0029b,latahsites0029,Kendrick Cafe and Spirits [02],,,,"Historic image of burt's Fountain Cafe located in Kendrick, Idaho.",25,,,,,,burts-cage-002,Image;StillImage,black and white photograph,image/jpeg,eng,"In copyright, educational use permitted. Educational use includes non-commercial reproduction of text and images in materials for teaching and research purposes. For other contexts beyond fair use, including digital reproduction, please contact the University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu. The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/InC-EDU/1.0/,,image,burts.jpg,https://objects.lib.uidaho.edu/latahsites/burts.jpg,https://objects.lib.uidaho.edu/latahsites/small/burts_sm.jpg,https://objects.lib.uidaho.edu/latahsites/thumbs/burts_th.jpg
latahsites0030,,Bank of Juliaetta,,,,"J. L. Hallett established the Bank of Juliaetta in 1889. It boasted pressed metal ceilings and a huge vault. In 1931, the bank merged with the Kendrick State Bank. Since that time, it has been a confectionary and home of the post office for many years. It is now the First Bank of Pizza.",16,Bank; restaurant; buildings,"Juliaetta, Idaho",46.57807784,-116.7070212,,,,,,,,,,historic_site,,,https://objects.lib.uidaho.edu/latahsites/small/bank-of-juliaetta-2_sm.jpg,https://objects.lib.uidaho.edu/latahsites/thumbs/bank-of-juliaetta-2_th.jpg
latahsites0030a,latahsites0030,Bank of Juliaetta [01],"Nielsen, Cameron",2023,2023,,16,,,,,,bank-of-juliaetta-2,Image;StillImage,color photograph,image/jpeg,eng,"In copyright, educational use permitted. Educational use includes non-commercial reproduction of text and images in materials for teaching and research purposes. For other contexts beyond fair use, including digital reproduction, please contact the University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu. The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/InC-EDU/1.0/,,image,bank-of-juliaetta-2.jpg,https://objects.lib.uidaho.edu/latahsites/bank-of-juliaetta-2.jpg,https://objects.lib.uidaho.edu/latahsites/small/bank-of-juliaetta-2_sm.jpg,https://objects.lib.uidaho.edu/latahsites/thumbs/bank-of-juliaetta-2_th.jpg
latahsites0030b,latahsites0030,Bank of Juliaetta [02],The Juliaetta Sun,1911,1911,Historical image from the Special Edition of the Juliaetta Sun inside cover. This publication can be found in the Day Northwest Book collection of Special Collections and Archives.,16,,,,,University of Idaho Library Special Collections and Archives,Day-NW F752 L3 J856 1911,Image;StillImage,black and white photograph,image/jpeg,eng,"Material has likely passed into public domain. Digital reproductions are made available by University of Idaho Library for educational purposes, and future use should acknowledge this repository. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu. The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/NoC-US/1.0/,,image,juliaetta-bank-002.jpg,https://objects.lib.uidaho.edu/latahsites/juliaetta-bank-002.jpg,https://objects.lib.uidaho.edu/latahsites/small/juliaetta-bank-002_sm.jpg,https://objects.lib.uidaho.edu/latahsites/thumbs/juliaetta-bank-002_th.jpg
