objectid,parentid,title,creator,location,latitude,longitude,date,description,subject,source,transcriber,type,format,language,identifier,rights,rightsstatement,display_template,filename,object_transcript,image_small,image_thumb,object_location,image_alt_text
sakaino088,sakaino085,"April 11, 1942 entry, page 3",,,,,,,,,"Transcribed and translated by Naoko Tanabe, 2024-2025, of Densho (densho.org)",Text,image/jpeg,jpn,mg387_1_7-051,"In copyright, educational use permitted. Educational use includes non-commercial reproduction of text and images in materials for teaching and research purposes. For other contexts beyond fair use, including digital reproduction, please contact the University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu. The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/InC-EDU/1.0/,image,mg387_1_7-051.jpg,/objects/mg387_1_7-051a.md,https://objects.lib.uidaho.edu/sakaino/small/mg387_1_7-051_sm.jpg,https://objects.lib.uidaho.edu/sakaino/thumbs/mg387_1_7-051_th.jpg,https://objects.lib.uidaho.edu/sakaino/mg387_1_7-051.jpg,Lined notebook paper with handwritten Japanese text in ink
sakaino089,,"April 12, 1942 entry","Sakaino, Bunro","Belleville, KS",39.824752,-97.633101,1942-04-12,"April 12, 1942, diary entry written by Bunro Sakaino while he was being transferred from the Fort Missoula Internment Camp in Missoula, Montana through Belleville, Kansas, on the way to Fort Sill, Oklahoma.",concentration camps; diaries,"MG 387, George Shihei Shitamae papers, Special Collections and Archives, University of Idaho Library","Transcribed and translated by Naoko Tanabe, 2024-2025, of Densho (densho.org)",Text,application/pdf,jpn,mg387_1_7-1942-04-12,"In copyright, educational use permitted. Educational use includes non-commercial reproduction of text and images in materials for teaching and research purposes. For other contexts beyond fair use, including digital reproduction, please contact the University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu. The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/InC-EDU/1.0/,letter,mg387_1_7-1942-04-12.pdf,/objects/1942-04-12.md,https://objects.lib.uidaho.edu/sakaino/small/mg387_1_7-1942-04-12_sm.jpg,https://objects.lib.uidaho.edu/sakaino/thumbs/mg387_1_7-1942-04-12_th.jpg,https://objects.lib.uidaho.edu/sakaino/mg387_1_7-1942-04-12.pdf,
sakaino090,sakaino089,"April 12, 1942 entry, page 1",,,,,,,,,"Transcribed and translated by Naoko Tanabe, 2024-2025, of Densho (densho.org)",Text,image/jpeg,jpn,mg387_1_7-051,"In copyright, educational use permitted. Educational use includes non-commercial reproduction of text and images in materials for teaching and research purposes. For other contexts beyond fair use, including digital reproduction, please contact the University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu. The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/InC-EDU/1.0/,image,mg387_1_7-051.jpg,/objects/mg387_1_7-051b.md,https://objects.lib.uidaho.edu/sakaino/small/mg387_1_7-051_sm.jpg,https://objects.lib.uidaho.edu/sakaino/thumbs/mg387_1_7-051_th.jpg,https://objects.lib.uidaho.edu/sakaino/mg387_1_7-051.jpg,Lined notebook paper with handwritten Japanese text in ink
sakaino091,sakaino089,"April 12, 1942 entry, page 2",,,,,,,,,"Transcribed and translated by Naoko Tanabe, 2024-2025, of Densho (densho.org)",Text,image/jpeg,jpn,mg387_1_7-052,"In copyright, educational use permitted. Educational use includes non-commercial reproduction of text and images in materials for teaching and research purposes. For other contexts beyond fair use, including digital reproduction, please contact the University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu. The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/InC-EDU/1.0/,image,mg387_1_7-052.jpg,/objects/mg387_1_7-052.md,https://objects.lib.uidaho.edu/sakaino/small/mg387_1_7-052_sm.jpg,https://objects.lib.uidaho.edu/sakaino/thumbs/mg387_1_7-052_th.jpg,https://objects.lib.uidaho.edu/sakaino/mg387_1_7-052.jpg,Lined notebook paper with handwritten Japanese text in ink
sakaino092,sakaino089,"April 12, 1942 entry, page 3",,,,,,,,,"Transcribed and translated by Naoko Tanabe, 2024-2025, of Densho (densho.org)",Text,image/jpeg,jpn,mg387_1_7-053,"In copyright, educational use permitted. Educational use includes non-commercial reproduction of text and images in materials for teaching and research purposes. For other contexts beyond fair use, including digital reproduction, please contact the University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu. The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/InC-EDU/1.0/,image,mg387_1_7-053.jpg,/objects/mg387_1_7-053a.md,https://objects.lib.uidaho.edu/sakaino/small/mg387_1_7-053_sm.jpg,https://objects.lib.uidaho.edu/sakaino/thumbs/mg387_1_7-053_th.jpg,https://objects.lib.uidaho.edu/sakaino/mg387_1_7-053.jpg,Lined notebook paper with handwritten Japanese text in ink
sakaino093,,"April 13, 1942 entry","Sakaino, Bunro","Fort Sill, OK",34.673024,-98.368511,1942-04-13,"April 13, 1942, diary entry written by Bunro Sakaino while he was incarcerated at Fort Sill, Oklahoma.",concentration camps; diaries,"MG 387, George Shihei Shitamae papers, Special Collections and Archives, University of Idaho Library","Transcribed and translated by Naoko Tanabe, 2024-2025, of Densho (densho.org)",Text,application/pdf,jpn,mg387_1_7-1942-04-13,"In copyright, educational use permitted. Educational use includes non-commercial reproduction of text and images in materials for teaching and research purposes. For other contexts beyond fair use, including digital reproduction, please contact the University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu. The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/InC-EDU/1.0/,letter,mg387_1_7-1942-04-13.pdf,/objects/1942-04-13.md,https://objects.lib.uidaho.edu/sakaino/small/mg387_1_7-1942-04-13_sm.jpg,https://objects.lib.uidaho.edu/sakaino/thumbs/mg387_1_7-1942-04-13_th.jpg,https://objects.lib.uidaho.edu/sakaino/mg387_1_7-1942-04-13.pdf,
sakaino094,sakaino093,"April 13, 1942 entry, page 1",,,,,,,,,"Transcribed and translated by Naoko Tanabe, 2024-2025, of Densho (densho.org)",Text,image/jpeg,jpn,mg387_1_7-053,"In copyright, educational use permitted. Educational use includes non-commercial reproduction of text and images in materials for teaching and research purposes. For other contexts beyond fair use, including digital reproduction, please contact the University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu. The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/InC-EDU/1.0/,image,mg387_1_7-053.jpg,/objects/mg387_1_7-053a.md,https://objects.lib.uidaho.edu/sakaino/small/mg387_1_7-053_sm.jpg,https://objects.lib.uidaho.edu/sakaino/thumbs/mg387_1_7-053_th.jpg,https://objects.lib.uidaho.edu/sakaino/mg387_1_7-053.jpg,Lined notebook paper with handwritten Japanese text in ink
sakaino095,sakaino093,"April 13, 1942 entry, page 2",,,,,,,,,"Transcribed and translated by Naoko Tanabe, 2024-2025, of Densho (densho.org)",Text,image/jpeg,jpn,mg387_1_7-054,"In copyright, educational use permitted. Educational use includes non-commercial reproduction of text and images in materials for teaching and research purposes. For other contexts beyond fair use, including digital reproduction, please contact the University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu. The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/InC-EDU/1.0/,image,mg387_1_7-054.jpg,/objects/mg387_1_7-054.md,https://objects.lib.uidaho.edu/sakaino/small/mg387_1_7-054_sm.jpg,https://objects.lib.uidaho.edu/sakaino/thumbs/mg387_1_7-054_th.jpg,https://objects.lib.uidaho.edu/sakaino/mg387_1_7-054.jpg,Lined notebook paper with handwritten Japanese text in ink
sakaino096,sakaino093,"April 13, 1942 entry, page 3",,,,,,,,,"Transcribed and translated by Naoko Tanabe, 2024-2025, of Densho (densho.org)",Text,image/jpeg,jpn,mg387_1_7-055,"In copyright, educational use permitted. Educational use includes non-commercial reproduction of text and images in materials for teaching and research purposes. For other contexts beyond fair use, including digital reproduction, please contact the University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu. The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/InC-EDU/1.0/,image,mg387_1_7-055.jpg,/objects/mg387_1_7-055a.md,https://objects.lib.uidaho.edu/sakaino/small/mg387_1_7-055_sm.jpg,https://objects.lib.uidaho.edu/sakaino/thumbs/mg387_1_7-055_th.jpg,https://objects.lib.uidaho.edu/sakaino/mg387_1_7-055.jpg,Lined notebook paper with handwritten Japanese text in ink
sakaino097,,"April 14, 1942 entry","Sakaino, Bunro","Fort Sill, OK",34.673024,-98.368511,1942-04-13,"April 14, 1942, diary entry written by Bunro Sakaino while he was incarcerated at Fort Sill, Oklahoma.",concentration camps; diaries,"MG 387, George Shihei Shitamae papers, Special Collections and Archives, University of Idaho Library","Transcribed and translated by Naoko Tanabe, 2024-2025, of Densho (densho.org)",Text,application/pdf,jpn,mg387_1_7-1942-04-14,"In copyright, educational use permitted. Educational use includes non-commercial reproduction of text and images in materials for teaching and research purposes. For other contexts beyond fair use, including digital reproduction, please contact the University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu. The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/InC-EDU/1.0/,letter,mg387_1_7-1942-04-14.pdf,/objects/1942-04-14.md,https://objects.lib.uidaho.edu/sakaino/small/mg387_1_7-1942-04-14_sm.jpg,https://objects.lib.uidaho.edu/sakaino/thumbs/mg387_1_7-1942-04-14_th.jpg,https://objects.lib.uidaho.edu/sakaino/mg387_1_7-1942-04-14.pdf,
sakaino098,sakaino097,"April 14, 1942 entry, page 1",,,,,,,,,"Transcribed and translated by Naoko Tanabe, 2024-2025, of Densho (densho.org)",Text,image/jpeg,jpn,mg387_1_7-055,"In copyright, educational use permitted. Educational use includes non-commercial reproduction of text and images in materials for teaching and research purposes. For other contexts beyond fair use, including digital reproduction, please contact the University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu. The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/InC-EDU/1.0/,image,mg387_1_7-055.jpg,/objects/mg387_1_7-055b.md,https://objects.lib.uidaho.edu/sakaino/small/mg387_1_7-055_sm.jpg,https://objects.lib.uidaho.edu/sakaino/thumbs/mg387_1_7-055_th.jpg,https://objects.lib.uidaho.edu/sakaino/mg387_1_7-055.jpg,Lined notebook paper with handwritten Japanese text in ink
sakaino099,sakaino097,"April 14, 1942 entry, page 2",,,,,,,,,"Transcribed and translated by Naoko Tanabe, 2024-2025, of Densho (densho.org)",Text,image/jpeg,jpn; eng,mg387_1_7-056,"In copyright, educational use permitted. Educational use includes non-commercial reproduction of text and images in materials for teaching and research purposes. For other contexts beyond fair use, including digital reproduction, please contact the University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu. The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/InC-EDU/1.0/,image,mg387_1_7-056.jpg,/objects/mg387_1_7-056.md,https://objects.lib.uidaho.edu/sakaino/small/mg387_1_7-056_sm.jpg,https://objects.lib.uidaho.edu/sakaino/thumbs/mg387_1_7-056_th.jpg,https://objects.lib.uidaho.edu/sakaino/mg387_1_7-056.jpg,Lined notebook paper with handwritten Japanese and English text in ink
sakaino100,sakaino097,"April 14, 1942 entry, page 3",,,,,,,,,"Transcribed and translated by Naoko Tanabe, 2024-2025, of Densho (densho.org)",Text,image/jpeg,eng,mg387_1_7-057,"In copyright, educational use permitted. Educational use includes non-commercial reproduction of text and images in materials for teaching and research purposes. For other contexts beyond fair use, including digital reproduction, please contact the University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu. The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/InC-EDU/1.0/,image,mg387_1_7-057.jpg,/objects/mg387_1_7-057.md,https://objects.lib.uidaho.edu/sakaino/small/mg387_1_7-057_sm.jpg,https://objects.lib.uidaho.edu/sakaino/thumbs/mg387_1_7-057_th.jpg,https://objects.lib.uidaho.edu/sakaino/mg387_1_7-057.jpg,Lined notebook paper with handwritten English text in ink
sakaino101,sakaino097,"April 14, 1942 entry, page 4",,,,,,,,,"Transcribed and translated by Naoko Tanabe, 2024-2025, of Densho (densho.org)",Text,image/jpeg,eng,mg387_1_7-058,"In copyright, educational use permitted. Educational use includes non-commercial reproduction of text and images in materials for teaching and research purposes. For other contexts beyond fair use, including digital reproduction, please contact the University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu. The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/InC-EDU/1.0/,image,mg387_1_7-058.jpg,/objects/mg387_1_7-058.md,https://objects.lib.uidaho.edu/sakaino/small/mg387_1_7-058_sm.jpg,https://objects.lib.uidaho.edu/sakaino/thumbs/mg387_1_7-058_th.jpg,https://objects.lib.uidaho.edu/sakaino/mg387_1_7-058.jpg,Lined notebook paper with handwritten English text in ink
sakaino102,sakaino097,"April 14, 1942 entry, page 5",,,,,,,,,"Transcribed and translated by Naoko Tanabe, 2024-2025, of Densho (densho.org)",Text,image/jpeg,eng,mg387_1_7-059,"In copyright, educational use permitted. Educational use includes non-commercial reproduction of text and images in materials for teaching and research purposes. For other contexts beyond fair use, including digital reproduction, please contact the University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu. The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/InC-EDU/1.0/,image,mg387_1_7-059.jpg,/objects/mg387_1_7-059.md,https://objects.lib.uidaho.edu/sakaino/small/mg387_1_7-059_sm.jpg,https://objects.lib.uidaho.edu/sakaino/thumbs/mg387_1_7-059_th.jpg,https://objects.lib.uidaho.edu/sakaino/mg387_1_7-059.jpg,Lined notebook paper with handwritten English text in ink
sakaino103,sakaino097,"April 14, 1942 entry, page 6",,,,,,,,,"Transcribed and translated by Naoko Tanabe, 2024-2025, of Densho (densho.org)",Text,image/jpeg,eng,mg387_1_7-060,"In copyright, educational use permitted. Educational use includes non-commercial reproduction of text and images in materials for teaching and research purposes. For other contexts beyond fair use, including digital reproduction, please contact the University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu. The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/InC-EDU/1.0/,image,mg387_1_7-060.jpg,/objects/mg387_1_7-060.md,https://objects.lib.uidaho.edu/sakaino/small/mg387_1_7-060_sm.jpg,https://objects.lib.uidaho.edu/sakaino/thumbs/mg387_1_7-060_th.jpg,https://objects.lib.uidaho.edu/sakaino/mg387_1_7-060.jpg,Lined notebook paper with handwritten English text in ink
sakaino104,sakaino097,"April 14, 1942 entry, page 7",,,,,,,,,"Transcribed and translated by Naoko Tanabe, 2024-2025, of Densho (densho.org)",Text,image/jpeg,eng,mg387_1_7-061,"In copyright, educational use permitted. Educational use includes non-commercial reproduction of text and images in materials for teaching and research purposes. For other contexts beyond fair use, including digital reproduction, please contact the University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu. The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/InC-EDU/1.0/,image,mg387_1_7-061.jpg,/objects/mg387_1_7-061.md,https://objects.lib.uidaho.edu/sakaino/small/mg387_1_7-061_sm.jpg,https://objects.lib.uidaho.edu/sakaino/thumbs/mg387_1_7-061_th.jpg,https://objects.lib.uidaho.edu/sakaino/mg387_1_7-061.jpg,Lined notebook paper with handwritten English text in ink
sakaino105,sakaino097,"April 14, 1942 entry, page 8",,,,,,,,,"Transcribed and translated by Naoko Tanabe, 2024-2025, of Densho (densho.org)",Text,image/jpeg,eng,mg387_1_7-062,"In copyright, educational use permitted. Educational use includes non-commercial reproduction of text and images in materials for teaching and research purposes. For other contexts beyond fair use, including digital reproduction, please contact the University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu. The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/InC-EDU/1.0/,image,mg387_1_7-062.jpg,/objects/mg387_1_7-062.md,https://objects.lib.uidaho.edu/sakaino/small/mg387_1_7-062_sm.jpg,https://objects.lib.uidaho.edu/sakaino/thumbs/mg387_1_7-062_th.jpg,https://objects.lib.uidaho.edu/sakaino/mg387_1_7-062.jpg,Lined notebook paper with handwritten English text in ink
sakaino106,sakaino097,"April 14, 1942 entry, page 9",,,,,,,,,"Transcribed and translated by Naoko Tanabe, 2024-2025, of Densho (densho.org)",Text,image/jpeg,jpn,mg387_1_7-063,"In copyright, educational use permitted. Educational use includes non-commercial reproduction of text and images in materials for teaching and research purposes. For other contexts beyond fair use, including digital reproduction, please contact the University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu. The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/InC-EDU/1.0/,image,mg387_1_7-063.jpg,/objects/mg387_1_7-063a.md,https://objects.lib.uidaho.edu/sakaino/small/mg387_1_7-063_sm.jpg,https://objects.lib.uidaho.edu/sakaino/thumbs/mg387_1_7-063_th.jpg,https://objects.lib.uidaho.edu/sakaino/mg387_1_7-063.jpg,Lined notebook paper with handwritten Japanese text in ink
sakaino107,,"April 15, 1942 entry","Sakaino, Bunro","Fort Sill, OK",34.673024,-98.368511,1942-04-15,"April 15, 1942, diary entry written by Bunro Sakaino while he was incarcerated at Fort Sill, Oklahoma.",concentration camps; diaries,"MG 387, George Shihei Shitamae papers, Special Collections and Archives, University of Idaho Library","Transcribed and translated by Naoko Tanabe, 2024-2025, of Densho (densho.org)",Text,application/pdf,jpn,mg387_1_7-1942-04-15,"In copyright, educational use permitted. Educational use includes non-commercial reproduction of text and images in materials for teaching and research purposes. For other contexts beyond fair use, including digital reproduction, please contact the University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu. The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/InC-EDU/1.0/,letter,mg387_1_7-1942-04-15.pdf,/objects/1942-04-15.md,https://objects.lib.uidaho.edu/sakaino/small/mg387_1_7-1942-04-15_sm.jpg,https://objects.lib.uidaho.edu/sakaino/thumbs/mg387_1_7-1942-04-15_th.jpg,https://objects.lib.uidaho.edu/sakaino/mg387_1_7-1942-04-15.pdf,
sakaino108,sakaino107,"April 15, 1942 entry, page 1",,,,,,,,,"Transcribed and translated by Naoko Tanabe, 2024-2025, of Densho (densho.org)",Text,image/jpeg,jpn,mg387_1_7-063,"In copyright, educational use permitted. Educational use includes non-commercial reproduction of text and images in materials for teaching and research purposes. For other contexts beyond fair use, including digital reproduction, please contact the University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu. The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/InC-EDU/1.0/,image,mg387_1_7-063.jpg,/objects/mg387_1_7-063b.md,https://objects.lib.uidaho.edu/sakaino/small/mg387_1_7-063_sm.jpg,https://objects.lib.uidaho.edu/sakaino/thumbs/mg387_1_7-063_th.jpg,https://objects.lib.uidaho.edu/sakaino/mg387_1_7-063.jpg,Lined notebook paper with handwritten Japanese text in ink
sakaino109,,"April 16, 1942 entry","Sakaino, Bunro","Fort Sill, OK",34.673024,-98.368511,1942-04-16,"April 16, 1942, diary entry written by Bunro Sakaino while he was incarcerated at Fort Sill, Oklahoma.",concentration camps; diaries,"MG 387, George Shihei Shitamae papers, Special Collections and Archives, University of Idaho Library","Transcribed and translated by Naoko Tanabe, 2024-2025, of Densho (densho.org)",Text,application/pdf,jpn,mg387_1_7-1942-04-16,"In copyright, educational use permitted. Educational use includes non-commercial reproduction of text and images in materials for teaching and research purposes. For other contexts beyond fair use, including digital reproduction, please contact the University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu. The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/InC-EDU/1.0/,letter,mg387_1_7-1942-04-16.pdf,/objects/1942-04-16.md,https://objects.lib.uidaho.edu/sakaino/small/mg387_1_7-1942-04-16_sm.jpg,https://objects.lib.uidaho.edu/sakaino/thumbs/mg387_1_7-1942-04-16_th.jpg,https://objects.lib.uidaho.edu/sakaino/mg387_1_7-1942-04-16.pdf,
sakaino110,sakaino109,"April 16, 1942 entry, page 1",,,,,,,,,"Transcribed and translated by Naoko Tanabe, 2024-2025, of Densho (densho.org)",Text,image/jpeg,jpn,mg387_1_7-064,"In copyright, educational use permitted. Educational use includes non-commercial reproduction of text and images in materials for teaching and research purposes. For other contexts beyond fair use, including digital reproduction, please contact the University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu. The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/InC-EDU/1.0/,image,mg387_1_7-064.jpg,/objects/mg387_1_7-064.md,https://objects.lib.uidaho.edu/sakaino/small/mg387_1_7-064_sm.jpg,https://objects.lib.uidaho.edu/sakaino/thumbs/mg387_1_7-064_th.jpg,https://objects.lib.uidaho.edu/sakaino/mg387_1_7-064.jpg,Lined notebook paper with handwritten Japanese text in ink
sakaino111,sakaino109,"April 16, 1942 entry, page 2",,,,,,,,,"Transcribed and translated by Naoko Tanabe, 2024-2025, of Densho (densho.org)",Text,image/jpeg,jpn,mg387_1_7-065,"In copyright, educational use permitted. Educational use includes non-commercial reproduction of text and images in materials for teaching and research purposes. For other contexts beyond fair use, including digital reproduction, please contact the University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu. The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/InC-EDU/1.0/,image,mg387_1_7-065.jpg,/objects/mg387_1_7-065.md,https://objects.lib.uidaho.edu/sakaino/small/mg387_1_7-065_sm.jpg,https://objects.lib.uidaho.edu/sakaino/thumbs/mg387_1_7-065_th.jpg,https://objects.lib.uidaho.edu/sakaino/mg387_1_7-065.jpg,Lined notebook paper with handwritten Japanese text in ink
sakaino112,sakaino109,"April 16, 1942 entry, page 3",,,,,,,,,"Transcribed and translated by Naoko Tanabe, 2024-2025, of Densho (densho.org)",Text,image/jpeg,jpn,mg387_1_7-066,"In copyright, educational use permitted. Educational use includes non-commercial reproduction of text and images in materials for teaching and research purposes. For other contexts beyond fair use, including digital reproduction, please contact the University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu. The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/InC-EDU/1.0/,image,mg387_1_7-066.jpg,/objects/mg387_1_7-066.md,https://objects.lib.uidaho.edu/sakaino/small/mg387_1_7-066_sm.jpg,https://objects.lib.uidaho.edu/sakaino/thumbs/mg387_1_7-066_th.jpg,https://objects.lib.uidaho.edu/sakaino/mg387_1_7-066.jpg,Lined notebook paper with handwritten Japanese text in ink
sakaino113,sakaino109,"April 16, 1942 entry, page 4",,,,,,,,,"Transcribed and translated by Naoko Tanabe, 2024-2025, of Densho (densho.org)",Text,image/jpeg,jpn,mg387_1_7-067,"In copyright, educational use permitted. Educational use includes non-commercial reproduction of text and images in materials for teaching and research purposes. For other contexts beyond fair use, including digital reproduction, please contact the University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu. The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/InC-EDU/1.0/,image,mg387_1_7-067.jpg,/objects/mg387_1_7-067.md,https://objects.lib.uidaho.edu/sakaino/small/mg387_1_7-067_sm.jpg,https://objects.lib.uidaho.edu/sakaino/thumbs/mg387_1_7-067_th.jpg,https://objects.lib.uidaho.edu/sakaino/mg387_1_7-067.jpg,Lined notebook paper with handwritten Japanese text in ink
sakaino114,sakaino109,"April 16, 1942 entry, page 5",,,,,,,,,"Transcribed and translated by Naoko Tanabe, 2024-2025, of Densho (densho.org)",Text,image/jpeg,jpn,mg387_1_7-068,"In copyright, educational use permitted. Educational use includes non-commercial reproduction of text and images in materials for teaching and research purposes. For other contexts beyond fair use, including digital reproduction, please contact the University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu. The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/InC-EDU/1.0/,image,mg387_1_7-068.jpg,/objects/mg387_1_7-068.md,https://objects.lib.uidaho.edu/sakaino/small/mg387_1_7-068_sm.jpg,https://objects.lib.uidaho.edu/sakaino/thumbs/mg387_1_7-068_th.jpg,https://objects.lib.uidaho.edu/sakaino/mg387_1_7-068.jpg,Lined notebook paper with handwritten Japanese text in ink
sakaino115,sakaino109,"April 16, 1942 entry, page 6",,,,,,,,,"Transcribed and translated by Naoko Tanabe, 2024-2025, of Densho (densho.org)",Text,image/jpeg,jpn,mg387_1_7-069,"In copyright, educational use permitted. Educational use includes non-commercial reproduction of text and images in materials for teaching and research purposes. For other contexts beyond fair use, including digital reproduction, please contact the University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu. The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/InC-EDU/1.0/,image,mg387_1_7-069.jpg,/objects/mg387_1_7-069.md,https://objects.lib.uidaho.edu/sakaino/small/mg387_1_7-069_sm.jpg,https://objects.lib.uidaho.edu/sakaino/thumbs/mg387_1_7-069_th.jpg,https://objects.lib.uidaho.edu/sakaino/mg387_1_7-069.jpg,Lined notebook paper with handwritten Japanese text in ink
sakaino116,sakaino109,"April 16, 1942 entry, page 7",,,,,,,,,"Transcribed and translated by Naoko Tanabe, 2024-2025, of Densho (densho.org)",Text,image/jpeg,jpn,mg387_1_7-070,"In copyright, educational use permitted. Educational use includes non-commercial reproduction of text and images in materials for teaching and research purposes. For other contexts beyond fair use, including digital reproduction, please contact the University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu. The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/InC-EDU/1.0/,image,mg387_1_7-070.jpg,/objects/mg387_1_7-070a.md,https://objects.lib.uidaho.edu/sakaino/small/mg387_1_7-070_sm.jpg,https://objects.lib.uidaho.edu/sakaino/thumbs/mg387_1_7-070_th.jpg,https://objects.lib.uidaho.edu/sakaino/mg387_1_7-070.jpg,Lined notebook paper with handwritten Japanese text in ink
sakaino117,,"April 28, 1942 entry","Sakaino, Bunro","Fort Sill, OK",34.673024,-98.368511,1942-04-28,"April 28, 1942, diary entry written by Bunro Sakaino while he was incarcerated at Fort Sill, Oklahoma.",concentration camps; diaries,"MG 387, George Shihei Shitamae papers, Special Collections and Archives, University of Idaho Library","Transcribed and translated by Naoko Tanabe, 2024-2025, of Densho (densho.org)",Text,application/pdf,jpn,mg387_1_7-1942-04-28,"In copyright, educational use permitted. Educational use includes non-commercial reproduction of text and images in materials for teaching and research purposes. For other contexts beyond fair use, including digital reproduction, please contact the University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu. The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/InC-EDU/1.0/,letter,mg387_1_7-1942-04-28.pdf,/objects/1942-04-28.md,https://objects.lib.uidaho.edu/sakaino/small/mg387_1_7-1942-04-28_sm.jpg,https://objects.lib.uidaho.edu/sakaino/thumbs/mg387_1_7-1942-04-28_th.jpg,https://objects.lib.uidaho.edu/sakaino/mg387_1_7-1942-04-28.pdf,
sakaino118,sakaino117,"April 28, 1942 entry, page 1",,,,,,,,,"Transcribed and translated by Naoko Tanabe, 2024-2025, of Densho (densho.org)",Text,image/jpeg,jpn,mg387_1_7-070,"In copyright, educational use permitted. Educational use includes non-commercial reproduction of text and images in materials for teaching and research purposes. For other contexts beyond fair use, including digital reproduction, please contact the University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu. The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/InC-EDU/1.0/,image,mg387_1_7-070.jpg,/objects/mg387_1_7-070b.md,https://objects.lib.uidaho.edu/sakaino/small/mg387_1_7-070_sm.jpg,https://objects.lib.uidaho.edu/sakaino/thumbs/mg387_1_7-070_th.jpg,https://objects.lib.uidaho.edu/sakaino/mg387_1_7-070.jpg,Lined notebook paper with handwritten Japanese text in ink
