file name,title,creator,description,date,date is approximate,ccc-camp-number,ccc-company-number,subject,source,location,idaho_county,latitude,longitude,format-original,digital collection,format,identifier,type,contributing institution,language,rights,rightsstatement,oclc number,date created,date modified,cdm_url,cdmid,contentdm-file-name,contentdm-file-path,objectid,display_template,filename,object_location,image_small,image_thumb,errors
,Droogs Creek Fire Camp,C.J. Poxleitner,"Group photo of a large group of CCC men at a fire camp at the mouth of Droogs Creek, 12 miles upriver from Castle Creek Station, four miles downriver from Golden, Idaho on the South Fork of the Clearwater River. Back of the photo reads: 'Fire Camp at mouth of Droogs Creek on South Fork. approx. 12 miles upriver from Castle Creek Station and 4 miles downriver from Golden Just around the bend of road beyond the last men is the large over-hanging reach. The year is 1936 as near as I can remember and believe is correct. Both Camp O'Hara CCC boys and Red River CCC Camp were on this fire. Camp Red River had winter quarters at Camp 107 Riggens, Idaho. Photo taken by C. J. Poxleitner and [_] by A.C. Duncan. Picture shows crews [rest] after breakfast [with]. St. Gertrude's Museum Civilian Conservation Corps.'",1936-08-10,y,,,group portraits; firefighters; unskilled workers; sleeping bags; stoves (heating equipment),St. Gertrude Historical Museum,"South Fork Clearwater River; Droogs Creek; Golden, Idaho",Idaho County,45.7975,-115.7369,black and white photograph,Idaho Civilian Conservation Corps,image/jpeg,St.GertrudeHistoricalMuseum_005a,Image;StillImage,St. Gertrude Historical Museum,eng,"In Copyright - Educational Use Permitted. Please note these materials are not held by University of Idaho Library Special Collections and Archives. For more information, please contact the institution listed in the Source.",http://rightsstatements.org/vocab/InC-EDU/1.0/,,2015-03-09,2015-03-09,http://digital.lib.uidaho.edu:80/cdm/ref/collection/cccidaho/id/437,437,82.jpg,/cccidaho/image/82.jpg,cccidaho437,image,cccidaho437.jpg,https://objects.lib.uidaho.edu/cccidaho/cccidaho437.jpg,https://objects.lib.uidaho.edu/cccidaho/small/cccidaho437_sm.jpg,https://objects.lib.uidaho.edu/cccidaho/thumbs/cccidaho437_th.jpg,
,CCC Company 1503 Marching through Moscow,CCC,"CCC company 1503 marching through Moscow, Idaho down Main St. There is a arrow drawn to one of the marchers labelled 'me'. This photo is a copy of a postcard. The back of the photo reads: '1-2-97 ask Keith who? Copy of Mike Fritz postcard.'",1935,y,SCS-1,C-1503,picture postcards; processions,Latah County Historical Society,"Moscow, Idaho",Latah County,46.7318,-117.0014,black and white picture postcard,Idaho Civilian Conservation Corps,image/jpeg,LatahCountyHS_001a,Image;StillImage,Latah County Historical Society,eng,"In Copyright - Educational Use Permitted. Please note these materials are not held by University of Idaho Library Special Collections and Archives. For more information, please contact the institution listed in the Source.",http://rightsstatements.org/vocab/InC-EDU/1.0/,,2015-03-09,2015-03-09,http://digital.lib.uidaho.edu:80/cdm/ref/collection/cccidaho/id/438,438,83.jpg,/cccidaho/image/83.jpg,cccidaho438,image,cccidaho438.jpg,https://objects.lib.uidaho.edu/cccidaho/cccidaho438.jpg,https://objects.lib.uidaho.edu/cccidaho/small/cccidaho438_sm.jpg,https://objects.lib.uidaho.edu/cccidaho/thumbs/cccidaho438_th.jpg,
,Camp P-185,"Leo Oestreicher, Leo's Studio, Spokane","View of camp P-185 near Potlatch and Harvard, Idaho on the Palouse River. Back of photo reads: '25-13-52 1930's Harvard Palouse R [unidentifiable name] of N. Idaho' There is also a stamp from Leo's Studio, the photographer.",1935,y,P-185,C-1655,tents (portable buildings); barracks; forests (plant communities),Latah County Historical Society,"Harvard, Idaho; Palouse River; Potlatch, Idaho",Latah County,46.9414,-116.6516,black and white photograph,Idaho Civilian Conservation Corps,image/jpeg,LatahCountyHS_002a,Image;StillImage,Latah County Historical Society,eng,"In Copyright - Educational Use Permitted. Please note these materials are not held by University of Idaho Library Special Collections and Archives. For more information, please contact the institution listed in the Source.",http://rightsstatements.org/vocab/InC-EDU/1.0/,,2015-03-09,2015-03-09,http://digital.lib.uidaho.edu:80/cdm/ref/collection/cccidaho/id/439,439,84.jpg,/cccidaho/image/84.jpg,cccidaho439,image,cccidaho439.jpg,https://objects.lib.uidaho.edu/cccidaho/cccidaho439.jpg,https://objects.lib.uidaho.edu/cccidaho/small/cccidaho439_sm.jpg,https://objects.lib.uidaho.edu/cccidaho/thumbs/cccidaho439_th.jpg,
,CCC Company 1655 at Attention,"Leo Oestreicher, Leo's Studio, Spokane","CCC Company 1655 standing at attention in front of an officer and the flagpole. The writing on the photo reads '22-058 Retreat - Palouse River CCC Camp F-185 Co-1655 - Harvard, Idaho. Leo's Studio' Writing on the back of the photo reads: '25-13-51 19305 [unidentifiable name] of N. Idaho Harvard Palouse R.' The stamp reads: ' Leo's Studio University Place Spokane, Washington'.",1935,y,P-185,C-1655,group portraits; fields (land); flagpoles; forests (plant communities); tents (portable buildings); barracks,Latah County Historical Society,"Harvard, Idaho; Palouse River; Potlatch, Idaho",Latah County,46.9414,-116.6516,black and white photograph,Idaho Civilian Conservation Corps,image/jpeg,LatahCountyHS_003a,Image;StillImage,Latah County Historical Society,eng,"In Copyright - Educational Use Permitted. Please note these materials are not held by University of Idaho Library Special Collections and Archives. For more information, please contact the institution listed in the Source.",http://rightsstatements.org/vocab/InC-EDU/1.0/,,2015-03-09,2015-03-09,http://digital.lib.uidaho.edu:80/cdm/ref/collection/cccidaho/id/440,440,85.jpg,/cccidaho/image/85.jpg,cccidaho440,image,cccidaho440.jpg,https://objects.lib.uidaho.edu/cccidaho/cccidaho440.jpg,https://objects.lib.uidaho.edu/cccidaho/small/cccidaho440_sm.jpg,https://objects.lib.uidaho.edu/cccidaho/thumbs/cccidaho440_th.jpg,
,Aerial View of Camp Big Meadow Creek,"Leo Oestreicher, Leo's Studio, Spokane","Aerial camp view of Camp Troy, S-260. Writing on the photo reads: '17-503- Troy CCC Camp S-260 Air photo by Leo's Studio'.",1935,y,S-260,,aerial views; aerial photographs; fields (land); agricultural lands; barracks,Latah County Historical Society,"Troy, Idaho; Big Meadow Creek",Latah County,46.7853,-116.8019,black and white photograph,Idaho Civilian Conservation Corps,image/jpeg,LatahCountyHS_004,Image;StillImage,Latah County Historical Society,eng,"In Copyright - Educational Use Permitted. Please note these materials are not held by University of Idaho Library Special Collections and Archives. For more information, please contact the institution listed in the Source.",http://rightsstatements.org/vocab/InC-EDU/1.0/,,2015-03-09,2015-03-09,http://digital.lib.uidaho.edu:80/cdm/ref/collection/cccidaho/id/441,441,86.jpg,/cccidaho/image/86.jpg,cccidaho441,image,cccidaho441.jpg,https://objects.lib.uidaho.edu/cccidaho/cccidaho441.jpg,https://objects.lib.uidaho.edu/cccidaho/small/cccidaho441_sm.jpg,https://objects.lib.uidaho.edu/cccidaho/thumbs/cccidaho441_th.jpg,
,Frank Bruce Robinson and the CCC,,"Frank Bruce Robinson with CCC men at Rowland Park building near Robinson Lake Park. Building is labeled 'Rowland Park' and the writing on the back of the photo reads: '1-10-59 Robinson (in black hat) distributes coffee and sandwiches to CCC workers on Park he donated to County. Old Rowland Park Building next to Robinson Lake Park. 1st person on far left may be Fred Horning, next person is FBR [Frank Bruce Robinson] and W.T. [William] Marineau is standing on back of truck. Circa late 30's'.",1936,y,SCS-1,C-1503,group portraits; philanthropists; community parks,Latah County Historical Society,Robinson Lake Park; Latah County; Robinson Park,Latah County,46.755,-116.9085,black and white photograph,Idaho Civilian Conservation Corps,image/jpeg,LatahCountyHS_005a,Image;StillImage,Latah County Historical Society,eng,"In Copyright - Educational Use Permitted. Please note these materials are not held by University of Idaho Library Special Collections and Archives. For more information, please contact the institution listed in the Source.",http://rightsstatements.org/vocab/InC-EDU/1.0/,,2015-03-09,2015-03-09,http://digital.lib.uidaho.edu:80/cdm/ref/collection/cccidaho/id/442,442,87.jpg,/cccidaho/image/87.jpg,cccidaho442,image,cccidaho442.jpg,https://objects.lib.uidaho.edu/cccidaho/cccidaho442.jpg,https://objects.lib.uidaho.edu/cccidaho/small/cccidaho442_sm.jpg,https://objects.lib.uidaho.edu/cccidaho/thumbs/cccidaho442_th.jpg,
,CCC Company 1655 at Attention,"Leo Oestreicher, Leo's Studio, Spokane","CCC Company 1655 standing at attention in front of an officer and the flagpole. The flag is being raised. The writing on the photo reads: 22-060 Retreat - Palouse River CCC. Camp F-185 - Co-1655 - Harvard, Idaho Leo's Studio' The writing on the back of the photo reads: '25-13-50 1930's [unidentified name] of N. Idaho CCC Camp Harvard Palouse R.'",1935,y,P-185,C-1655,group portraits; fields (land); flagpoles; forests (plant communities); tents (portable buildings); barracks,Latah County Historical Society,"Harvard, Idaho; Palouse River; Potlatch, Idaho",Latah County,46.9414,-116.6516,black and white photograph,Idaho Civilian Conservation Corps,image/jpeg,LatahCountyHS_006a,Image;StillImage,Latah County Historical Society,eng,"In Copyright - Educational Use Permitted. Please note these materials are not held by University of Idaho Library Special Collections and Archives. For more information, please contact the institution listed in the Source.",http://rightsstatements.org/vocab/InC-EDU/1.0/,,2015-03-09,2015-03-09,http://digital.lib.uidaho.edu:80/cdm/ref/collection/cccidaho/id/443,443,88.jpg,/cccidaho/image/88.jpg,cccidaho443,image,cccidaho443.jpg,https://objects.lib.uidaho.edu/cccidaho/cccidaho443.jpg,https://objects.lib.uidaho.edu/cccidaho/small/cccidaho443_sm.jpg,https://objects.lib.uidaho.edu/cccidaho/thumbs/cccidaho443_th.jpg,
,Moscow CCC Camp,"Leo Oestreicher, Leo's Studio, Spokane","View of CCC Camp SCS-1 near Moscow, Idaho. The writing on the photo reads: '22-225 Moscow CCC Camp SCS-1 Moscow, IDA.' The back of the photo reads: '25-13-48 Leo's Studio [unidentifiable name] of N. Idaho Moscow'.",1938,,SCS-1,C-1503,barracks; fields (land); agricultural lands,Latah County Historical Society,"Moscow, Idaho",Latah County,46.7227,-116.9463,black and white photograph,Idaho Civilian Conservation Corps,image/jpeg,LatahCountyHS_007a,Image;StillImage,Latah County Historical Society,eng,"In Copyright - Educational Use Permitted. Please note these materials are not held by University of Idaho Library Special Collections and Archives. For more information, please contact the institution listed in the Source.",http://rightsstatements.org/vocab/InC-EDU/1.0/,,2015-03-09,2015-03-09,http://digital.lib.uidaho.edu:80/cdm/ref/collection/cccidaho/id/444,444,89.jpg,/cccidaho/image/89.jpg,cccidaho444,image,cccidaho444.jpg,https://objects.lib.uidaho.edu/cccidaho/cccidaho444.jpg,https://objects.lib.uidaho.edu/cccidaho/small/cccidaho444_sm.jpg,https://objects.lib.uidaho.edu/cccidaho/thumbs/cccidaho444_th.jpg,
,Camp Cooks,,"Three of the Camp cooks in the mess hall at Weippe, Bovill. Writing on the back of the photo reads: 'Dick Murphy-1936 (?) 25-09-044 Cook for CCC - Weippe, Bovill. Donated by Terry Peterson.",1936,y,,,lunchrooms; lunches; cooks; food,Latah County Historical Society,"Bovill, Idaho; Weippe, Idaho",Latah County; Clearwater County,,,black and white photograph,Idaho Civilian Conservation Corps,image/jpeg,LatahCountyHS_008a,Image;StillImage,Latah County Historical Society,eng,"In Copyright - Educational Use Permitted. Please note these materials are not held by University of Idaho Library Special Collections and Archives. For more information, please contact the institution listed in the Source.",http://rightsstatements.org/vocab/InC-EDU/1.0/,,2015-03-09,2015-03-09,http://digital.lib.uidaho.edu:80/cdm/ref/collection/cccidaho/id/445,445,90.jpg,/cccidaho/image/90.jpg,cccidaho445,image,cccidaho445.jpg,https://objects.lib.uidaho.edu/cccidaho/cccidaho445.jpg,https://objects.lib.uidaho.edu/cccidaho/small/cccidaho445_sm.jpg,https://objects.lib.uidaho.edu/cccidaho/thumbs/cccidaho445_th.jpg,
,Bovill CCC Camp,,"View of CCC Camp F-141 near Bovill, Idaho showing the results of a forest fire and timber harvesting. Writing reads: 'CCC Company 245 Camp F-141, Bovill, Idaho'. Writing on back of postcard reads: 'Bovill CCC Camp 1930's? donor Dawn Martin.'",1935,y,F-141,C-245,fires (events); tents (portable buildings); barracks,Latah County Historical Society,"Bovill, Idaho; Priest River, Idaho",Latah County,,,black and white picture postcard,Idaho Civilian Conservation Corps,image/jpeg,LatahCountyHS_009a,Image;StillImage,Latah County Historical Society,eng,"In Copyright - Educational Use Permitted. Please note these materials are not held by University of Idaho Library Special Collections and Archives. For more information, please contact the institution listed in the Source.",http://rightsstatements.org/vocab/InC-EDU/1.0/,,2015-03-09,2015-03-09,http://digital.lib.uidaho.edu:80/cdm/ref/collection/cccidaho/id/446,446,91.jpg,/cccidaho/image/91.jpg,cccidaho446,image,cccidaho446.jpg,https://objects.lib.uidaho.edu/cccidaho/cccidaho446.jpg,https://objects.lib.uidaho.edu/cccidaho/small/cccidaho446_sm.jpg,https://objects.lib.uidaho.edu/cccidaho/thumbs/cccidaho446_th.jpg,
,Camp Nez Perce,Erwin Photo,"A view of Camp Nez Perce near Genesee, Idaho. Writing reads: 'CCC Company 554 Camp Nez Perce SCS-I-3 Genesee, Idaho July 15 1937'. Writing on the back of the photo reads: 'CCC Camp 1937 Genesee' The stamp reads: 'Latah Historical Society 110 S. Adams Moscow, Idaho 83843'.",1937-07-15,,SCS-3,C-554,barracks; fields (land); agricultural lands,Latah County Historical Society,"Genesee, Idaho",Latah County,46.5331,-116.9102,black and white photograph,Idaho Civilian Conservation Corps,image/jpeg,LatahCountyHS_010a,Image;StillImage,Latah County Historical Society,eng,"In Copyright - Educational Use Permitted. Please note these materials are not held by University of Idaho Library Special Collections and Archives. For more information, please contact the institution listed in the Source.",http://rightsstatements.org/vocab/InC-EDU/1.0/,,2015-03-09,2015-03-09,http://digital.lib.uidaho.edu:80/cdm/ref/collection/cccidaho/id/447,447,92.jpg,/cccidaho/image/92.jpg,cccidaho447,image,cccidaho447.jpg,https://objects.lib.uidaho.edu/cccidaho/cccidaho447.jpg,https://objects.lib.uidaho.edu/cccidaho/small/cccidaho447_sm.jpg,https://objects.lib.uidaho.edu/cccidaho/thumbs/cccidaho447_th.jpg,
,Bovill CCC Camp,,"View of CCC Camp F-141 near Bovill, Idaho showing the results of a forest fire and timber harvesting. Writing reads: 'CCC Company 245 Camp F-141, Bovill, Idaho'. Writing on back of postcard reads: 'original postcard from Mike Fritz'.",1935,y,F-141,C-245,fires (events); tents (portable buildings); barracks,Latah County Historical Society,"Bovill, Idaho; Priest River, Idaho",Latah County,,,black and white picture postcard,Idaho Civilian Conservation Corps,image/jpeg,LatahCountyHS_011a,Image;StillImage,Latah County Historical Society,eng,"In Copyright - Educational Use Permitted. Please note these materials are not held by University of Idaho Library Special Collections and Archives. For more information, please contact the institution listed in the Source.",http://rightsstatements.org/vocab/InC-EDU/1.0/,,2015-03-09,2015-03-09,http://digital.lib.uidaho.edu:80/cdm/ref/collection/cccidaho/id/448,448,93.jpg,/cccidaho/image/93.jpg,cccidaho448,image,cccidaho448.jpg,https://objects.lib.uidaho.edu/cccidaho/cccidaho448.jpg,https://objects.lib.uidaho.edu/cccidaho/small/cccidaho448_sm.jpg,https://objects.lib.uidaho.edu/cccidaho/thumbs/cccidaho448_th.jpg,
,Moscow CCC Camp,,"View of CCC Camp SCS-1 near Moscow, Idaho. The writing on the photo reads: 'CCC Company 1503 Camp SCS-1 Idaho June 1937'. The back of the photo reads: 1-6-307 Photo from Dave Hickman'.",1937,,SCS-1,C-1503,barracks; fields (land); agricultural lands,Latah County Historical Society,"Moscow, Idaho",Latah County,46.7227,-116.9463,black and white photograph,Idaho Civilian Conservation Corps,image/jpeg,LatahCountyHS_012a,Image;StillImage,Latah County Historical Society,eng,"In Copyright - Educational Use Permitted. Please note these materials are not held by University of Idaho Library Special Collections and Archives. For more information, please contact the institution listed in the Source.",http://rightsstatements.org/vocab/InC-EDU/1.0/,,2015-03-09,2015-03-09,http://digital.lib.uidaho.edu:80/cdm/ref/collection/cccidaho/id/449,449,94.jpg,/cccidaho/image/94.jpg,cccidaho449,image,cccidaho449.jpg,https://objects.lib.uidaho.edu/cccidaho/cccidaho449.jpg,https://objects.lib.uidaho.edu/cccidaho/small/cccidaho449_sm.jpg,https://objects.lib.uidaho.edu/cccidaho/thumbs/cccidaho449_th.jpg,
,Aerial View of Moscow CCC Camp,,"Aerial camp view of Camp SCS-1 near Moscow, Idaho. The back of the photo reads: '1-6-260 c. 2 sec 1-6-257-8 1-1-99 CCC Camp.'",1935,y,SCS-1,C-1503,aerial views; aerial photographs; fields (land); agricultural lands; barracks,Latah County Historical Society,"Moscow, Idaho",Latah County,46.7227,-116.9463,black and white photograph,Idaho Civilian Conservation Corps,image/jpeg,LatahCountyHS_013a,Image;StillImage,Latah County Historical Society,eng,"In Copyright - Educational Use Permitted. Please note these materials are not held by University of Idaho Library Special Collections and Archives. For more information, please contact the institution listed in the Source.",http://rightsstatements.org/vocab/InC-EDU/1.0/,,2015-03-09,2015-03-09,http://digital.lib.uidaho.edu:80/cdm/ref/collection/cccidaho/id/450,450,95.jpg,/cccidaho/image/95.jpg,cccidaho450,image,cccidaho450.jpg,https://objects.lib.uidaho.edu/cccidaho/cccidaho450.jpg,https://objects.lib.uidaho.edu/cccidaho/small/cccidaho450_sm.jpg,https://objects.lib.uidaho.edu/cccidaho/thumbs/cccidaho450_th.jpg,
,Aerial View of Moscow CCC Camp,,"Aerial camp view of Camp SCS-1 near Moscow, Idaho. The writing on the photo reads: 'CCC Company 1503 Camp Moscow SCS-1 Moscow, Idaho April 1939. The back of the photo reads: 'also 1-1-99 on Lewiston Highway S of Moscow later Chinese Village and Plantation Moscow CCC Camp April 1933'.",1939,,SCS-1,C-1503,aerial photographs; fields (land); agricultural lands; barracks,Latah County Historical Society,"Moscow, Idaho",Latah County,46.7227,-116.9463,black and white photograph,Idaho Civilian Conservation Corps,image/jpeg,LatahCountyHS_014a,Image;StillImage,Latah County Historical Society,eng,"In Copyright - Educational Use Permitted. Please note these materials are not held by University of Idaho Library Special Collections and Archives. For more information, please contact the institution listed in the Source.",http://rightsstatements.org/vocab/InC-EDU/1.0/,,2015-03-09,2015-03-09,http://digital.lib.uidaho.edu:80/cdm/ref/collection/cccidaho/id/451,451,96.jpg,/cccidaho/image/96.jpg,cccidaho451,image,cccidaho451.jpg,https://objects.lib.uidaho.edu/cccidaho/cccidaho451.jpg,https://objects.lib.uidaho.edu/cccidaho/small/cccidaho451_sm.jpg,https://objects.lib.uidaho.edu/cccidaho/thumbs/cccidaho451_th.jpg,
,Moscow CCC Camp,Erwin Photo,"View of CCC Camp SCS-1 near Moscow, Idaho. Writing on photo reads: 'CCC Company 1503 Camp SCS-1 Moscow, Idaho. Writing on back reads: -6-257 CCC Camp April 1933 on Lewiston Highway S. of Moscow later the Plantation and Chinese Village see 1-6-260, 258 1-1-99'.",1939,,SCS-1,C-1503,barracks; fields (land); agricultural lands,Latah County Historical Society,"Moscow, Idaho",Latah County,46.7227,-116.9463,black and white photograph,Idaho Civilian Conservation Corps,image/jpeg,LatahCountyHS_015a,Image;StillImage,Latah County Historical Society,eng,"In Copyright - Educational Use Permitted. Please note these materials are not held by University of Idaho Library Special Collections and Archives. For more information, please contact the institution listed in the Source.",http://rightsstatements.org/vocab/InC-EDU/1.0/,,2015-03-09,2015-03-09,http://digital.lib.uidaho.edu:80/cdm/ref/collection/cccidaho/id/452,452,97.jpg,/cccidaho/image/97.jpg,cccidaho452,image,cccidaho452.jpg,https://objects.lib.uidaho.edu/cccidaho/cccidaho452.jpg,https://objects.lib.uidaho.edu/cccidaho/small/cccidaho452_sm.jpg,https://objects.lib.uidaho.edu/cccidaho/thumbs/cccidaho452_th.jpg,
,CCC Personnel,"Leo Oestreicher, Leo's Studio, Spokane","Group portrait of Camp Troy personnel, Company 244, Troy, Idaho.",1935,y,F-141,C-244,group portraits; military personnel; personnel,Latah County Historical Society,"Troy, Idaho",Latah County,46.7367,-116.772,black and white photograph,Idaho Civilian Conservation Corps,image/jpeg,LatahCountyHS_016a,Image;StillImage,Latah County Historical Society,eng,"In Copyright - Educational Use Permitted. Please note these materials are not held by University of Idaho Library Special Collections and Archives. For more information, please contact the institution listed in the Source.",http://rightsstatements.org/vocab/InC-EDU/1.0/,,2015-03-09,2015-03-09,http://digital.lib.uidaho.edu:80/cdm/ref/collection/cccidaho/id/453,453,98.jpg,/cccidaho/image/98.jpg,cccidaho453,image,cccidaho453.jpg,https://objects.lib.uidaho.edu/cccidaho/cccidaho453.jpg,https://objects.lib.uidaho.edu/cccidaho/small/cccidaho453_sm.jpg,https://objects.lib.uidaho.edu/cccidaho/thumbs/cccidaho453_th.jpg,
,CCC Personnel,"Leo Oestreicher, Leo's Studio, Spokane","Group portrait of Camp Troy personnel, Company 244, Troy, Idaho. Writing on photo reads '19-403 Photo by Leo'.",1935,y,F-141,C-244,group portraits; personnel,Latah County Historical Society,,,,,black and white photograph,Idaho Civilian Conservation Corps,image/jpeg,LatahCountyHS_018a,Image;StillImage,Latah County Historical Society,eng,"In Copyright - Educational Use Permitted. Please note these materials are not held by University of Idaho Library Special Collections and Archives. For more information, please contact the institution listed in the Source.",http://rightsstatements.org/vocab/InC-EDU/1.0/,,2015-03-09,2015-03-09,http://digital.lib.uidaho.edu:80/cdm/ref/collection/cccidaho/id/454,454,99.jpg,/cccidaho/image/99.jpg,cccidaho454,image,cccidaho454.jpg,https://objects.lib.uidaho.edu/cccidaho/cccidaho454.jpg,https://objects.lib.uidaho.edu/cccidaho/small/cccidaho454_sm.jpg,https://objects.lib.uidaho.edu/cccidaho/thumbs/cccidaho454_th.jpg,
,Beauty Bay Inspection Reports 1938,,"A variety of inspection reports from 1938 for Beauty Bay CCC Camp, F-137",1938,,F-137,C-1249,administrative reports,Museum of North Idaho,Beauty Bay; Lake Coeur d'Alene,Kootenai County,47.6158,-116.6838,Document,Idaho Civilian Conservation Corps,application/pdf,CCC_BeautyBayIR_1938_F137,Image;StillImage,Museum of North Idaho,eng,"In Copyright - Educational Use Permitted. Please note these materials are not held by University of Idaho Library Special Collections and Archives. For more information, please contact the institution listed in the Source.",http://rightsstatements.org/vocab/InC-EDU/1.0/,,2015-08-24,2015-08-24,http://digital.lib.uidaho.edu:80/cdm/ref/collection/cccidaho/id/455,455,456.pdf,/cccidaho/image/456.pdf,cccidaho455,pdf,cccidaho455.pdf,https://objects.lib.uidaho.edu/cccidaho/cccidaho455.pdf,https://objects.lib.uidaho.edu/cccidaho/small/cccidaho455_sm.jpg,https://objects.lib.uidaho.edu/cccidaho/thumbs/cccidaho455_th.jpg,
,Beauty Bay Inspection Reports 1939,,"A variety of inspection reports from 1939 for Beauty Bay CCC Camp, F-137",1939,,F-137,C-1249,administrative reports,Museum of North Idaho,Beauty Bay; Lake Coeur d'Alene,Kootenai County,47.6266,-116.6246,Document,Idaho Civilian Conservation Corps,application/pdf,CCC_BeautyBayIR_1939_F137,text,Museum of North Idaho,eng,"In Copyright - Educational Use Permitted. Please note these materials are not held by University of Idaho Library Special Collections and Archives. For more information, please contact the institution listed in the Source.",http://rightsstatements.org/vocab/InC-EDU/1.0/,,2015-08-24,2015-08-24,http://digital.lib.uidaho.edu:80/cdm/ref/collection/cccidaho/id/456,456,457.pdf,/cccidaho/image/457.pdf,cccidaho456,pdf,cccidaho456.pdf,https://objects.lib.uidaho.edu/cccidaho/cccidaho456.pdf,https://objects.lib.uidaho.edu/cccidaho/small/cccidaho456_sm.jpg,https://objects.lib.uidaho.edu/cccidaho/thumbs/cccidaho456_th.jpg,
,Wolf Lodge Inspection Reports 1939,,"A variety of inspection reports from 1939 for Wolf Lodge CCC Camp, F-182",1939,,F-182,C-1249,administrative reports,Museum of North Idaho,Wolf Lodge Bay; Lake Coeur d'Alene,Kootenai County,47.6189,-116.6775,Document,Idaho Civilian Conservation Corps,application/pdf,CCC_BeautyBayIR_1939_F182,text,Museum of North Idaho,eng,"In Copyright - Educational Use Permitted. Please note these materials are not held by University of Idaho Library Special Collections and Archives. For more information, please contact the institution listed in the Source.",http://rightsstatements.org/vocab/InC-EDU/1.0/,,2015-08-24,2015-08-24,http://digital.lib.uidaho.edu:80/cdm/ref/collection/cccidaho/id/457,457,458.pdf,/cccidaho/image/458.pdf,cccidaho457,pdf,cccidaho457.pdf,https://objects.lib.uidaho.edu/cccidaho/cccidaho457.pdf,https://objects.lib.uidaho.edu/cccidaho/small/cccidaho457_sm.jpg,https://objects.lib.uidaho.edu/cccidaho/thumbs/cccidaho457_th.jpg,
,Spike Camp Nowhere Inspection Reports 1940,,"A variety of inspection reports from 1940 for Spike CCC Camp, Nowhere.",1940,,,,administrative reports,Museum of North Idaho,Coeur d'Alene National Forest,Shoshone County,47.8461,-116.1192,Document,Idaho Civilian Conservation Corps,application/pdf,CCC_BeautyBayIR_1940_Nowhere,text,Museum of North Idaho,eng,"In Copyright - Educational Use Permitted. Please note these materials are not held by University of Idaho Library Special Collections and Archives. For more information, please contact the institution listed in the Source.",http://rightsstatements.org/vocab/InC-EDU/1.0/,,2015-08-24,2015-08-24,http://digital.lib.uidaho.edu:80/cdm/ref/collection/cccidaho/id/458,458,459.pdf,/cccidaho/image/459.pdf,cccidaho458,pdf,cccidaho458.pdf,https://objects.lib.uidaho.edu/cccidaho/cccidaho458.pdf,https://objects.lib.uidaho.edu/cccidaho/small/cccidaho458_sm.jpg,https://objects.lib.uidaho.edu/cccidaho/thumbs/cccidaho458_th.jpg,
,Wolf Lodge Inspection Reports 1940,,"A variety of inspection reports from 1940 for Wolf Lodge CCC Camp, F-182",1940,,F-182,C-1249,administrative reports,Museum of North Idaho,Wolf Lodge Bay; Lake Coeur d'Alene,Kootenai County,47.6189,-116.6775,Document,Idaho Civilian Conservation Corps,application/pdf,CCC_BeautyBayIR_1940_F182,text,Museum of North Idaho,eng,"In Copyright - Educational Use Permitted. Please note these materials are not held by University of Idaho Library Special Collections and Archives. For more information, please contact the institution listed in the Source.",http://rightsstatements.org/vocab/InC-EDU/1.0/,,2015-08-24,2015-08-24,http://digital.lib.uidaho.edu:80/cdm/ref/collection/cccidaho/id/459,459,460.pdf,/cccidaho/image/460.pdf,cccidaho459,pdf,cccidaho459.pdf,https://objects.lib.uidaho.edu/cccidaho/cccidaho459.pdf,https://objects.lib.uidaho.edu/cccidaho/small/cccidaho459_sm.jpg,https://objects.lib.uidaho.edu/cccidaho/thumbs/cccidaho459_th.jpg,
,Beauty Bay Inspection Reports 1940,,"A variety of inspection reports from 1940 for Beauty Bay CCC Camp, F-137",1940,,F-137,C-1249,administrative reports,Museum of North Idaho,Beauty Bay; Lake Coeur d'Alene,Kootenai County,47.6266,-116.6246,Document,Idaho Civilian Conservation Corps,application/pdf,CCC_BeautyBayIR_1940_F137,text,Museum of North Idaho,eng,"In Copyright - Educational Use Permitted. Please note these materials are not held by University of Idaho Library Special Collections and Archives. For more information, please contact the institution listed in the Source.",http://rightsstatements.org/vocab/InC-EDU/1.0/,,2015-08-24,2015-08-24,http://digital.lib.uidaho.edu:80/cdm/ref/collection/cccidaho/id/460,460,461.pdf,/cccidaho/image/461.pdf,cccidaho460,pdf,cccidaho460.pdf,https://objects.lib.uidaho.edu/cccidaho/cccidaho460.pdf,https://objects.lib.uidaho.edu/cccidaho/small/cccidaho460_sm.jpg,https://objects.lib.uidaho.edu/cccidaho/thumbs/cccidaho460_th.jpg,
