objectid,parentid,title,subject_name,date,description,image_alt_text,event_type,political_affiliation,party_nominee_yes_or_no,president_or_vice_president,election_outcome,subject,location,latitude,longitude,source,identifier,type,format,language,rights,rightsstatement,filename,display_template,object_location,image_small,image_thumb
mg660_box1_9-0433,,De Berry for President,"DeBerry, Clifton",1968,Clifton DeBerry. Socialist Workers nominee for President of the United States.,"Round, white button with a grayscale portrait of Clifton DeBerry, and black text that reads ""De Berry for President"". Two, rounded black lines border the portrait on either side. ",President,Socialist Workers,yes,president,lost,elections; presidents; political buttons; political pins;,,,,"MG 660, Political Buttons and Stickers collection, Special Collections and Archives, University of Idaho Library",mg660_box1_9-0433,Image;StillImage,image/jpeg,eng,"In copyright, educational use permitted. Educational use includes non-commercial reproduction of text and images in materials for teaching and research purposes. For other contexts beyond fair use, including digital reproduction, please contact the University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu. The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/InC-EDU/1.0/,mg660_box1_9-0433.jpg,image,https://objects.lib.uidaho.edu/buttons/mg660_box1_9-0433.jpg,https://objects.lib.uidaho.edu/buttons/small/mg660_box1_9-0433_sm.jpg,https://objects.lib.uidaho.edu/buttons/thumbs/mg660_box1_9-0433_th.jpg
mg660_box1_9-0435,,George Murphy For All California,"Murphy, George",1965-1970,George Murphy. Republican nominee for US Senator from California.,"Round, blue button with a grayscale portrait of George Murphy at the center. The portrait has a round, white border and yellow stars on either side. White text reads ""George Murphy For All California"". ",Congress,Republican,yes,,,elections; political buttons; political pins; members of Congress,,,,"MG 660, Political Buttons and Stickers collection, Special Collections and Archives, University of Idaho Library",mg660_box1_9-0435,Image;StillImage,image/jpeg,eng,"In copyright, educational use permitted. Educational use includes non-commercial reproduction of text and images in materials for teaching and research purposes. For other contexts beyond fair use, including digital reproduction, please contact the University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu. The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/InC-EDU/1.0/,mg660_box1_9-0435.jpg,image,https://objects.lib.uidaho.edu/buttons/mg660_box1_9-0435.jpg,https://objects.lib.uidaho.edu/buttons/small/mg660_box1_9-0435_sm.jpg,https://objects.lib.uidaho.edu/buttons/thumbs/mg660_box1_9-0435_th.jpg
mg660_box1_9-0436,,Prohibition Candidates Munn Shaw,"Munn, E. Harold; Shaw, Mark",1964,E. Harold Munn and Mark Shaw. Prohibition Party nominees for President and Vice President of the United States.,"Round, off-white button with two grayscale portraits of E. Harold Munn and Mark Shaw. Red and blue text reads ""Prohibition Candidates 1964 Munn Shaw"" above and below the portraits. ",President; Vice President,Prohibition,yes,president; vice president,lost,elections; presidents; political buttons; political pins; vice-presidents,,,,"MG 660, Political Buttons and Stickers collection, Special Collections and Archives, University of Idaho Library",mg660_box1_9-0436,Image;StillImage,image/jpeg,eng,"In copyright, educational use permitted. Educational use includes non-commercial reproduction of text and images in materials for teaching and research purposes. For other contexts beyond fair use, including digital reproduction, please contact the University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu. The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/InC-EDU/1.0/,mg660_box1_9-0436.jpg,image,https://objects.lib.uidaho.edu/buttons/mg660_box1_9-0436.jpg,https://objects.lib.uidaho.edu/buttons/small/mg660_box1_9-0436_sm.jpg,https://objects.lib.uidaho.edu/buttons/thumbs/mg660_box1_9-0436_th.jpg
mg660_box1_9-0437,,Win Scranton Win,"Scranton, William",1964,William Scranton. Republican candidate for President of the United States.,"Round button with three horizontal stripes of red, white, and red. Dark text reads ""Win Scranton Win"" across all three of the stripes. ",President,Republican,no,president,lost,elections; presidents; political buttons; political pins;,,,,"MG 660, Political Buttons and Stickers collection, Special Collections and Archives, University of Idaho Library",mg660_box1_9-0437,Image;StillImage,image/jpeg,eng,"In copyright, educational use permitted. Educational use includes non-commercial reproduction of text and images in materials for teaching and research purposes. For other contexts beyond fair use, including digital reproduction, please contact the University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu. The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/InC-EDU/1.0/,mg660_box1_9-0437.jpg,image,https://objects.lib.uidaho.edu/buttons/mg660_box1_9-0437.jpg,https://objects.lib.uidaho.edu/buttons/small/mg660_box1_9-0437_sm.jpg,https://objects.lib.uidaho.edu/buttons/thumbs/mg660_box1_9-0437_th.jpg
mg660_box1_9-0438,,Bill Scranton,"Scranton, William",1964,William Scranton. Republican candidate for President of the United States.,"Round button with three horizontal stripes of blue, white, and blue. White and blue text reads ""Bill Scranton"" across the top two stripes. On the third, bottom stripe there are three white, decorative stars. ",President,Republican,no,president,lost,elections; presidents; political buttons; political pins;,,,,"MG 660, Political Buttons and Stickers collection, Special Collections and Archives, University of Idaho Library",mg660_box1_9-0438,Image;StillImage,image/jpeg,eng,"In copyright, educational use permitted. Educational use includes non-commercial reproduction of text and images in materials for teaching and research purposes. For other contexts beyond fair use, including digital reproduction, please contact the University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu. The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/InC-EDU/1.0/,mg660_box1_9-0438.jpg,image,https://objects.lib.uidaho.edu/buttons/mg660_box1_9-0438.jpg,https://objects.lib.uidaho.edu/buttons/small/mg660_box1_9-0438_sm.jpg,https://objects.lib.uidaho.edu/buttons/thumbs/mg660_box1_9-0438_th.jpg
mg660_box1_9-0439,,Scranton for President,"Scranton, William",1964,William Scranton. Republican candidate for President of the United States.,"Round, blue button with white text reading ""Scranton for President"". ",President,Republican,no,president,lost,elections; presidents; political buttons; political pins;,,,,"MG 660, Political Buttons and Stickers collection, Special Collections and Archives, University of Idaho Library",mg660_box1_9-0439,Image;StillImage,image/jpeg,eng,"In copyright, educational use permitted. Educational use includes non-commercial reproduction of text and images in materials for teaching and research purposes. For other contexts beyond fair use, including digital reproduction, please contact the University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu. The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/InC-EDU/1.0/,mg660_box1_9-0439.jpg,image,https://objects.lib.uidaho.edu/buttons/mg660_box1_9-0439.jpg,https://objects.lib.uidaho.edu/buttons/small/mg660_box1_9-0439_sm.jpg,https://objects.lib.uidaho.edu/buttons/thumbs/mg660_box1_9-0439_th.jpg
mg660_box1_9-0440,,Scranton for President,"Scranton, William",1964,William Scranton. Republican candidate for President of the United States.,"Round, white button with light red text reading ""Scranton for President"". ",President,Republican,no,president,lost,elections; presidents; political buttons; political pins;,,,,"MG 660, Political Buttons and Stickers collection, Special Collections and Archives, University of Idaho Library",mg660_box1_9-0440,Image;StillImage,image/jpeg,eng,"In copyright, educational use permitted. Educational use includes non-commercial reproduction of text and images in materials for teaching and research purposes. For other contexts beyond fair use, including digital reproduction, please contact the University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu. The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/InC-EDU/1.0/,mg660_box1_9-0440.jpg,image,https://objects.lib.uidaho.edu/buttons/mg660_box1_9-0440.jpg,https://objects.lib.uidaho.edu/buttons/small/mg660_box1_9-0440_sm.jpg,https://objects.lib.uidaho.edu/buttons/thumbs/mg660_box1_9-0440_th.jpg
mg660_box1_9-0441,,Scranton for '68,"Scranton, William",1968,William Scranton. Republican candidate for President of the United States.,"Round, white button with a grayscale portrait of William Scranton at the center. Red text reading ""Scranton for '68"" encircles the portrait. ",President,Republican,no,president,lost,elections; presidents; political buttons; political pins;,,,,"MG 660, Political Buttons and Stickers collection, Special Collections and Archives, University of Idaho Library",mg660_box1_9-0441,Image;StillImage,image/jpeg,eng,"In copyright, educational use permitted. Educational use includes non-commercial reproduction of text and images in materials for teaching and research purposes. For other contexts beyond fair use, including digital reproduction, please contact the University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu. The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/InC-EDU/1.0/,mg660_box1_9-0441.jpg,image,https://objects.lib.uidaho.edu/buttons/mg660_box1_9-0441.jpg,https://objects.lib.uidaho.edu/buttons/small/mg660_box1_9-0441_sm.jpg,https://objects.lib.uidaho.edu/buttons/thumbs/mg660_box1_9-0441_th.jpg
mg660_box1_9-0442,,Draft Bill? Scranton Sure We Will!!,"Scranton, William",1964,William Scranton. Republican candidate for President of the United States.,"Round, white button with red text reading ""Draft Bill? Scranton Sure We Will!!"". ",President,Republican,no,president,lost,elections; presidents; political buttons; political pins;,,,,"MG 660, Political Buttons and Stickers collection, Special Collections and Archives, University of Idaho Library",mg660_box1_9-0442,Image;StillImage,image/jpeg,eng,"In copyright, educational use permitted. Educational use includes non-commercial reproduction of text and images in materials for teaching and research purposes. For other contexts beyond fair use, including digital reproduction, please contact the University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu. The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/InC-EDU/1.0/,mg660_box1_9-0442.jpg,image,https://objects.lib.uidaho.edu/buttons/mg660_box1_9-0442.jpg,https://objects.lib.uidaho.edu/buttons/small/mg660_box1_9-0442_sm.jpg,https://objects.lib.uidaho.edu/buttons/thumbs/mg660_box1_9-0442_th.jpg
mg660_box1_9-0443,,Vote Socialist Labor Hass Blomen,"Hass, Eric; Blomen, Henning",1964,Eric Hass and Henning Blomen. Socialist Labor Party nominees for President and Vice President of the United States.,"Round, white button with two grayscale portraits of Eric Hass and Henning Blomen at the center. Red and black text reads ""Vote Socialist Labor Hass Blomen"" above and below the portraits. ",President; Vice President,Socialist Labor,yes,president; vice president,lost,elections; presidents; political buttons; political pins; vice-presidents,,,,"MG 660, Political Buttons and Stickers collection, Special Collections and Archives, University of Idaho Library",mg660_box1_9-0443,Image;StillImage,image/jpeg,eng,"In copyright, educational use permitted. Educational use includes non-commercial reproduction of text and images in materials for teaching and research purposes. For other contexts beyond fair use, including digital reproduction, please contact the University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu. The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/InC-EDU/1.0/,mg660_box1_9-0443.jpg,image,https://objects.lib.uidaho.edu/buttons/mg660_box1_9-0443.jpg,https://objects.lib.uidaho.edu/buttons/small/mg660_box1_9-0443_sm.jpg,https://objects.lib.uidaho.edu/buttons/thumbs/mg660_box1_9-0443_th.jpg
mg660_box1_9-0444,,You Write-in Lar Daly for President Always America First,"Daly, Lawrence",1960,Lawrence Daly. America First Party nominee for President of the United States.,"Round, white button with a grayscale portrait of Lar Daly in an 'Uncle Sam' pose. Red and blue text reads ""You Write-In Lar Daly for President Always America First"". Decorative blue stars border the button.",President,America First,yes,president,lost,elections; presidents; political buttons; political pins;,,,,"MG 660, Political Buttons and Stickers collection, Special Collections and Archives, University of Idaho Library",mg660_box1_9-0444,Image;StillImage,image/jpeg,eng,"In copyright, educational use permitted. Educational use includes non-commercial reproduction of text and images in materials for teaching and research purposes. For other contexts beyond fair use, including digital reproduction, please contact the University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu. The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/InC-EDU/1.0/,mg660_box1_9-0444.jpg,image,https://objects.lib.uidaho.edu/buttons/mg660_box1_9-0444.jpg,https://objects.lib.uidaho.edu/buttons/small/mg660_box1_9-0444_sm.jpg,https://objects.lib.uidaho.edu/buttons/thumbs/mg660_box1_9-0444_th.jpg
mg660_box1_9-0445,,Re-Elect George Murphy U.S. Senator for All of California,"Murphy, George",1970,George Murphy. Republican Party nominee for US Senator for California.,"Round, white button with a red border. A gold-colored outline of the state of California sits behind blue and red text reading ""Re-Elect George Murphy U.S. Senator for All of California"". ",Congress,Republican,yes,,lost,elections; political buttons; political pins; members of Congress,,,,"MG 660, Political Buttons and Stickers collection, Special Collections and Archives, University of Idaho Library",mg660_box1_9-0445,Image;StillImage,image/jpeg,eng,"In copyright, educational use permitted. Educational use includes non-commercial reproduction of text and images in materials for teaching and research purposes. For other contexts beyond fair use, including digital reproduction, please contact the University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu. The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/InC-EDU/1.0/,mg660_box1_9-0445.jpg,image,https://objects.lib.uidaho.edu/buttons/mg660_box1_9-0445.jpg,https://objects.lib.uidaho.edu/buttons/small/mg660_box1_9-0445_sm.jpg,https://objects.lib.uidaho.edu/buttons/thumbs/mg660_box1_9-0445_th.jpg
mg660_box1_9-0446,,Scranton,"Scranton, William",1964,William Scranton. Republican candidate for President of the United States.,"Round, white button with blue text reading ""Scranton"". ",President,Republican,no,president,lost,elections; presidents; political buttons; political pins;,,,,"MG 660, Political Buttons and Stickers collection, Special Collections and Archives, University of Idaho Library",mg660_box1_9-0446,Image;StillImage,image/jpeg,eng,"In copyright, educational use permitted. Educational use includes non-commercial reproduction of text and images in materials for teaching and research purposes. For other contexts beyond fair use, including digital reproduction, please contact the University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu. The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/InC-EDU/1.0/,mg660_box1_9-0446.jpg,image,https://objects.lib.uidaho.edu/buttons/mg660_box1_9-0446.jpg,https://objects.lib.uidaho.edu/buttons/small/mg660_box1_9-0446_sm.jpg,https://objects.lib.uidaho.edu/buttons/thumbs/mg660_box1_9-0446_th.jpg
mg660_box1_9-0447,,Start Packing - Goldwaters Are Coming,"Goldwater, Barry; Goldwater, Margaret",1964,"Barry and Margaret ""Peggy"" Goldwater. Republican Party nominee for President of the United States and his wife. Holographic switches between cartoon images.",,President; First Lady; Presidential Pets,Republican,yes,president,lost,elections; presidents; political buttons; political pins;,,,,"MG 660, Political Buttons and Stickers collection, Special Collections and Archives, University of Idaho Library",mg660_box1_9-0447,Image;StillImage,image/jpeg,eng,"In copyright, educational use permitted. Educational use includes non-commercial reproduction of text and images in materials for teaching and research purposes. For other contexts beyond fair use, including digital reproduction, please contact the University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu. The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/InC-EDU/1.0/,mg660_box1_9-0447.jpg,multiple,https://objects.lib.uidaho.edu/buttons/mg660_box1_9-0447.jpg,https://objects.lib.uidaho.edu/buttons/small/mg660_box1_9-0447_sm.jpg,https://objects.lib.uidaho.edu/buttons/thumbs/mg660_box1_9-0447_th.jpg
mg660_box1_9-0447-1,mg660_box1_9-0447,,,,,"Round button with colorful cartoon images of Lyndon and Lady Bird Johnson with their suitcases, two dogs, and a donkey, leaving the White House. Text reads: ""Start Packing"". This is one angle of a holographic button.",,,,,,,,,,,,,,,,,mg660_box1_9-0447-1.jpg,image,https://objects.lib.uidaho.edu/buttons/mg660_box1_9-0447-1.jpg,https://objects.lib.uidaho.edu/buttons/small/mg660_box1_9-0447-1_sm.jpg,https://objects.lib.uidaho.edu/buttons/thumbs/mg660_box1_9-0447-1_th.jpg
mg660_box1_9-0447-2,mg660_box1_9-0447,,,,,"Round button with colorful cartoon images of Lyndon and Lady Bird Johnson with their suitcases, two dogs, and a donkey, leaving the White House. Text reads: ""Start Packing"". This is one angle of a holographic button.",,,,,,,,,,,,,,,,,mg660_box1_9-0447-2.jpg,image,https://objects.lib.uidaho.edu/buttons/mg660_box1_9-0447-2.jpg,https://objects.lib.uidaho.edu/buttons/small/mg660_box1_9-0447-2_sm.jpg,https://objects.lib.uidaho.edu/buttons/thumbs/mg660_box1_9-0447-2_th.jpg
mg660_box1_9-0448,,A Choice Not An Echo Goldwater - Miller,"Goldwater, Barry; Miller, William",1964,Barry Goldwater and William Miller. Republican Party nominees for President and Vice President of the United States.,"Round, white button with a bisected border of red and blue. Two grayscale portraits of Barry Goldwater and William Miller are at the center. White text reads ""A Choice Not an Echo Goldwater - Miller"" encircles the portraits. ",President; Vice President,Republican,yes,president; vice president,lost,elections; presidents; political buttons; political pins; vice-presidents,,,,"MG 660, Political Buttons and Stickers collection, Special Collections and Archives, University of Idaho Library",mg660_box1_9-0448,Image;StillImage,image/jpeg,eng,"In copyright, educational use permitted. Educational use includes non-commercial reproduction of text and images in materials for teaching and research purposes. For other contexts beyond fair use, including digital reproduction, please contact the University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu. The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/InC-EDU/1.0/,mg660_box1_9-0448.jpg,image,https://objects.lib.uidaho.edu/buttons/mg660_box1_9-0448.jpg,https://objects.lib.uidaho.edu/buttons/small/mg660_box1_9-0448_sm.jpg,https://objects.lib.uidaho.edu/buttons/thumbs/mg660_box1_9-0448_th.jpg
mg660_box1_9-0449,,In Your Heart You Know He's Right,"Buchanan, Patrick J.",1992-2000,"Pat Buchanan. Republican and Reform candidate for President of the United States. This is a riff on Barry Goldwater's famous ""In your heart you know he's right"" slogan during the 1964 President of the United States campaign.","Round, red button with a white heart at the center and a grayscale portrait of Pat Buchanan within it. White text reads ""In Your Heart You Know He's Right!"" and encircles the portrait. ",President,Republican; Reform,no,president,lost,elections; presidents; political buttons; political pins;,,,,"MG 660, Political Buttons and Stickers collection, Special Collections and Archives, University of Idaho Library",mg660_box1_9-0449,Image;StillImage,image/jpeg,eng,"In copyright, educational use permitted. Educational use includes non-commercial reproduction of text and images in materials for teaching and research purposes. For other contexts beyond fair use, including digital reproduction, please contact the University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu. The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/InC-EDU/1.0/,mg660_box1_9-0449.jpg,image,https://objects.lib.uidaho.edu/buttons/mg660_box1_9-0449.jpg,https://objects.lib.uidaho.edu/buttons/small/mg660_box1_9-0449_sm.jpg,https://objects.lib.uidaho.edu/buttons/thumbs/mg660_box1_9-0449_th.jpg
mg660_box1_9-0450,,Goldwater Miller,"Goldwater, Barry; Miller, William",1964,Barry Goldwater and William Miller. Republican Party nominees for President and Vice President of the United States.,"Round, red button with a white stripe across the center and decorative stars across it. White text reads ""Goldwater Miller"". ",President; Vice President,Republican,yes,president; vice president,lost,elections; presidents; political buttons; political pins; vice-presidents,,,,"MG 660, Political Buttons and Stickers collection, Special Collections and Archives, University of Idaho Library",mg660_box1_9-0450,Image;StillImage,image/jpeg,eng,"In copyright, educational use permitted. Educational use includes non-commercial reproduction of text and images in materials for teaching and research purposes. For other contexts beyond fair use, including digital reproduction, please contact the University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu. The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/InC-EDU/1.0/,mg660_box1_9-0450.jpg,image,https://objects.lib.uidaho.edu/buttons/mg660_box1_9-0450.jpg,https://objects.lib.uidaho.edu/buttons/small/mg660_box1_9-0450_sm.jpg,https://objects.lib.uidaho.edu/buttons/thumbs/mg660_box1_9-0450_th.jpg
mg660_box1_9-0451,,H2O,"Goldwater, Barry",1964,Barry Goldwater. Republican Party nominee for President of the United States.,"Round, white button with a drawing of a cup filled with gold-colored water. Black text reading ""H two O"" in the cup. The button is a reference to Barry Goldwater.",President,Republican,yes,president,lost,elections; presidents; political buttons; political pins;,,,,"MG 660, Political Buttons and Stickers collection, Special Collections and Archives, University of Idaho Library",mg660_box1_9-0451,Image;StillImage,image/jpeg,eng,"In copyright, educational use permitted. Educational use includes non-commercial reproduction of text and images in materials for teaching and research purposes. For other contexts beyond fair use, including digital reproduction, please contact the University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu. The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/InC-EDU/1.0/,mg660_box1_9-0451.jpg,image,https://objects.lib.uidaho.edu/buttons/mg660_box1_9-0451.jpg,https://objects.lib.uidaho.edu/buttons/small/mg660_box1_9-0451_sm.jpg,https://objects.lib.uidaho.edu/buttons/thumbs/mg660_box1_9-0451_th.jpg
mg660_box1_9-0452,,In Your Heart You Know He's Right,"Goldwater, Barry",1964,Barry Goldwater. Republican Party nominee for President of the United States.,"Round, white button with a red heart at the center and a grayscale portrait of Barry Goldwater at its center. Black text reading ""In Your Heart You Know He's Right"", which encircles the portrait. ",President,Republican,yes,president,lost,elections; presidents; political buttons; political pins;,,,,"MG 660, Political Buttons and Stickers collection, Special Collections and Archives, University of Idaho Library",mg660_box1_9-0452,Image;StillImage,image/jpeg,eng,"In copyright, educational use permitted. Educational use includes non-commercial reproduction of text and images in materials for teaching and research purposes. For other contexts beyond fair use, including digital reproduction, please contact the University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu. The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/InC-EDU/1.0/,mg660_box1_9-0452.jpg,image,https://objects.lib.uidaho.edu/buttons/mg660_box1_9-0452.jpg,https://objects.lib.uidaho.edu/buttons/small/mg660_box1_9-0452_sm.jpg,https://objects.lib.uidaho.edu/buttons/thumbs/mg660_box1_9-0452_th.jpg
mg660_box1_9-0453,,The Winning Team Goldwater Miller,"Goldwater, Barry; Miller, William",1964,Barry Goldwater and William Miller. Republican Party nominees for President and Vice President of the United States.,"Round button with horizontal stripes of red, white, and blue, and two grayscale portraits of Barry Goldwater and William Miller. White text reads ""The Winning Team Goldwater Miller"" and encircles the portraits. ",President; Vice President,Republican,yes,president; vice president,lost,elections; presidents; political buttons; political pins; vice-presidents,,,,"MG 660, Political Buttons and Stickers collection, Special Collections and Archives, University of Idaho Library",mg660_box1_9-0453,Image;StillImage,image/jpeg,eng,"In copyright, educational use permitted. Educational use includes non-commercial reproduction of text and images in materials for teaching and research purposes. For other contexts beyond fair use, including digital reproduction, please contact the University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu. The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/InC-EDU/1.0/,mg660_box1_9-0453.jpg,image,https://objects.lib.uidaho.edu/buttons/mg660_box1_9-0453.jpg,https://objects.lib.uidaho.edu/buttons/small/mg660_box1_9-0453_sm.jpg,https://objects.lib.uidaho.edu/buttons/thumbs/mg660_box1_9-0453_th.jpg
mg660_box1_9-0454,,Goldwater Miller 64,"Goldwater, Barry; Miller, William",1964,Barry Goldwater and William Miller. Republican Party nominees for President and Vice President of the United States.,"Round, red button with white and blue text reading ""Goldwater Miller 64"". ",President; Vice President,Republican,yes,president; vice president,lost,elections; presidents; political buttons; political pins; vice-presidents,,,,"MG 660, Political Buttons and Stickers collection, Special Collections and Archives, University of Idaho Library",mg660_box1_9-0454,Image;StillImage,image/jpeg,eng,"In copyright, educational use permitted. Educational use includes non-commercial reproduction of text and images in materials for teaching and research purposes. For other contexts beyond fair use, including digital reproduction, please contact the University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu. The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/InC-EDU/1.0/,mg660_box1_9-0454.jpg,image,https://objects.lib.uidaho.edu/buttons/mg660_box1_9-0454.jpg,https://objects.lib.uidaho.edu/buttons/small/mg660_box1_9-0454_sm.jpg,https://objects.lib.uidaho.edu/buttons/thumbs/mg660_box1_9-0454_th.jpg
mg660_box1_9-0455,,Goldwater Miller,"Goldwater, Barry; Miller, William",1964,Barry Goldwater and William Miller. Republican Party nominees for President and Vice President of the United States.,"Round, white button with two grayscale portraits of Barry Goldwater and William Miller. Blue text reads ""Goldwater Miller"" and encircles the portraits. Four decorative red stars are on either side of the portraits. ",President; Vice President,Republican,yes,president; vice president,lost,elections; presidents; political buttons; political pins; vice-presidents,,,,"MG 660, Political Buttons and Stickers collection, Special Collections and Archives, University of Idaho Library",mg660_box1_9-0455,Image;StillImage,image/jpeg,eng,"In copyright, educational use permitted. Educational use includes non-commercial reproduction of text and images in materials for teaching and research purposes. For other contexts beyond fair use, including digital reproduction, please contact the University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu. The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/InC-EDU/1.0/,mg660_box1_9-0455.jpg,image,https://objects.lib.uidaho.edu/buttons/mg660_box1_9-0455.jpg,https://objects.lib.uidaho.edu/buttons/small/mg660_box1_9-0455_sm.jpg,https://objects.lib.uidaho.edu/buttons/thumbs/mg660_box1_9-0455_th.jpg
mg660_box1_9-0456,,Barry and Bill,"Goldwater, Barry; Miller, William",1964,Barry Goldwater and William Miller. Republican Party nominees for President and Vice President of the United States.,"Round button with horizontal stripes of red, white, and blue. White and blue text reads ""Barry and Bill"" across all three of the stripes. ",President; Vice President,Republican,yes,president; vice president,lost,elections; presidents; political buttons; political pins; vice-presidents,,,,"MG 660, Political Buttons and Stickers collection, Special Collections and Archives, University of Idaho Library",mg660_box1_9-0456,Image;StillImage,image/jpeg,eng,"In copyright, educational use permitted. Educational use includes non-commercial reproduction of text and images in materials for teaching and research purposes. For other contexts beyond fair use, including digital reproduction, please contact the University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu. The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/InC-EDU/1.0/,mg660_box1_9-0456.jpg,image,https://objects.lib.uidaho.edu/buttons/mg660_box1_9-0456.jpg,https://objects.lib.uidaho.edu/buttons/small/mg660_box1_9-0456_sm.jpg,https://objects.lib.uidaho.edu/buttons/thumbs/mg660_box1_9-0456_th.jpg
mg660_box1_9-0457,,Goldwater Miller,"Goldwater, Barry; Miller, William",1964,Barry Goldwater and William Miller. Republican Party nominees for President and Vice President of the United States.,"Round, white button with a black elephant wearing a pair of glasses at the center. Red text reads ""Goldwater Miller"", which encircles the elephant. ",President; Vice President,Republican,yes,president; vice president,lost,elections; presidents; political buttons; political pins; vice-presidents,,,,"MG 660, Political Buttons and Stickers collection, Special Collections and Archives, University of Idaho Library",mg660_box1_9-0457,Image;StillImage,image/jpeg,eng,"In copyright, educational use permitted. Educational use includes non-commercial reproduction of text and images in materials for teaching and research purposes. For other contexts beyond fair use, including digital reproduction, please contact the University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu. The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/InC-EDU/1.0/,mg660_box1_9-0457.jpg,image,https://objects.lib.uidaho.edu/buttons/mg660_box1_9-0457.jpg,https://objects.lib.uidaho.edu/buttons/small/mg660_box1_9-0457_sm.jpg,https://objects.lib.uidaho.edu/buttons/thumbs/mg660_box1_9-0457_th.jpg
mg660_box1_9-0458,,"""In your heart, you know he's right!""","Goldwater, Barry",1964,Barry Goldwater. Republican Party nominee for President of the United States.,"Round, white button with a red heart at the center. White text reads """"In your heart, you know he's right!"""".",President,Republican,yes,president,lost,elections; presidents; political buttons; political pins;,,,,"MG 660, Political Buttons and Stickers collection, Special Collections and Archives, University of Idaho Library",mg660_box1_9-0458,Image;StillImage,image/jpeg,eng,"In copyright, educational use permitted. Educational use includes non-commercial reproduction of text and images in materials for teaching and research purposes. For other contexts beyond fair use, including digital reproduction, please contact the University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu. The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/InC-EDU/1.0/,mg660_box1_9-0458.jpg,image,https://objects.lib.uidaho.edu/buttons/mg660_box1_9-0458.jpg,https://objects.lib.uidaho.edu/buttons/small/mg660_box1_9-0458_sm.jpg,https://objects.lib.uidaho.edu/buttons/thumbs/mg660_box1_9-0458_th.jpg
