title,photographer,description,date,date_approximate,subject (lcsh),subject,location,features,latitude,longitude,source,identifier,rights,rightsstatement,type,format,language,moscow number,fs number,cdm_url,cdmid,objectid,display_template,filename,object_location,image_small,image_thumb,errors
"Southwest slope with plants No. 20, 18, 2 and 19",,"Caption reads: ""Fig. 10. Series B. Southwest slope. Plants No. 20, 18, 2 and 19, Plot 22, spring 1922. The plant in front of the board grows near an old trail. It has also considerable competition from grass and small shrubs. The plant to the right has had very little competition and no shade.""",1922,yes,United States--Idaho--Bonner County--Priest River Experimental Forest--Benton Flat Nursery,,"Bonner County, Idaho",Priest River Experimental Forest; Benton Flat Nursery,48.35194444,-116.8402778,"The sources for the photos in this collection were as follows: Priest River Experimental Forest, Moscow Foresty Sciences Lab, USDA-Forest Service Region 1 archive, University of Montana Library Gisborne Collection, and Ms. Susan Marsh",ClassOfStock1923_P07,"Material produced by the United States Forest Service and is in Public Domain. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://creativecommons.org/publicdomain/mark/1.0/,Image;StillImage,image/jpeg,eng,613,,http://digital.lib.uidaho.edu:80/cdm/ref/collection/expforsav/id/163,163,expforsav163,image,expforsav163.jpg,https://objects.lib.uidaho.edu/expforest/expforsav163.jpg,https://objects.lib.uidaho.edu/expforest/small/expforsav163_sm.jpg,https://objects.lib.uidaho.edu/expforest/thumbs/expforsav163_th.jpg,
Western yellow pine planted in the spring of 1912 at 8 years,,"Caption reads: ""Fig. 5. Western yellow pine 1-0 stock, Helena seed, planted spring 1912.""",1920,yes,United States--Idaho--Bonner County--Priest River Experimental Forest--Benton Flat Nursery,,"Bonner County, Idaho",Priest River Experimental Forest; Benton Flat Nursery,48.35194444,-116.8402778,"The sources for the photos in this collection were as follows: Priest River Experimental Forest, Moscow Foresty Sciences Lab, USDA-Forest Service Region 1 archive, University of Montana Library Gisborne Collection, and Ms. Susan Marsh",ClassOfStock1923_P04,"Material produced by the United States Forest Service and is in Public Domain. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://creativecommons.org/publicdomain/mark/1.0/,Image;StillImage,image/jpeg,eng,610,Illegible,http://digital.lib.uidaho.edu:80/cdm/ref/collection/expforsav/id/164,164,expforsav164,image,expforsav164.jpg,https://objects.lib.uidaho.edu/expforest/expforsav164.jpg,https://objects.lib.uidaho.edu/expforest/small/expforsav164_sm.jpg,https://objects.lib.uidaho.edu/expforest/thumbs/expforsav164_th.jpg,
Southwest slope plant No. 44,"Larsen, J. A.","Caption reads: ""Fig. 11. Series B, southwest slope. Plant No. 44, Plot 22, spring 1921. This plant has been crowded by grass and shrubbery all its life, and has obtained very little light. The wonder is that it has hung on to life for 10 years. (Still alive fall 1922). Note the setback in height growth. It has evidently not been able to grow laterals.""",1921,yes,United States--Idaho--Bonner County--Priest River Experimental Forest--Benton Flat Nursery,,"Bonner County, Idaho",Priest River Experimental Forest; Benton Flat Nursery,48.35194444,-116.8402778,"The sources for the photos in this collection were as follows: Priest River Experimental Forest, Moscow Foresty Sciences Lab, USDA-Forest Service Region 1 archive, University of Montana Library Gisborne Collection, and Ms. Susan Marsh",ClassOfStock1923_P08,"Material produced by the United States Forest Service and is in Public Domain. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://creativecommons.org/publicdomain/mark/1.0/,Image;StillImage,image/jpeg,eng,614,165161,http://digital.lib.uidaho.edu:80/cdm/ref/collection/expforsav/id/165,165,expforsav165,image,expforsav165.jpg,https://objects.lib.uidaho.edu/expforest/expforsav165.jpg,https://objects.lib.uidaho.edu/expforest/small/expforsav165_sm.jpg,https://objects.lib.uidaho.edu/expforest/thumbs/expforsav165_th.jpg,
Southwest slope plant No. 36,"Larsen, J. A.","Caption reads: ""Fig. 12. Series B, southwest slope. Plant No. 36, Plot 22, 1-1 western yellow pine, planted fall 1912. View spring 1922. A plant which has very little competition. It obtains full sunlight.""",1922,yes,United States--Idaho--Bonner County--Priest River Experimental Forest--Benton Flat Nursery,,"Bonner County, Idaho",Priest River Experimental Forest; Benton Flat Nursery,48.35194444,-116.8402778,"The sources for the photos in this collection were as follows: Priest River Experimental Forest, Moscow Foresty Sciences Lab, USDA-Forest Service Region 1 archive, University of Montana Library Gisborne Collection, and Ms. Susan Marsh",ClassOfStock1923_P09,"Material produced by the United States Forest Service and is in Public Domain. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://creativecommons.org/publicdomain/mark/1.0/,Image;StillImage,image/jpeg,eng,615,165162,http://digital.lib.uidaho.edu:80/cdm/ref/collection/expforsav/id/166,166,expforsav166,image,expforsav166.jpg,https://objects.lib.uidaho.edu/expforest/expforsav166.jpg,https://objects.lib.uidaho.edu/expforest/small/expforsav166_sm.jpg,https://objects.lib.uidaho.edu/expforest/thumbs/expforsav166_th.jpg,
A series of snow scenes [07],"Gisborne, Harry Thomas, 1893-1949","A series of snow scenes with notes by Gisborne expressing his dissatisfaction with building design, landscaping, drainage, and lost time shoveling roofs.",1938,,United States--Idaho--Bonner County--Priest Creek Experimental Forest Headquarters,,"Bonner County, Idaho",Priest Creek Experimental Forest Headquarters,48.35222222,-116.8355556,"The sources for the photos in this collection were as follows: Priest River Experimental Forest, Moscow Foresty Sciences Lab, USDA-Forest Service Region 1 archive, University of Montana Library Gisborne Collection, and Ms. Susan Marsh",1949GisBunkhouseE,"Material produced by the United States Forest Service and is in Public Domain. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://creativecommons.org/publicdomain/mark/1.0/,Image;StillImage,image/jpeg,eng,1177,,http://digital.lib.uidaho.edu:80/cdm/ref/collection/expforsav/id/167,167,expforsav167,image,expforsav167.jpg,https://objects.lib.uidaho.edu/expforest/expforsav167.jpg,https://objects.lib.uidaho.edu/expforest/small/expforsav167_sm.jpg,https://objects.lib.uidaho.edu/expforest/thumbs/expforsav167_th.jpg,
"Southwest slope plant No. 43, plot 22 in the spring 1921","Larsen, J. A.","Caption reads: ""Fig. 13. Series B, southwest slope. Plant No. 43, plot 22. spring 1921. This plant receives sunlight only through the scattered foliage of shrubs. It has also considerable root competition. During six years this plant produced no laterals.""",1921,yes,United States--Idaho--Bonner County--Priest River Experimental Forest--Benton Flat Nursery,,"Bonner County, Idaho",Priest River Experimental Forest; Benton Flat Nursery,48.35194444,-116.8402778,"The sources for the photos in this collection were as follows: Priest River Experimental Forest, Moscow Foresty Sciences Lab, USDA-Forest Service Region 1 archive, University of Montana Library Gisborne Collection, and Ms. Susan Marsh",ClassOfStock1923_P10,"Material produced by the United States Forest Service and is in Public Domain. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://creativecommons.org/publicdomain/mark/1.0/,Image;StillImage,image/jpeg,eng,616,165160,http://digital.lib.uidaho.edu:80/cdm/ref/collection/expforsav/id/168,168,expforsav168,image,expforsav168.jpg,https://objects.lib.uidaho.edu/expforest/expforsav168.jpg,https://objects.lib.uidaho.edu/expforest/small/expforsav168_sm.jpg,https://objects.lib.uidaho.edu/expforest/thumbs/expforsav168_th.jpg,
Western yellow pine,"Larsen, J. A.","Caption reads: ""Fig. 14. Series C, small, medium and large 1-2 stock of western yellow pine.""",1922,yes,United States--Idaho--Bonner County--Priest River Experimental Forest--Benton Flat Nursery,,"Bonner County, Idaho",Priest River Experimental Forest; Benton Flat Nursery,48.35194444,-116.8402778,"The sources for the photos in this collection were as follows: Priest River Experimental Forest, Moscow Foresty Sciences Lab, USDA-Forest Service Region 1 archive, University of Montana Library Gisborne Collection, and Ms. Susan Marsh",ClassOfStock1923_P11,"Material produced by the United States Forest Service and is in Public Domain. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://creativecommons.org/publicdomain/mark/1.0/,Image;StillImage,image/jpeg,eng,617,173316,http://digital.lib.uidaho.edu:80/cdm/ref/collection/expforsav/id/169,169,expforsav169,image,expforsav169.jpg,https://objects.lib.uidaho.edu/expforest/expforsav169.jpg,https://objects.lib.uidaho.edu/expforest/small/expforsav169_sm.jpg,https://objects.lib.uidaho.edu/expforest/thumbs/expforsav169_th.jpg,
Large stock fall 1922,"Larsen, J. A.","Caption reads: ""Fig. 16. Series C, large stock fall 1922.""",1922,yes,United States--Idaho--Bonner County--Priest River Experimental Forest--Benton Flat Nursery,,"Bonner County, Idaho",Priest River Experimental Forest; Benton Flat Nursery,48.35194444,-116.8402778,"The sources for the photos in this collection were as follows: Priest River Experimental Forest, Moscow Foresty Sciences Lab, USDA-Forest Service Region 1 archive, University of Montana Library Gisborne Collection, and Ms. Susan Marsh",ClassOfStock1923_P12,"Material produced by the United States Forest Service and is in Public Domain. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://creativecommons.org/publicdomain/mark/1.0/,Image;StillImage,image/jpeg,eng,618,165167,http://digital.lib.uidaho.edu:80/cdm/ref/collection/expforsav/id/170,170,expforsav170,image,expforsav170.jpg,https://objects.lib.uidaho.edu/expforest/expforsav170.jpg,https://objects.lib.uidaho.edu/expforest/small/expforsav170_sm.jpg,https://objects.lib.uidaho.edu/expforest/thumbs/expforsav170_th.jpg,
"Medium stock, fall 1922","Larsen, J. A.","Caption reads: ""Fig. 17, Series C, medium stock, fall 1922.""",1922,yes,United States--Idaho--Bonner County--Priest River Experimental Forest--Benton Flat Nursery,,"Bonner County, Idaho",Priest River Experimental Forest; Benton Flat Nursery,48.35194444,-116.8402778,"The sources for the photos in this collection were as follows: Priest River Experimental Forest, Moscow Foresty Sciences Lab, USDA-Forest Service Region 1 archive, University of Montana Library Gisborne Collection, and Ms. Susan Marsh",ClassOfStock1923_P13,"Material produced by the United States Forest Service and is in Public Domain. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://creativecommons.org/publicdomain/mark/1.0/,Image;StillImage,image/jpeg,eng,619,165166,http://digital.lib.uidaho.edu:80/cdm/ref/collection/expforsav/id/171,171,expforsav171,image,expforsav171.jpg,https://objects.lib.uidaho.edu/expforest/expforsav171.jpg,https://objects.lib.uidaho.edu/expforest/small/expforsav171_sm.jpg,https://objects.lib.uidaho.edu/expforest/thumbs/expforsav171_th.jpg,
View of Benton Flat looking south,"Larsen, J. A.","Caption reads: ""Fig. 19, general view Benton Flat looking south, Series C in foreground, view fall 1921.""",1921,yes,United States--Idaho--Bonner County--Priest River Experimental Forest--Benton Flat Nursery,,"Bonner County, Idaho",Priest River Experimental Forest; Benton Flat Nursery,48.35194444,-116.8402778,"The sources for the photos in this collection were as follows: Priest River Experimental Forest, Moscow Foresty Sciences Lab, USDA-Forest Service Region 1 archive, University of Montana Library Gisborne Collection, and Ms. Susan Marsh",ClassOfStock1923_P15,"Material produced by the United States Forest Service and is in Public Domain. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://creativecommons.org/publicdomain/mark/1.0/,Image;StillImage,image/jpeg,eng,621,,http://digital.lib.uidaho.edu:80/cdm/ref/collection/expforsav/id/172,172,expforsav172,image,expforsav172.jpg,https://objects.lib.uidaho.edu/expforest/expforsav172.jpg,https://objects.lib.uidaho.edu/expforest/small/expforsav172_sm.jpg,https://objects.lib.uidaho.edu/expforest/thumbs/expforsav172_th.jpg,
"View of southwest, south and southeast yellow pine-Douglas fir slopes","Larsen, J. A.","Caption reads: ""view of southwest, south and southeast yellow pine-Douglas fir slopes. Rectangles in ink indicate locations of plantations Series E.""",1950,yes,United States--Idaho--Bonner County--Priest River Experimental Forest--Benton Flat Nursery,,"Bonner County, Idaho",Priest River Experimental Forest; Benton Flat Nursery,48.35194444,-116.8402778,"The sources for the photos in this collection were as follows: Priest River Experimental Forest, Moscow Foresty Sciences Lab, USDA-Forest Service Region 1 archive, University of Montana Library Gisborne Collection, and Ms. Susan Marsh",ClassOfStock1923_P16,"Material produced by the United States Forest Service and is in Public Domain. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://creativecommons.org/publicdomain/mark/1.0/,Image;StillImage,image/jpeg,eng,622,173251,http://digital.lib.uidaho.edu:80/cdm/ref/collection/expforsav/id/173,173,expforsav173,image,expforsav173.jpg,https://objects.lib.uidaho.edu/expforest/expforsav173.jpg,https://objects.lib.uidaho.edu/expforest/small/expforsav173_sm.jpg,https://objects.lib.uidaho.edu/expforest/thumbs/expforsav173_th.jpg,
General view of headquarters of Clearwater Timber Company,"Swan, Kenneth D. (Kenneth Dupee), 1887-1970",General view of headquarters of Clearwater Timber Company.,1930,,United States--Idaho--Clearwater County--Pierce,,"Pierce, Idaho",,,,"The sources for the photos in this collection were as follows: Priest River Experimental Forest, Moscow Foresty Sciences Lab, USDA-Forest Service Region 1 archive, University of Montana Library Gisborne Collection, and Ms. Susan Marsh",ClearwaterTimberHeadquarters,"Material produced by the United States Forest Service and is in Public Domain. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://creativecommons.org/publicdomain/mark/1.0/,Image;StillImage,image/jpeg,eng,247,24648-8,http://digital.lib.uidaho.edu:80/cdm/ref/collection/expforsav/id/174,174,expforsav174,image,expforsav174.jpg,https://objects.lib.uidaho.edu/expforest/expforsav174.jpg,https://objects.lib.uidaho.edu/expforest/small/expforsav174_sm.jpg,https://objects.lib.uidaho.edu/expforest/thumbs/expforsav174_th.jpg,
"Small stock, fall 1922","Larsen, J. A.","Caption reads: ""Fig. 18, Series C, small stock, fall 1922.""",1922,yes,United States--Idaho--Bonner County--Priest River Experimental Forest--Benton Flat Nursery,,"Bonner County, Idaho",Priest River Experimental Forest; Benton Flat Nursery,48.35194444,-116.8402778,"The sources for the photos in this collection were as follows: Priest River Experimental Forest, Moscow Foresty Sciences Lab, USDA-Forest Service Region 1 archive, University of Montana Library Gisborne Collection, and Ms. Susan Marsh",ClassOfStock1923_P14,"Material produced by the United States Forest Service and is in Public Domain. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://creativecommons.org/publicdomain/mark/1.0/,Image;StillImage,image/jpeg,eng,620,165165,http://digital.lib.uidaho.edu:80/cdm/ref/collection/expforsav/id/175,175,expforsav175,image,expforsav175.jpg,https://objects.lib.uidaho.edu/expforest/expforsav175.jpg,https://objects.lib.uidaho.edu/expforest/small/expforsav175_sm.jpg,https://objects.lib.uidaho.edu/expforest/thumbs/expforsav175_th.jpg,
Central control station for weather work in fire studies,"Munns, E.N.",Idaho-Priest River For. Expt. Sta. Central control station for weather work in fire studies.,1924,,United States--Idaho--Bonner County--Priest River Experimental Station--Weather Station,,"Bonner County, Idaho",Priest River Experimental Station; Weather Station,48.35111111,-116.8355556,"The sources for the photos in this collection were as follows: Priest River Experimental Forest, Moscow Foresty Sciences Lab, USDA-Forest Service Region 1 archive, University of Montana Library Gisborne Collection, and Ms. Susan Marsh",ControlWS,"Material produced by the United States Forest Service and is in Public Domain. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://creativecommons.org/publicdomain/mark/1.0/,Image;StillImage,image/jpeg,eng,1185,192935,http://digital.lib.uidaho.edu:80/cdm/ref/collection/expforsav/id/176,176,expforsav176,image,expforsav176.jpg,https://objects.lib.uidaho.edu/expforest/expforsav176.jpg,https://objects.lib.uidaho.edu/expforest/small/expforsav176_sm.jpg,https://objects.lib.uidaho.edu/expforest/thumbs/expforsav176_th.jpg,
Hazen instrument,"Thompson, J. B.","No date, large Hazen instrument shelter on left was installed in 1932, note anemometers mounted on fence for calibration.",1945,y,United States--Idaho--Bonner County--Priest River Experimental Station--Weather Station,,"Bonner County, Idaho",Priest River Experimental Station; Weather Station,48.35111111,-116.8355556,"The sources for the photos in this collection were as follows: Priest River Experimental Forest, Moscow Foresty Sciences Lab, USDA-Forest Service Region 1 archive, University of Montana Library Gisborne Collection, and Ms. Susan Marsh",ControlWS2,"Material produced by the United States Forest Service and is in Public Domain. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://creativecommons.org/publicdomain/mark/1.0/,Image;StillImage,image/jpeg,eng,1211,,http://digital.lib.uidaho.edu:80/cdm/ref/collection/expforsav/id/177,177,expforsav177,image,expforsav177.jpg,https://objects.lib.uidaho.edu/expforest/expforsav177.jpg,https://objects.lib.uidaho.edu/expforest/small/expforsav177_sm.jpg,https://objects.lib.uidaho.edu/expforest/thumbs/expforsav177_th.jpg,
A series of snow scenes [09],"Gisborne, Harry Thomas, 1893-1949","A series of snow scenes with notes by Gisborne expressing his dissatisfaction with building design, landscaping, drainage, and lost time shoveling roofs. Wellner in front of cabin.",1949,,United States--Idaho--Bonner County--Priest Creek Experimental Forest Headquarters,,"Bonner County, Idaho",Priest Creek Experimental Forest Headquarters,48.35222222,-116.8355556,"The sources for the photos in this collection were as follows: Priest River Experimental Forest, Moscow Foresty Sciences Lab, USDA-Forest Service Region 1 archive, University of Montana Library Gisborne Collection, and Ms. Susan Marsh",1949GisCabin2a,"Material produced by the United States Forest Service and is in Public Domain. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://creativecommons.org/publicdomain/mark/1.0/,Image;StillImage,image/jpeg,eng,1182,,http://digital.lib.uidaho.edu:80/cdm/ref/collection/expforsav/id/178,178,expforsav178,image,expforsav178.jpg,https://objects.lib.uidaho.edu/expforest/expforsav178.jpg,https://objects.lib.uidaho.edu/expforest/small/expforsav178_sm.jpg,https://objects.lib.uidaho.edu/expforest/thumbs/expforsav178_th.jpg,
"Weather Station at Priest River, looking south","Thompson, J. B.","Weather Station at Priest River, looking south, Spring 1932.",1932,,United States--Idaho--Bonner County--Priest River Experimental Station--Weather Station,,"Bonner County, Idaho",Priest River Experimental Station; Weather Station,48.35111111,-116.8355556,"The sources for the photos in this collection were as follows: Priest River Experimental Forest, Moscow Foresty Sciences Lab, USDA-Forest Service Region 1 archive, University of Montana Library Gisborne Collection, and Ms. Susan Marsh",ControlWS3,"Material produced by the United States Forest Service and is in Public Domain. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://creativecommons.org/publicdomain/mark/1.0/,Image;StillImage,image/jpeg,eng,1233,271627,http://digital.lib.uidaho.edu:80/cdm/ref/collection/expforsav/id/179,179,expforsav179,image,expforsav179.jpg,https://objects.lib.uidaho.edu/expforest/expforsav179.jpg,https://objects.lib.uidaho.edu/expforest/small/expforsav179_sm.jpg,https://objects.lib.uidaho.edu/expforest/thumbs/expforsav179_th.jpg,
Gisborne at the Control weather station,"Munns, E.N.","Gisborne at the Control weather station. Note the absence of the weather tree and in the background, a new 150' weather tower.",1940,yes,United States--Idaho--Bonner County--Priest River Experimental Station--Weather Station,,"Bonner County, Idaho",Priest River Experimental Station; Weather Station,48.35111111,-116.8355556,"The sources for the photos in this collection were as follows: Priest River Experimental Forest, Moscow Foresty Sciences Lab, USDA-Forest Service Region 1 archive, University of Montana Library Gisborne Collection, and Ms. Susan Marsh",ControlWSGisborne,"Material produced by the United States Forest Service and is in Public Domain. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://creativecommons.org/publicdomain/mark/1.0/,Image;StillImage,image/jpeg,eng,1233a,,http://digital.lib.uidaho.edu:80/cdm/ref/collection/expforsav/id/180,180,expforsav180,image,expforsav180.jpg,https://objects.lib.uidaho.edu/expforest/expforsav180.jpg,https://objects.lib.uidaho.edu/expforest/small/expforsav180_sm.jpg,https://objects.lib.uidaho.edu/expforest/thumbs/expforsav180_th.jpg,
International TD-18A Bulldozer equipped with Issacon brush blade pushing a large pile of slash down about a 25% slope in a larch-Douglas fir clear cutting on the Coram Experimental Forest,"Boe, Kenneth N.",International TD-18A Bulldozer equipped with Issacon brush blade pushing a large pile of slash down about a 25% slope in a larch-Douglas fir clear cutting on the Coram Experimental Forest.,1952,,United States--Montana--Flathead County--Coram Experimental Forest,,"Flathead County, Montana",Coram Experimental Forest,,,"The sources for the photos in this collection were as follows: Priest River Experimental Forest, Moscow Foresty Sciences Lab, USDA-Forest Service Region 1 archive, University of Montana Library Gisborne Collection, and Ms. Susan Marsh",CoramDozer1,"Material produced by the United States Forest Service and is in Public Domain. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://creativecommons.org/publicdomain/mark/1.0/,Image;StillImage,image/jpeg,eng,248.2,470709,http://digital.lib.uidaho.edu:80/cdm/ref/collection/expforsav/id/181,181,expforsav181,image,expforsav181.jpg,https://objects.lib.uidaho.edu/expforest/expforsav181.jpg,https://objects.lib.uidaho.edu/expforest/small/expforsav181_sm.jpg,https://objects.lib.uidaho.edu/expforest/thumbs/expforsav181_th.jpg,
Tipping a snag during slash piling operations in a larch-Douglas fir clear cutting on the Coram Experimental Forest,"Boe, Kenneth N.",Tipping a snag during slash piling operations in a larch-Douglas fir clear cutting on the Coram Experimental Forest.,1952,,United States--Montana--Flathead County--Coram Experimental Forest,,"Flathead County, Montana",Coram Experimental Forest,,,"The sources for the photos in this collection were as follows: Priest River Experimental Forest, Moscow Foresty Sciences Lab, USDA-Forest Service Region 1 archive, University of Montana Library Gisborne Collection, and Ms. Susan Marsh",CoramDozer2,"Material produced by the United States Forest Service and is in Public Domain. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://creativecommons.org/publicdomain/mark/1.0/,Image;StillImage,image/jpeg,eng,248.3,470710,http://digital.lib.uidaho.edu:80/cdm/ref/collection/expforsav/id/182,182,expforsav182,image,expforsav182.jpg,https://objects.lib.uidaho.edu/expforest/expforsav182.jpg,https://objects.lib.uidaho.edu/expforest/small/expforsav182_sm.jpg,https://objects.lib.uidaho.edu/expforest/thumbs/expforsav182_th.jpg,
Clearing landing field at Big Prairie R.S. Flathead N.F,"Swan, Kenneth D. (Kenneth Dupee), 1887-1970",Big Prairie Ranger Station at Flathead National Forest,1932,,United States--Montana--Missoula County--Flathead National Forest,,"Missoula County, Montana",Flathead National Forest,,,"The sources for the photos in this collection were as follows: Priest River Experimental Forest, Moscow Foresty Sciences Lab, USDA-Forest Service Region 1 archive, University of Montana Library Gisborne Collection, and Ms. Susan Marsh",BigPrairieAirstrip1,"Material produced by the United States Forest Service and is in Public Domain. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://creativecommons.org/publicdomain/mark/1.0/,Image;StillImage,image/jpeg,eng,2481,272362,http://digital.lib.uidaho.edu:80/cdm/ref/collection/expforsav/id/183,183,expforsav183,image,expforsav183.jpg,https://objects.lib.uidaho.edu/expforest/expforsav183.jpg,https://objects.lib.uidaho.edu/expforest/small/expforsav183_sm.jpg,https://objects.lib.uidaho.edu/expforest/thumbs/expforsav183_th.jpg,
Cottage and weather instruments,"Swan, Kenneth D. (Kenneth Dupee), 1887-1970",Kaniksu National Forest Idaho. Cottage and weather instruments at Experimental Station.,1923,,United States--Idaho--Bonner County--Priest Creek Experimental Forest Headquarters,,"Bonner County, Idaho",Priest Creek Experimental Forest Headquarters,48.35222222,-116.8355556,"The sources for the photos in this collection were as follows: Priest River Experimental Forest, Moscow Foresty Sciences Lab, USDA-Forest Service Region 1 archive, University of Montana Library Gisborne Collection, and Ms. Susan Marsh",Cottage_1923,"Material produced by the United States Forest Service and is in Public Domain. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://creativecommons.org/publicdomain/mark/1.0/,Image;StillImage,image/jpeg,eng,2484,176976,http://digital.lib.uidaho.edu:80/cdm/ref/collection/expforsav/id/184,184,expforsav184,image,expforsav184.jpg,https://objects.lib.uidaho.edu/expforest/expforsav184.jpg,https://objects.lib.uidaho.edu/expforest/small/expforsav184_sm.jpg,https://objects.lib.uidaho.edu/expforest/thumbs/expforsav184_th.jpg,
Priest Creek Experimental Forest Headquarters [02],"Thompson, J. B.","No information, but image shows building located on Priest Creek Experimental Forest Office.",1932,Yes,United States--Idaho--Bonner County--Priest Creek Experimental Forest Office,,"Bonner County, Idaho",Priest Creek Experimental Forest Office,48.35222222,-116.8355556,"The sources for the photos in this collection were as follows: Priest River Experimental Forest, Moscow Foresty Sciences Lab, USDA-Forest Service Region 1 archive, University of Montana Library Gisborne Collection, and Ms. Susan Marsh",Cottage_2,"Material produced by the United States Forest Service and is in Public Domain. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://creativecommons.org/publicdomain/mark/1.0/,Image;StillImage,image/jpeg,eng,1158,,http://digital.lib.uidaho.edu:80/cdm/ref/collection/expforsav/id/185,185,expforsav185,image,expforsav185.jpg,https://objects.lib.uidaho.edu/expforest/expforsav185.jpg,https://objects.lib.uidaho.edu/expforest/small/expforsav185_sm.jpg,https://objects.lib.uidaho.edu/expforest/thumbs/expforsav185_th.jpg,
These are the only known photos of the interior of the original cottages,"Larsen, J. A.","Scanned from the Larsen family album, on loan from Sue Marsh, great granddaughter of J.A. Larsen.  These are the only known photos of the interior of the original cottages.  Cottage 1 was the residence for the Larsen family 1917-21.  J.A. Larsen started as a researcher and succeeded Donald Brewster as the second Station Director.  Photo of master bedroom, cottage 1, no date, probably 1919-21 era.  Note radiator.",1920,yes,United States--Idaho--Bonner County--Priest Creek Experimental Forest Headquarters,,"Bonner County, Idaho",Priest Creek Experimental Forest Headquarters,48.35222222,-116.8355556,"The sources for the photos in this collection were as follows: Priest River Experimental Forest, Moscow Foresty Sciences Lab, USDA-Forest Service Region 1 archive, University of Montana Library Gisborne Collection, and Ms. Susan Marsh",Cottage1_Bedroom,"Material produced by the United States Forest Service and is in Public Domain. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://creativecommons.org/publicdomain/mark/1.0/,Image;StillImage,image/jpeg,eng,501,,http://digital.lib.uidaho.edu:80/cdm/ref/collection/expforsav/id/186,186,expforsav186,image,expforsav186.jpg,https://objects.lib.uidaho.edu/expforest/expforsav186.jpg,https://objects.lib.uidaho.edu/expforest/small/expforsav186_sm.jpg,https://objects.lib.uidaho.edu/expforest/thumbs/expforsav186_th.jpg,
Left is daughter Margaret. Christmas photograph of Larsen family,"Larsen, J. A.",Left is daughter Margaret in front of a Christmas tree. The Larsens lived at Priest Creek Experimental Forest from 1913 to 1922.,1920,yes,United States--Idaho--Bonner County--Priest Creek Experimental Forest Headquarters,,"Bonner County, Idaho",Priest Creek Experimental Forest Headquarters,48.35222222,-116.8355556,"The sources for the photos in this collection were as follows: Priest River Experimental Forest, Moscow Foresty Sciences Lab, USDA-Forest Service Region 1 archive, University of Montana Library Gisborne Collection, and Ms. Susan Marsh",Cottage1_Christmas_1920,"Material produced by the United States Forest Service and is in Public Domain. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://creativecommons.org/publicdomain/mark/1.0/,Image;StillImage,image/jpeg,eng,503,,http://digital.lib.uidaho.edu:80/cdm/ref/collection/expforsav/id/187,187,expforsav187,image,expforsav187.jpg,https://objects.lib.uidaho.edu/expforest/expforsav187.jpg,https://objects.lib.uidaho.edu/expforest/small/expforsav187_sm.jpg,https://objects.lib.uidaho.edu/expforest/thumbs/expforsav187_th.jpg,
