objectid,parentid,title,creator,recipient ,date,approximated_date,archival_date,description,subject,location,latitude,longitude,source,filename,identifier,type,format,format_original,findingaid,digital_collection,contributing_institution,language,rights,rightsstatement,display_template,object_location,image_small,image_thumb,object_transcript
cougar-dave_054,,Letter from Otto M. Jones,"Jones, Otto M.",,1922-06-28,,28 June 1922,"A letter from Otto M. Jones, state game warden, about David Lewis' permission to kill and trap predatory animals.",letters; game warden; predatory animals; hunting; trapping,"Boise, Idaho",43.61494622,-116.2026585,"David (Cougar Dave) Lewis Papers, MG 190, University of Idaho Library Special Collections and Archives",mg190_b1_f7_e1-003.pdf,mg190_b1_f7_e1-003,Text,application/pdf,letter,https://archiveswest.orbiscascade.org/ark:/80444/xv35232/,David (Cougar Dave) Lewis Papers Collection,,eng,"Material has likely passed into public domain. Digital reproductions are made available by University of Idaho Library for educational purposes, and future use should acknowledge this repository. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu. The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/NoC-US/1.0/,pdf,https://objects.lib.uidaho.edu/cougar-dave/mg190_b1_f7_e1-003.pdf,https://objects.lib.uidaho.edu/cougar-dave/small/mg190_b1_f7_e1-003_sm.jpg,https://objects.lib.uidaho.edu/cougar-dave/thumbs/mg190_b1_f7_e1-003_th.jpg,
cougar-dave_055,,Six men and Dave Lewis in front of a cabin,,,,,undated,"Several men including Dave Lewis, horses, and dogs are pictured in front of a cabin.",photograph; people; animals; horses; dogs; cabin,,,,"David (Cougar Dave) Lewis Papers, MG 190, University of Idaho Library Special Collections and Archives",mg190_b1_f7_e1-004.jpg,mg190_b1_f7_e1-004,Image;StillImage,image/jpeg,photograph,https://archiveswest.orbiscascade.org/ark:/80444/xv35232/,David (Cougar Dave) Lewis Papers Collection,,eng,"In copyright, educational use permitted. Educational use includes non-commercial reproduction of text and images in materials for teaching and research purposes. For other contexts beyond fair use, including digital reproduction, please contact the University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu. The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/InC-EDU/1.0/,image,https://objects.lib.uidaho.edu/cougar-dave/mg190_b1_f7_e1-004.jpg,https://objects.lib.uidaho.edu/cougar-dave/small/mg190_b1_f7_e1-004_sm.jpg,https://objects.lib.uidaho.edu/cougar-dave/thumbs/mg190_b1_f7_e1-004_th.jpg,
cougar-dave_056,,Unidentified woman and man,,,,,undated,"A woman and man, cast under a shadow, stand in a yard in front of a clothesline.",photographs; yard; clothesline,,,,"David (Cougar Dave) Lewis Papers, MG 190, University of Idaho Library Special Collections and Archives",mg190_b1_f7_e1-005a.jpg,mg190_b1_f7_e1-005a,Image;StillImage,image/jpeg,photograph,https://archiveswest.orbiscascade.org/ark:/80444/xv35232/,David (Cougar Dave) Lewis Papers Collection,,eng,"In copyright, educational use permitted. Educational use includes non-commercial reproduction of text and images in materials for teaching and research purposes. For other contexts beyond fair use, including digital reproduction, please contact the University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu. The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/InC-EDU/1.0/,image,https://objects.lib.uidaho.edu/cougar-dave/mg190_b1_f7_e1-005a.jpg,https://objects.lib.uidaho.edu/cougar-dave/small/mg190_b1_f7_e1-005a_sm.jpg,https://objects.lib.uidaho.edu/cougar-dave/thumbs/mg190_b1_f7_e1-005a_th.jpg,
cougar-dave_057,,Two Men and a headstone,,,,,undated,Two men stand on either side of a headstone.,photograph; people; headstones,,,,"David (Cougar Dave) Lewis Papers, MG 190, University of Idaho Library Special Collections and Archives",mg190_b1_f7_e1-005b.jpg,mg190_b1_f7_e1-005b,Image;StillImage,image/jpeg,photograph,https://archiveswest.orbiscascade.org/ark:/80444/xv35232/,David (Cougar Dave) Lewis Papers Collection,,eng,"In copyright, educational use permitted. Educational use includes non-commercial reproduction of text and images in materials for teaching and research purposes. For other contexts beyond fair use, including digital reproduction, please contact the University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu. The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/InC-EDU/1.0/,image,https://objects.lib.uidaho.edu/cougar-dave/mg190_b1_f7_e1-005b.jpg,https://objects.lib.uidaho.edu/cougar-dave/small/mg190_b1_f7_e1-005b_sm.jpg,https://objects.lib.uidaho.edu/cougar-dave/thumbs/mg190_b1_f7_e1-005b_th.jpg,
cougar-dave_058,,Man on horse,,,,,undated,"A side, close-up photographed view of a man on his horse in front of a set of hills.",photographs; person; horses; hills,,,,"David (Cougar Dave) Lewis Papers, MG 190, University of Idaho Library Special Collections and Archives",mg190_b1_f7_e1-006a.jpg,mg190_b1_f7_e1-006a,Image;StillImage,image/jpeg,photograph,https://archiveswest.orbiscascade.org/ark:/80444/xv35232/,David (Cougar Dave) Lewis Papers Collection,,eng,"In copyright, educational use permitted. Educational use includes non-commercial reproduction of text and images in materials for teaching and research purposes. For other contexts beyond fair use, including digital reproduction, please contact the University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu. The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/InC-EDU/1.0/,image,https://objects.lib.uidaho.edu/cougar-dave/mg190_b1_f7_e1-006a.jpg,https://objects.lib.uidaho.edu/cougar-dave/small/mg190_b1_f7_e1-006a_sm.jpg,https://objects.lib.uidaho.edu/cougar-dave/thumbs/mg190_b1_f7_e1-006a_th.jpg,
cougar-dave_059,,Man and animal skins,,,,,undated,A man stands in front of six animal skins displayed on the outside of a log cabin. Two dogs are featured on the right.,photographs; animal skins; log cabin; dogs,,,,"David (Cougar Dave) Lewis Papers, MG 190, University of Idaho Library Special Collections and Archives",mg190_b1_f7_e1-006b.jpg,mg190_b1_f7_e1-006b,Image;StillImage,image/jpeg,photograph,https://archiveswest.orbiscascade.org/ark:/80444/xv35232/,David (Cougar Dave) Lewis Papers Collection,,eng,"In copyright, educational use permitted. Educational use includes non-commercial reproduction of text and images in materials for teaching and research purposes. For other contexts beyond fair use, including digital reproduction, please contact the University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu. The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/InC-EDU/1.0/,image,https://objects.lib.uidaho.edu/cougar-dave/mg190_b1_f7_e1-006b.jpg,https://objects.lib.uidaho.edu/cougar-dave/small/mg190_b1_f7_e1-006b_sm.jpg,https://objects.lib.uidaho.edu/cougar-dave/thumbs/mg190_b1_f7_e1-006b_th.jpg,
cougar-dave_060,,"Dave Lewis, unidentified man, and two dogs",,,,,undated,A close-up shot of two men posing for the camera. Dave Lewis (right) holds a gun in his right hand. Two dogs stand to the left.,photographs; people; guns; dogs,,,,"David (Cougar Dave) Lewis Papers, MG 190, University of Idaho Library Special Collections and Archives",mg190_b1_f7_e1-006c.jpg,mg190_b1_f7_e1-006c,Image;StillImage,image/jpeg,photograph,https://archiveswest.orbiscascade.org/ark:/80444/xv35232/,David (Cougar Dave) Lewis Papers Collection,,eng,"In copyright, educational use permitted. Educational use includes non-commercial reproduction of text and images in materials for teaching and research purposes. For other contexts beyond fair use, including digital reproduction, please contact the University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu. The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/InC-EDU/1.0/,image,https://objects.lib.uidaho.edu/cougar-dave/mg190_b1_f7_e1-006c.jpg,https://objects.lib.uidaho.edu/cougar-dave/small/mg190_b1_f7_e1-006c_sm.jpg,https://objects.lib.uidaho.edu/cougar-dave/thumbs/mg190_b1_f7_e1-006c_th.jpg,
cougar-dave_061,,Dog Close-up Shot [01],,,,,undated,"A close-up shot of a dog laying down in grass, focused on something off camera on the right.",photographs; dogs,,,,"David (Cougar Dave) Lewis Papers, MG 190, University of Idaho Library Special Collections and Archives",mg190_b1_f7_e1-007a.jpg,mg190_b1_f7_e1-007a,Image;StillImage,image/jpeg,photograph,https://archiveswest.orbiscascade.org/ark:/80444/xv35232/,David (Cougar Dave) Lewis Papers Collection,,eng,"In copyright, educational use permitted. Educational use includes non-commercial reproduction of text and images in materials for teaching and research purposes. For other contexts beyond fair use, including digital reproduction, please contact the University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu. The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/InC-EDU/1.0/,image,https://objects.lib.uidaho.edu/cougar-dave/mg190_b1_f7_e1-007a.jpg,https://objects.lib.uidaho.edu/cougar-dave/small/mg190_b1_f7_e1-007a_sm.jpg,https://objects.lib.uidaho.edu/cougar-dave/thumbs/mg190_b1_f7_e1-007a_th.jpg,
cougar-dave_062,,Dog Close-up Shot [02],,,,,undated,"A close-up shot of a dog standing towards the camera with its head turned to the right side, looking away.",photographs; dogs,,,,"David (Cougar Dave) Lewis Papers, MG 190, University of Idaho Library Special Collections and Archives",mg190_b1_f7_e1-007b.jpg,mg190_b1_f7_e1-007b,Image;StillImage,image/jpeg,photograph,https://archiveswest.orbiscascade.org/ark:/80444/xv35232/,David (Cougar Dave) Lewis Papers Collection,,eng,"In copyright, educational use permitted. Educational use includes non-commercial reproduction of text and images in materials for teaching and research purposes. For other contexts beyond fair use, including digital reproduction, please contact the University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu. The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/InC-EDU/1.0/,image,https://objects.lib.uidaho.edu/cougar-dave/mg190_b1_f7_e1-007b.jpg,https://objects.lib.uidaho.edu/cougar-dave/small/mg190_b1_f7_e1-007b_sm.jpg,https://objects.lib.uidaho.edu/cougar-dave/thumbs/mg190_b1_f7_e1-007b_th.jpg,
cougar-dave_063,,Dog Close-up Shot [03],,,,,undated,A close-up shot tof two dogs standing and staring at the camera.,photographs; dogs,,,,"David (Cougar Dave) Lewis Papers, MG 190, University of Idaho Library Special Collections and Archives",mg190_b1_f7_e1-008a.jpg,mg190_b1_f7_e1-008a,Image;StillImage,image/jpeg,photograph,https://archiveswest.orbiscascade.org/ark:/80444/xv35232/,David (Cougar Dave) Lewis Papers Collection,,eng,"In copyright, educational use permitted. Educational use includes non-commercial reproduction of text and images in materials for teaching and research purposes. For other contexts beyond fair use, including digital reproduction, please contact the University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu. The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/InC-EDU/1.0/,image,https://objects.lib.uidaho.edu/cougar-dave/mg190_b1_f7_e1-008a.jpg,https://objects.lib.uidaho.edu/cougar-dave/small/mg190_b1_f7_e1-008a_sm.jpg,https://objects.lib.uidaho.edu/cougar-dave/thumbs/mg190_b1_f7_e1-008a_th.jpg,
cougar-dave_064,,Dog Close-up Shot [04],,,,,undated,"A close-up shot of a dog with its front paws on a stack of wood, leaning as David Lewis pets it.",photographs; dogs; wood; person,,,,"David (Cougar Dave) Lewis Papers, MG 190, University of Idaho Library Special Collections and Archives",mg190_b1_f7_e1-008b.jpg,mg190_b1_f7_e1-008b,Image;StillImage,image/jpeg,photograph,https://archiveswest.orbiscascade.org/ark:/80444/xv35232/,David (Cougar Dave) Lewis Papers Collection,,eng,"In copyright, educational use permitted. Educational use includes non-commercial reproduction of text and images in materials for teaching and research purposes. For other contexts beyond fair use, including digital reproduction, please contact the University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu. The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/InC-EDU/1.0/,image,https://objects.lib.uidaho.edu/cougar-dave/mg190_b1_f7_e1-008b.jpg,https://objects.lib.uidaho.edu/cougar-dave/small/mg190_b1_f7_e1-008b_sm.jpg,https://objects.lib.uidaho.edu/cougar-dave/thumbs/mg190_b1_f7_e1-008b_th.jpg,
cougar-dave_065,,Dog Close-up Shot [05],,,,,undated,"A close shot of a dog laying down on the ground, facing the camera.",photographs; dogs,,,,"David (Cougar Dave) Lewis Papers, MG 190, University of Idaho Library Special Collections and Archives",mg190_b1_f7_e1-009a.jpg,mg190_b1_f7_e1-009a,Image;StillImage,image/jpeg,photograph,https://archiveswest.orbiscascade.org/ark:/80444/xv35232/,David (Cougar Dave) Lewis Papers Collection,,eng,"In copyright, educational use permitted. Educational use includes non-commercial reproduction of text and images in materials for teaching and research purposes. For other contexts beyond fair use, including digital reproduction, please contact the University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu. The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/InC-EDU/1.0/,image,https://objects.lib.uidaho.edu/cougar-dave/mg190_b1_f7_e1-009a.jpg,https://objects.lib.uidaho.edu/cougar-dave/small/mg190_b1_f7_e1-009a_sm.jpg,https://objects.lib.uidaho.edu/cougar-dave/thumbs/mg190_b1_f7_e1-009a_th.jpg,
cougar-dave_066,,Man standing in front of animal skins,,,,,undated,An angled photograph of a man and several animal skins.,photographs; person; animal skins; building,,,,"David (Cougar Dave) Lewis Papers, MG 190, University of Idaho Library Special Collections and Archives",mg190_b1_f7_e1-009b.jpg,mg190_b1_f7_e1-009b,Image;StillImage,image/jpeg,photograph,https://archiveswest.orbiscascade.org/ark:/80444/xv35232/,David (Cougar Dave) Lewis Papers Collection,,eng,"In copyright, educational use permitted. Educational use includes non-commercial reproduction of text and images in materials for teaching and research purposes. For other contexts beyond fair use, including digital reproduction, please contact the University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu. The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/InC-EDU/1.0/,image,https://objects.lib.uidaho.edu/cougar-dave/mg190_b1_f7_e1-009b.jpg,https://objects.lib.uidaho.edu/cougar-dave/small/mg190_b1_f7_e1-009b_sm.jpg,https://objects.lib.uidaho.edu/cougar-dave/thumbs/mg190_b1_f7_e1-009b_th.jpg,
cougar-dave_067,,Dave Lewis and Harry Shellworth,,,,,undated,A close-up shot of David Lewis (left) and Harry Shellworth (right) standing next to each other.,photographs; people,,,,"David (Cougar Dave) Lewis Papers, MG 190, University of Idaho Library Special Collections and Archives",mg190_b1_f7_e1-009c.jpg,mg190_b1_f7_e1-009c,Image;StillImage,image/jpeg,photograph,https://archiveswest.orbiscascade.org/ark:/80444/xv35232/,David (Cougar Dave) Lewis Papers Collection,,eng,"In copyright, educational use permitted. Educational use includes non-commercial reproduction of text and images in materials for teaching and research purposes. For other contexts beyond fair use, including digital reproduction, please contact the University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu. The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/InC-EDU/1.0/,image,https://objects.lib.uidaho.edu/cougar-dave/mg190_b1_f7_e1-009c.jpg,https://objects.lib.uidaho.edu/cougar-dave/small/mg190_b1_f7_e1-009c_sm.jpg,https://objects.lib.uidaho.edu/cougar-dave/thumbs/mg190_b1_f7_e1-009c_th.jpg,
cougar-dave_068,,Man and standing dog,,,,,undated,A man sits on a rock and lifts a dog's front paws to make it stand on its hind legs.,photographs; person; dogs,,,,"David (Cougar Dave) Lewis Papers, MG 190, University of Idaho Library Special Collections and Archives",mg190_b1_f7_e1-010a.jpg,mg190_b1_f7_e1-010a,Image;StillImage,image/jpeg,photograph,https://archiveswest.orbiscascade.org/ark:/80444/xv35232/,David (Cougar Dave) Lewis Papers Collection,,eng,"In copyright, educational use permitted. Educational use includes non-commercial reproduction of text and images in materials for teaching and research purposes. For other contexts beyond fair use, including digital reproduction, please contact the University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu. The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/InC-EDU/1.0/,image,https://objects.lib.uidaho.edu/cougar-dave/mg190_b1_f7_e1-010a.jpg,https://objects.lib.uidaho.edu/cougar-dave/small/mg190_b1_f7_e1-010a_sm.jpg,https://objects.lib.uidaho.edu/cougar-dave/thumbs/mg190_b1_f7_e1-010a_th.jpg,
cougar-dave_069,,Dog Close-up Shot [06],,,,,undated,A close-up shot of a side of a dog staring off camera. Another dog is blurred in the background to the right.,photographs; dogs,,,,"David (Cougar Dave) Lewis Papers, MG 190, University of Idaho Library Special Collections and Archives",mg190_b1_f7_e1-010b.jpg,mg190_b1_f7_e1-010b,Image;StillImage,image/jpeg,photograph,https://archiveswest.orbiscascade.org/ark:/80444/xv35232/,David (Cougar Dave) Lewis Papers Collection,,eng,"In copyright, educational use permitted. Educational use includes non-commercial reproduction of text and images in materials for teaching and research purposes. For other contexts beyond fair use, including digital reproduction, please contact the University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu. The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/InC-EDU/1.0/,image,https://objects.lib.uidaho.edu/cougar-dave/mg190_b1_f7_e1-010b.jpg,https://objects.lib.uidaho.edu/cougar-dave/small/mg190_b1_f7_e1-010b_sm.jpg,https://objects.lib.uidaho.edu/cougar-dave/thumbs/mg190_b1_f7_e1-010b_th.jpg,
cougar-dave_070,,Two men and animal skins,,,,,undated,Two men stand in front of many animal skins dispayed on the exterior of a log cabin.,photographs; people; animal skins; bears; log cabin,,,,"David (Cougar Dave) Lewis Papers, MG 190, University of Idaho Library Special Collections and Archives",mg190_b1_f7_e1-011a.jpg,mg190_b1_f7_e1-011a,Image;StillImage,image/jpeg,photograph,https://archiveswest.orbiscascade.org/ark:/80444/xv35232/,David (Cougar Dave) Lewis Papers Collection,,eng,"In copyright, educational use permitted. Educational use includes non-commercial reproduction of text and images in materials for teaching and research purposes. For other contexts beyond fair use, including digital reproduction, please contact the University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu. The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/InC-EDU/1.0/,image,https://objects.lib.uidaho.edu/cougar-dave/mg190_b1_f7_e1-011a.jpg,https://objects.lib.uidaho.edu/cougar-dave/small/mg190_b1_f7_e1-011a_sm.jpg,https://objects.lib.uidaho.edu/cougar-dave/thumbs/mg190_b1_f7_e1-011a_th.jpg,
cougar-dave_071,,"Man, Animal Skins, Log Cabin and Dog",,,,,undated,A man stands in front of several animal skins displayed on the outside of a log cabin. A dog sits to the right.,photographs; person; animals skins; log cabin; dogs,,,,"David (Cougar Dave) Lewis Papers, MG 190, University of Idaho Library Special Collections and Archives",mg190_b1_f7_e1-011b.jpg,mg190_b1_f7_e1-011b,Image;StillImage,image/jpeg,photograph,https://archiveswest.orbiscascade.org/ark:/80444/xv35232/,David (Cougar Dave) Lewis Papers Collection,,eng,"In copyright, educational use permitted. Educational use includes non-commercial reproduction of text and images in materials for teaching and research purposes. For other contexts beyond fair use, including digital reproduction, please contact the University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu. The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/InC-EDU/1.0/,image,https://objects.lib.uidaho.edu/cougar-dave/mg190_b1_f7_e1-011b.jpg,https://objects.lib.uidaho.edu/cougar-dave/small/mg190_b1_f7_e1-011b_sm.jpg,https://objects.lib.uidaho.edu/cougar-dave/thumbs/mg190_b1_f7_e1-011b_th.jpg,
cougar-dave_072,,Animal Skins Close-up Shot,,,,,undated,A close-up shot of several animal skins displayed.,photographs; animal skins,,,,"David (Cougar Dave) Lewis Papers, MG 190, University of Idaho Library Special Collections and Archives",mg190_b1_f7_e1-012a.jpg,mg190_b1_f7_e1-012a,Image;StillImage,image/jpeg,photograph,https://archiveswest.orbiscascade.org/ark:/80444/xv35232/,David (Cougar Dave) Lewis Papers Collection,,eng,"In copyright, educational use permitted. Educational use includes non-commercial reproduction of text and images in materials for teaching and research purposes. For other contexts beyond fair use, including digital reproduction, please contact the University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu. The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/InC-EDU/1.0/,image,https://objects.lib.uidaho.edu/cougar-dave/mg190_b1_f7_e1-012a.jpg,https://objects.lib.uidaho.edu/cougar-dave/small/mg190_b1_f7_e1-012a_sm.jpg,https://objects.lib.uidaho.edu/cougar-dave/thumbs/mg190_b1_f7_e1-012a_th.jpg,
cougar-dave_073,,"Two men, dogs and a firepit",,,,,undated,Two men crouched by a firepit attempting to start a fire while two dogs stare.,photographs; people; dogs; firepits,,,,"David (Cougar Dave) Lewis Papers, MG 190, University of Idaho Library Special Collections and Archives",mg190_b1_f7_e1-012b.jpg,mg190_b1_f7_e1-012b,Image;StillImage,image/jpeg,photograph,https://archiveswest.orbiscascade.org/ark:/80444/xv35232/,David (Cougar Dave) Lewis Papers Collection,,eng,"In copyright, educational use permitted. Educational use includes non-commercial reproduction of text and images in materials for teaching and research purposes. For other contexts beyond fair use, including digital reproduction, please contact the University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu. The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/InC-EDU/1.0/,image,https://objects.lib.uidaho.edu/cougar-dave/mg190_b1_f7_e1-012b.jpg,https://objects.lib.uidaho.edu/cougar-dave/small/mg190_b1_f7_e1-012b_sm.jpg,https://objects.lib.uidaho.edu/cougar-dave/thumbs/mg190_b1_f7_e1-012b_th.jpg,
cougar-dave_074,,Suit for Divorce by Jesse R. Grant,,,,,undated,"A newspaper clipping titled ""Suit for Divorse By Jesse R. Grant"".",newspapers; newspaper clippings,,,,"David (Cougar Dave) Lewis Papers, MG 190, University of Idaho Library Special Collections and Archives",mg190_b1_f7_e1-013a.pdf,mg190_b1_f7_e1-013a,Text,application/pdf,newspaper clipping,https://archiveswest.orbiscascade.org/ark:/80444/xv35232/,David (Cougar Dave) Lewis Papers Collection,,eng,"In copyright, educational use permitted. Educational use includes non-commercial reproduction of text and images in materials for teaching and research purposes. For other contexts beyond fair use, including digital reproduction, please contact the University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu. The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/InC-EDU/1.0/,pdf,https://objects.lib.uidaho.edu/cougar-dave/mg190_b1_f7_e1-013a.pdf,https://objects.lib.uidaho.edu/cougar-dave/small/mg190_b1_f7_e1-013a_sm.jpg,https://objects.lib.uidaho.edu/cougar-dave/thumbs/mg190_b1_f7_e1-013a_th.jpg,
cougar-dave_075,,Hurley Answers Roosevelt with Blast of Scorn,,,,,undated,"A newspaper clipping titled ""Hurley Answers Roosevelt With Blast of Scorn"".",newspapers; newspaper clippings,,,,"David (Cougar Dave) Lewis Papers, MG 190, University of Idaho Library Special Collections and Archives",mg190_b1_f7_e1-013b.pdf,mg190_b1_f7_e1-013b,Text,application/pdf,newspaper clipping,https://archiveswest.orbiscascade.org/ark:/80444/xv35232/,David (Cougar Dave) Lewis Papers Collection,,eng,"In copyright, educational use permitted. Educational use includes non-commercial reproduction of text and images in materials for teaching and research purposes. For other contexts beyond fair use, including digital reproduction, please contact the University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu. The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/InC-EDU/1.0/,pdf,https://objects.lib.uidaho.edu/cougar-dave/mg190_b1_f7_e1-013b.pdf,https://objects.lib.uidaho.edu/cougar-dave/small/mg190_b1_f7_e1-013b_sm.jpg,https://objects.lib.uidaho.edu/cougar-dave/thumbs/mg190_b1_f7_e1-013b_th.jpg,
cougar-dave_076,,Swedes denounce inhuman warfare,,,,,undated,"A newspaper clipping titled ""Swedes Denounce Inhuman Warfare"".",newspapers; newspaper clippings,,,,"David (Cougar Dave) Lewis Papers, MG 190, University of Idaho Library Special Collections and Archives",mg190_b1_f7_e1-013c.pdf,mg190_b1_f7_e1-013c,Text,application/pdf,newspaper clipping,https://archiveswest.orbiscascade.org/ark:/80444/xv35232/,David (Cougar Dave) Lewis Papers Collection,,eng,"In copyright, educational use permitted. Educational use includes non-commercial reproduction of text and images in materials for teaching and research purposes. For other contexts beyond fair use, including digital reproduction, please contact the University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu. The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/InC-EDU/1.0/,pdf,https://objects.lib.uidaho.edu/cougar-dave/mg190_b1_f7_e1-013c.pdf,https://objects.lib.uidaho.edu/cougar-dave/small/mg190_b1_f7_e1-013c_sm.jpg,https://objects.lib.uidaho.edu/cougar-dave/thumbs/mg190_b1_f7_e1-013c_th.jpg,
cougar-dave_077,,Old Favorites,,,,,undated,"A newspaper clipping titled ""Old Favorites"".",newspapers; newspaper clippings,,,,"David (Cougar Dave) Lewis Papers, MG 190, University of Idaho Library Special Collections and Archives",mg190_b1_f7_e1-013d.pdf,mg190_b1_f7_e1-013d,Text,application/pdf,newspaper clipping,https://archiveswest.orbiscascade.org/ark:/80444/xv35232/,David (Cougar Dave) Lewis Papers Collection,,eng,"In copyright, educational use permitted. Educational use includes non-commercial reproduction of text and images in materials for teaching and research purposes. For other contexts beyond fair use, including digital reproduction, please contact the University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu. The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/InC-EDU/1.0/,pdf,https://objects.lib.uidaho.edu/cougar-dave/mg190_b1_f7_e1-013d.pdf,https://objects.lib.uidaho.edu/cougar-dave/small/mg190_b1_f7_e1-013d_sm.jpg,https://objects.lib.uidaho.edu/cougar-dave/thumbs/mg190_b1_f7_e1-013d_th.jpg,
cougar-dave_078,,Man fixing tent,,,,,undated,A photograph of a man fixing the ties of his tent.,photographs; person; tents,,,,"David (Cougar Dave) Lewis Papers, MG 190, University of Idaho Library Special Collections and Archives",mg190_b1_f7_e1-014a.jpg,mg190_b1_f7_e1-014a,Image;StillImage,image/jpeg,photograph,https://archiveswest.orbiscascade.org/ark:/80444/xv35232/,David (Cougar Dave) Lewis Papers Collection,,eng,"In copyright, educational use permitted. Educational use includes non-commercial reproduction of text and images in materials for teaching and research purposes. For other contexts beyond fair use, including digital reproduction, please contact the University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu. The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/InC-EDU/1.0/,image,https://objects.lib.uidaho.edu/cougar-dave/mg190_b1_f7_e1-014a.jpg,https://objects.lib.uidaho.edu/cougar-dave/small/mg190_b1_f7_e1-014a_sm.jpg,https://objects.lib.uidaho.edu/cougar-dave/thumbs/mg190_b1_f7_e1-014a_th.jpg,
cougar-dave_079,,Man inside tent,,,,,undated,A man is pictured rolling out a bed roll in a open tent.,photographs; person; tents,,,,"David (Cougar Dave) Lewis Papers, MG 190, University of Idaho Library Special Collections and Archives",mg190_b1_f7_e1-014b.jpg,mg190_b1_f7_e1-014b,Image;StillImage,image/jpeg,photograph,https://archiveswest.orbiscascade.org/ark:/80444/xv35232/,David (Cougar Dave) Lewis Papers Collection,,eng,"In copyright, educational use permitted. Educational use includes non-commercial reproduction of text and images in materials for teaching and research purposes. For other contexts beyond fair use, including digital reproduction, please contact the University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu. The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/InC-EDU/1.0/,image,https://objects.lib.uidaho.edu/cougar-dave/mg190_b1_f7_e1-014b.jpg,https://objects.lib.uidaho.edu/cougar-dave/small/mg190_b1_f7_e1-014b_sm.jpg,https://objects.lib.uidaho.edu/cougar-dave/thumbs/mg190_b1_f7_e1-014b_th.jpg,
