objectid,parentid,title,creator,date,archival_date,description,subject,location,latitude,longitude,source,identifier,type,format_original,format,finding_aid,digital_collection,contributing_institution,language,rights,rightsstatement,filename,display_template,object_location,image_small,image_thumb
mg5792_010-004,,Sun Valley photos [4],Sheldon Zadok Thayer; Vernice Thayer,,,"A team of oxen pull a covered wagon in front of the rodeo field. The picture is captioned ""Rodeo.""",rodeos; oxen; covered wagons,"Sun Valley, Idaho",43.6712617,-114.3675522,"Sheldon Z. and Vernice Thayer collection, 1938-1941, University of Idaho Library Special Collections and Archives, https://www.lib.uidaho.edu/special-collections/",mg5792_010-004,Image;StillImage,black-and-white photograph,image/jpeg,https://archiveswest.orbiscascade.org/ark:80444/xv576502,Thayer Photograph Collection,,eng,"In copyright, educational use permitted. Educational use includes non-commercial reproduction of text and images in materials for teaching and research purposes. For other contexts beyond fair use, including digital reproduction, please contact the University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu. The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/InC-EDU/1.0/,mg5792_010-004.jpg,image,https://objects.lib.uidaho.edu/thayer/mg5792_010-004,https://objects.lib.uidaho.edu/thayer/small/mg5792_010-004_sm.jpg,https://objects.lib.uidaho.edu/thayer/thumbs/mg5792_010-004_th.jpg
mg5792_010-005,,Sun Valley photos [5],Sheldon Zadok Thayer; Vernice Thayer,,,"A building in the snow, with icicles on the rood. The front of the building reads ""St. Georg."" Written on the back of the photograph is: ""movie set hotel.""",motion pictures (visual works); sets (theatrical); snow (precipitation),"Sun Valley, Idaho",43.6712617,-114.3675522,"Sheldon Z. and Vernice Thayer collection, 1938-1941, University of Idaho Library Special Collections and Archives, https://www.lib.uidaho.edu/special-collections/",mg5792_010-005,Image;StillImage,black-and-white photograph,image/jpeg,https://archiveswest.orbiscascade.org/ark:80444/xv576502,Thayer Photograph Collection,,eng,"In copyright, educational use permitted. Educational use includes non-commercial reproduction of text and images in materials for teaching and research purposes. For other contexts beyond fair use, including digital reproduction, please contact the University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu. The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/InC-EDU/1.0/,mg5792_010-005.jpg,image,https://objects.lib.uidaho.edu/thayer/mg5792_010-005,https://objects.lib.uidaho.edu/thayer/small/mg5792_010-005_sm.jpg,https://objects.lib.uidaho.edu/thayer/thumbs/mg5792_010-005_th.jpg
mg5792_010-006,,Sun Valley photos [6],Sheldon Zadok Thayer; Vernice Thayer,,,A postcard featuring an  image of two people posing in a photo cutout board. 'Sun Valley' is printed on the cutout. The back of the postcard is blank.,postcards; ice skating; full-scale drawings,"Sun Valley, Idaho",43.6712617,-114.3675522,"Sheldon Z. and Vernice Thayer collection, 1938-1941, University of Idaho Library Special Collections and Archives, https://www.lib.uidaho.edu/special-collections/",mg5792_010-006,Image;StillImage,black-and-white photograph,image/jpeg,https://archiveswest.orbiscascade.org/ark:80444/xv576502,Thayer Photograph Collection,,eng,"In copyright, educational use permitted. Educational use includes non-commercial reproduction of text and images in materials for teaching and research purposes. For other contexts beyond fair use, including digital reproduction, please contact the University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu. The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/InC-EDU/1.0/,mg5792_010-006.jpg,image,https://objects.lib.uidaho.edu/thayer/mg5792_010-006,https://objects.lib.uidaho.edu/thayer/small/mg5792_010-006_sm.jpg,https://objects.lib.uidaho.edu/thayer/thumbs/mg5792_010-006_th.jpg
mg5792_010-007,,Sun Valley photos [7],Sheldon Zadok Thayer; Vernice Thayer,,,A few buildings are clustered near the base of a mountain range.,winter resorts; mountains (landforms),"Sun Valley, Idaho",43.6712617,-114.3675522,"Sheldon Z. and Vernice Thayer collection, 1938-1941, University of Idaho Library Special Collections and Archives, https://www.lib.uidaho.edu/special-collections/",mg5792_010-007,Image;StillImage,black-and-white photograph,image/jpeg,https://archiveswest.orbiscascade.org/ark:80444/xv576502,Thayer Photograph Collection,,eng,"In copyright, educational use permitted. Educational use includes non-commercial reproduction of text and images in materials for teaching and research purposes. For other contexts beyond fair use, including digital reproduction, please contact the University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu. The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/InC-EDU/1.0/,mg5792_010-007.jpg,image,https://objects.lib.uidaho.edu/thayer/mg5792_010-007,https://objects.lib.uidaho.edu/thayer/small/mg5792_010-007_sm.jpg,https://objects.lib.uidaho.edu/thayer/thumbs/mg5792_010-007_th.jpg
mg5792_010-008,,Reindeer at Sun Valley,Sheldon Zadok Thayer; Vernice Thayer,,,"A person sits in a carriage pulled by reindeer in a field in front of several buildings. The photo is captioned ""Reindeer at Sun Valley."" The back of the photograph is stamped with a 6, and ""Sun Valley"" is handwritten.",winter resorts; Rangifer tarandus (species); sleds; snow (precipitation); mountains (landforms),"Sun Valley, Idaho",43.6712617,-114.3675522,"Sheldon Z. and Vernice Thayer collection, 1938-1941, University of Idaho Library Special Collections and Archives, https://www.lib.uidaho.edu/special-collections/",mg5792_010-008,Image;StillImage,black-and-white photograph,image/jpeg,https://archiveswest.orbiscascade.org/ark:80444/xv576502,Thayer Photograph Collection,,eng,"In copyright, educational use permitted. Educational use includes non-commercial reproduction of text and images in materials for teaching and research purposes. For other contexts beyond fair use, including digital reproduction, please contact the University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu. The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/InC-EDU/1.0/,mg5792_010-008.jpg,image,https://objects.lib.uidaho.edu/thayer/mg5792_010-008,https://objects.lib.uidaho.edu/thayer/small/mg5792_010-008_sm.jpg,https://objects.lib.uidaho.edu/thayer/thumbs/mg5792_010-008_th.jpg
mg5792_010-009,,Sun Valley photos [8],Sheldon Zadok Thayer; Vernice Thayer,,,"Two buses and several automobiles are parked in front of a large building. The photograph is captioned ""The Lodge."" The number 47 is stamped on the back of the photograph.",winter resorts; snow (precipitation); buses; automobiles,"Sun Valley, Idaho",43.6712617,-114.3675522,"Sheldon Z. and Vernice Thayer collection, 1938-1941, University of Idaho Library Special Collections and Archives, https://www.lib.uidaho.edu/special-collections/",mg5792_010-009,Image;StillImage,black-and-white photograph,image/jpeg,https://archiveswest.orbiscascade.org/ark:80444/xv576502,Thayer Photograph Collection,,eng,"In copyright, educational use permitted. Educational use includes non-commercial reproduction of text and images in materials for teaching and research purposes. For other contexts beyond fair use, including digital reproduction, please contact the University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu. The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/InC-EDU/1.0/,mg5792_010-009.jpg,image,https://objects.lib.uidaho.edu/thayer/mg5792_010-009,https://objects.lib.uidaho.edu/thayer/small/mg5792_010-009_sm.jpg,https://objects.lib.uidaho.edu/thayer/thumbs/mg5792_010-009_th.jpg
mg5792_010-010,,Sun Valley photos [9],Sheldon Zadok Thayer; Vernice Thayer,,,"A person poses shirtless in the snow, wearing skis and ski pants. The photo is captioned ""The Ski Expert Sheldon."" On the back of the photograph is written: ""The ski expert, advertising Sun Valley & he skied that way most of the afternoon.""",winter resorts; skiing; snow (precipitation),"Sun Valley, Idaho",43.6712617,-114.3675522,"Sheldon Z. and Vernice Thayer collection, 1938-1941, University of Idaho Library Special Collections and Archives, https://www.lib.uidaho.edu/special-collections/",mg5792_010-010,Image;StillImage,black-and-white photograph,image/jpeg,https://archiveswest.orbiscascade.org/ark:80444/xv576502,Thayer Photograph Collection,,eng,"In copyright, educational use permitted. Educational use includes non-commercial reproduction of text and images in materials for teaching and research purposes. For other contexts beyond fair use, including digital reproduction, please contact the University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu. The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/InC-EDU/1.0/,mg5792_010-010.jpg,image,https://objects.lib.uidaho.edu/thayer/mg5792_010-010,https://objects.lib.uidaho.edu/thayer/small/mg5792_010-010_sm.jpg,https://objects.lib.uidaho.edu/thayer/thumbs/mg5792_010-010_th.jpg
mg5792_010-011,,Sun Valley photos [10],Sheldon Zadok Thayer; Vernice Thayer,,,"A postcard with an image of a person riding a ski lift on the front side. Printed on the bottom of the picture is: ""KC-5 Sun Valley, Idaho, from Bald Mountain."" The back side of the postcard is blank.",winter resorts; skiing; snow (precipitation); chair lifts (chairlike conveyances); postcards,"Sun Valley, Idaho",43.6712617,-114.3675522,"Sheldon Z. and Vernice Thayer collection, 1938-1941, University of Idaho Library Special Collections and Archives, https://www.lib.uidaho.edu/special-collections/",mg5792_010-011,Image;StillImage,black-and-white photograph,image/jpeg,https://archiveswest.orbiscascade.org/ark:80444/xv576502,Thayer Photograph Collection,,eng,"In copyright, educational use permitted. Educational use includes non-commercial reproduction of text and images in materials for teaching and research purposes. For other contexts beyond fair use, including digital reproduction, please contact the University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu. The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/InC-EDU/1.0/,mg5792_010-011.jpg,image,https://objects.lib.uidaho.edu/thayer/mg5792_010-011,https://objects.lib.uidaho.edu/thayer/small/mg5792_010-011_sm.jpg,https://objects.lib.uidaho.edu/thayer/thumbs/mg5792_010-011_th.jpg
mg5792_010-012,,Sun Valley photos [11],Sheldon Zadok Thayer; Vernice Thayer,1937-02-11,"February 11, 1937","A postcard with an image of a sled dog team in front of a Post Office. On the bottom of the picture is printed: ""Sun Valley Lodge Mail Sled, Ketchum - Idaho. Photo by WYLD."" The postcard is addressed to: ""Mr. C.V. Oneill & Alfred, Brownsville Oregon."" The message on the postcard reads, ""I am looking forward to my first copy of the 'Halsey Journal: Wish you much success and lots of the mon [sic]. We are all well. Love Vernice T."" The postcard is dated Feb 11, 1937.",postcards; snow (precipitation); post offices; dogsleds; correspondence,Ketchum Idaho,43.68033623,-114.36411,"Sheldon Z. and Vernice Thayer collection, 1938-1941, University of Idaho Library Special Collections and Archives, https://www.lib.uidaho.edu/special-collections/",mg5792_010-012,Image;StillImage,black-and-white photograph,image/jpeg,https://archiveswest.orbiscascade.org/ark:80444/xv576502,Thayer Photograph Collection,,eng,"In copyright, educational use permitted. Educational use includes non-commercial reproduction of text and images in materials for teaching and research purposes. For other contexts beyond fair use, including digital reproduction, please contact the University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu. The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/InC-EDU/1.0/,,multiple,https://objects.lib.uidaho.edu/thayer/mg5792_010-012a,https://objects.lib.uidaho.edu/thayer/small/mg5792_010-012a_sm.jpg,https://objects.lib.uidaho.edu/thayer/thumbs/mg5792_010-012a_th.jpg
mg5792_010-012a,mg5792_010-012,,,,,,,,,,,,,,,,,,,,,mg5792_010-012a.jpg,image,https://objects.lib.uidaho.edu/thayer/mg5792_010-012a,https://objects.lib.uidaho.edu/thayer/small/mg5792_010-012a_sm.jpg,https://objects.lib.uidaho.edu/thayer/thumbs/mg5792_010-012a_th.jpg
mg5792_010-012b,mg5792_010-012,,,,,,,,,,,,,,,,,,,,,mg5792_010-012b.jpg,image,https://objects.lib.uidaho.edu/thayer/mg5792_010-012b,https://objects.lib.uidaho.edu/thayer/small/mg5792_010-012b_sm.jpg,https://objects.lib.uidaho.edu/thayer/thumbs/mg5792_010-012b_th.jpg
mg5792_010-013,,Sun Valley photos [12],Sheldon Zadok Thayer; Vernice Thayer,,,"A large creature made of snow is in front of a building with the word ""Aspen"" on it. ""Sun Valley"" is written on the front of the photograph.",winter resorts; environmental art; snow (precipitation); dragons,"Sun Valley, Idaho",43.6712617,-114.3675522,"Sheldon Z. and Vernice Thayer collection, 1938-1941, University of Idaho Library Special Collections and Archives, https://www.lib.uidaho.edu/special-collections/",mg5792_010-013,Image;StillImage,black-and-white photograph,image/jpeg,https://archiveswest.orbiscascade.org/ark:80444/xv576502,Thayer Photograph Collection,,eng,"In copyright, educational use permitted. Educational use includes non-commercial reproduction of text and images in materials for teaching and research purposes. For other contexts beyond fair use, including digital reproduction, please contact the University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu. The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/InC-EDU/1.0/,mg5792_010-013.jpg,image,https://objects.lib.uidaho.edu/thayer/mg5792_010-013,https://objects.lib.uidaho.edu/thayer/small/mg5792_010-013_sm.jpg,https://objects.lib.uidaho.edu/thayer/thumbs/mg5792_010-013a_th.jpg
mg5792_010-014,,Sun Valley photos [13],Sheldon Zadok Thayer; Vernice Thayer,,,"An ice rink in front of buildings and a mountain. ""Movie set rink"" is written on the back.",ice skating; motion pictures (visual works); sets (theatrical); ice (water by form),"Sun Valley, Idaho",43.6712617,-114.3675522,"Sheldon Z. and Vernice Thayer collection, 1938-1941, University of Idaho Library Special Collections and Archives, https://www.lib.uidaho.edu/special-collections/",mg5792_010-014,Image;StillImage,black-and-white photograph,image/jpeg,https://archiveswest.orbiscascade.org/ark:80444/xv576502,Thayer Photograph Collection,,eng,"In copyright, educational use permitted. Educational use includes non-commercial reproduction of text and images in materials for teaching and research purposes. For other contexts beyond fair use, including digital reproduction, please contact the University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu. The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/InC-EDU/1.0/,mg5792_010-014.jpg,image,https://objects.lib.uidaho.edu/thayer/mg5792_010-014,https://objects.lib.uidaho.edu/thayer/small/mg5792_10-014_sm.jpg,https://objects.lib.uidaho.edu/thayer/thumbs/mg5792_10-014_th.jpg
mg5792_010-015,,Sun Valley photos [14],Sheldon Zadok Thayer; Vernice Thayer,1941-05-21,"July 21, 1941","A view from above of the resort at the base of mountains.""Sun Valley from Penny Mt., Thayer."" is written on the back. The back of the photo is stamped with ""Jul 21 1941.""",resorts; mountains (landforms),"Sun Valley, Idaho",43.6712617,-114.3675522,"Sheldon Z. and Vernice Thayer collection, 1938-1941, University of Idaho Library Special Collections and Archives, https://www.lib.uidaho.edu/special-collections/",mg5792_010-015,Image;StillImage,black-and-white photograph,image/jpeg,https://archiveswest.orbiscascade.org/ark:80444/xv576502,Thayer Photograph Collection,,eng,"In copyright, educational use permitted. Educational use includes non-commercial reproduction of text and images in materials for teaching and research purposes. For other contexts beyond fair use, including digital reproduction, please contact the University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu. The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/InC-EDU/1.0/,mg5792_010-015.jpg,image,https://objects.lib.uidaho.edu/thayer/mg5792_010-015,https://objects.lib.uidaho.edu/thayer/small/mg5792_10-015_sm.jpg,https://objects.lib.uidaho.edu/thayer/thumbs/mg5792_10-015_th.jpg
mg5792_011-001,,Hailey photos [1],Sheldon Zadok Thayer; Vernice Thayer,,,"A man stands and smokes a cigarette next to a headless animal carcass, which is hung upside down by a hook.""Al Higgins"" is written on both the front and the back of the photograph. The back of the photograph is stamped with '874 [illegible]'",hunting; carcasses (animal bodies); recreation,"Hailey, Idaho",43.51957048,-114.3153813,"Sheldon Z. and Vernice Thayer collection, 1938-1941, University of Idaho Library Special Collections and Archives, https://www.lib.uidaho.edu/special-collections/",mg5792_011-001,Image;StillImage,black-and-white photograph,image/jpeg,https://archiveswest.orbiscascade.org/ark:80444/xv576502,Thayer Photograph Collection,,eng,"In copyright, educational use permitted. Educational use includes non-commercial reproduction of text and images in materials for teaching and research purposes. For other contexts beyond fair use, including digital reproduction, please contact the University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu. The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/InC-EDU/1.0/,mg5792_011-001.jpg,image,https://objects.lib.uidaho.edu/thayer/mg5792_011-001,https://objects.lib.uidaho.edu/thayer/small/mg5792_011-001_sm.jpg,https://objects.lib.uidaho.edu/thayer/thumbs/mg5792_011-001_th.jpg
mg5792_011-002,,Hailey photos [2],Sheldon Zadok Thayer; Vernice Thayer,,,"A group of people ride in a sleigh pulled by horses. ""Hailey sleigh ride"" is written on the front of the photo.",Equus Caballus (species); sleighs,"Hailey, Idaho",43.51957048,-114.3153813,"Sheldon Z. and Vernice Thayer collection, 1938-1941, University of Idaho Library Special Collections and Archives, https://www.lib.uidaho.edu/special-collections/",mg5792_011-002,Image;StillImage,black-and-white photograph,image/jpeg,https://archiveswest.orbiscascade.org/ark:80444/xv576502,Thayer Photograph Collection,,eng,"In copyright, educational use permitted. Educational use includes non-commercial reproduction of text and images in materials for teaching and research purposes. For other contexts beyond fair use, including digital reproduction, please contact the University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu. The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/InC-EDU/1.0/,mg5792_011-002.jpg,image,https://objects.lib.uidaho.edu/thayer/mg5792_011-002,https://objects.lib.uidaho.edu/thayer/small/mg5792_011-002_sm.jpg,https://objects.lib.uidaho.edu/thayer/thumbs/mg5792_011-002_th.jpg
mg5792_011-003,,Hailey photos [3],Sheldon Zadok Thayer; Vernice Thayer,,,"A view from above of a town at the base of a mountain range. ""Hailey, Idaho from Mt. Carbonate"" is written on the front of the photo.",towns; mountains (landforms),"Hailey, Idaho",43.51957048,-114.3153813,"Sheldon Z. and Vernice Thayer collection, 1938-1941, University of Idaho Library Special Collections and Archives, https://www.lib.uidaho.edu/special-collections/",mg5792_011-003,Image;StillImage,black-and-white photograph,image/jpeg,https://archiveswest.orbiscascade.org/ark:80444/xv576502,Thayer Photograph Collection,,eng,"In copyright, educational use permitted. Educational use includes non-commercial reproduction of text and images in materials for teaching and research purposes. For other contexts beyond fair use, including digital reproduction, please contact the University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu. The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/InC-EDU/1.0/,mg5792_011-003.jpg,image,https://objects.lib.uidaho.edu/thayer/mg5792_011-003,https://objects.lib.uidaho.edu/thayer/small/mg5792_011-003_sm.jpg,https://objects.lib.uidaho.edu/thayer/thumbs/mg5792_011-003_th.jpg
mg5792_011-004,,Hailey photos [4],Sheldon Zadok Thayer; Vernice Thayer,,,"People ride horses in a rodeo ring. A mountain range is visible in the background. ""Free rodeo Ketchum"" is written on the back.",rodeos; Equus Caballus (species); mountains (landforms),"Ketchum, Idaho",43.68097804,-114.363939,"Sheldon Z. and Vernice Thayer collection, 1938-1941, University of Idaho Library Special Collections and Archives, https://www.lib.uidaho.edu/special-collections/",mg5792_011-004,Image;StillImage,black-and-white photograph,image/jpeg,https://archiveswest.orbiscascade.org/ark:80444/xv576502,Thayer Photograph Collection,,eng,"In copyright, educational use permitted. Educational use includes non-commercial reproduction of text and images in materials for teaching and research purposes. For other contexts beyond fair use, including digital reproduction, please contact the University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu. The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/InC-EDU/1.0/,mg5792_011-004.jpg,image,https://objects.lib.uidaho.edu/thayer/mg5792_011-004,https://objects.lib.uidaho.edu/thayer/small/mg5792_011-004_sm.jpg,https://objects.lib.uidaho.edu/thayer/thumbs/mg5792_011-004_th.jpg
mg5792_011-005,,Free Sunday Rodeo Ketchum,Sheldon Zadok Thayer; Vernice Thayer,,,"People ride horses in a rodeo ring in the middle of a town. A crowd of spectators stand by the ring or sit on their automobiles to watch. ""Free Sunday Rodeo Ketchum"" is written on the back of the photo.",rodeos; Equus Caballus (species); mountains (landforms); towns; mercantile buildings,"Ketchum, Idaho",43.68097804,-114.363939,"Sheldon Z. and Vernice Thayer collection, 1938-1941, University of Idaho Library Special Collections and Archives, https://www.lib.uidaho.edu/special-collections/",mg5792_011-005,Image;StillImage,black-and-white photograph,image/jpeg,https://archiveswest.orbiscascade.org/ark:80444/xv576502,Thayer Photograph Collection,,eng,"In copyright, educational use permitted. Educational use includes non-commercial reproduction of text and images in materials for teaching and research purposes. For other contexts beyond fair use, including digital reproduction, please contact the University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu. The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/InC-EDU/1.0/,mg5792_011-005.jpg,image,https://objects.lib.uidaho.edu/thayer/mg5792_011-005,https://objects.lib.uidaho.edu/thayer/small/mg5792_011-005_sm.jpg,https://objects.lib.uidaho.edu/thayer/thumbs/mg5792_011-005_th.jpg
mg5792_011-006,,Hailey photos [5],Sheldon Zadok Thayer; Vernice Thayer,,,"A woman stands on the porch of a one-story house covered in snow. ""Hailey Idaho, first house we lived in"" is written on the front of the photo. The back of the photo is stamped with the number 716.",houses; snow (precipitation),"Hailey, Idaho",43.51957048,-114.3153813,"Sheldon Z. and Vernice Thayer collection, 1938-1941, University of Idaho Library Special Collections and Archives, https://www.lib.uidaho.edu/special-collections/",mg5792_011-006,Image;StillImage,black-and-white photograph,image/jpeg,https://archiveswest.orbiscascade.org/ark:80444/xv576502,Thayer Photograph Collection,,eng,"In copyright, educational use permitted. Educational use includes non-commercial reproduction of text and images in materials for teaching and research purposes. For other contexts beyond fair use, including digital reproduction, please contact the University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu. The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/InC-EDU/1.0/,mg5792_011-006.jpg,image,https://objects.lib.uidaho.edu/thayer/mg5792_011-006,https://objects.lib.uidaho.edu/thayer/small/mg5792_011-006_sm.jpg,https://objects.lib.uidaho.edu/thayer/thumbs/mg5792_011-006_th.jpg
mg5792_011-007,,Hailey photos [6],Sheldon Zadok Thayer; Vernice Thayer,,,"A person hangs clothing on a clothesline that stands in a snowy field. ""Hanging clothes in Hailey under difficulties"" is written on the front of the photo.",clotheslines; snow (precipitation),"Hailey, Idaho",43.51957048,-114.3153813,"Sheldon Z. and Vernice Thayer collection, 1938-1941, University of Idaho Library Special Collections and Archives, https://www.lib.uidaho.edu/special-collections/",mg5792_011-007,Image;StillImage,black-and-white photograph,image/jpeg,https://archiveswest.orbiscascade.org/ark:80444/xv576502,Thayer Photograph Collection,,eng,"In copyright, educational use permitted. Educational use includes non-commercial reproduction of text and images in materials for teaching and research purposes. For other contexts beyond fair use, including digital reproduction, please contact the University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu. The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/InC-EDU/1.0/,mg5792_011-007.jpg,image,https://objects.lib.uidaho.edu/thayer/mg5792_011-007,https://objects.lib.uidaho.edu/thayer/small/mg5792_011-007_sm.jpg,https://objects.lib.uidaho.edu/thayer/thumbs/mg5792_011-007_th.jpg
mg5792_011-008,,Hailey photos [7],Sheldon Zadok Thayer; Vernice Thayer,,,"Three men stand on a street and hold a dead bird so that its whole wingspan is extended. The men on the photo are labelled (l-r): George, Fred, and Melvin.",hunting; carcasses (animal bodies); downtowns,"Hailey, Idaho",43.51957048,-114.3153813,"Sheldon Z. and Vernice Thayer collection, 1938-1941, University of Idaho Library Special Collections and Archives, https://www.lib.uidaho.edu/special-collections/",mg5792_011-008,Image;StillImage,black-and-white photograph,image/jpeg,https://archiveswest.orbiscascade.org/ark:80444/xv576502,Thayer Photograph Collection,,eng,"In copyright, educational use permitted. Educational use includes non-commercial reproduction of text and images in materials for teaching and research purposes. For other contexts beyond fair use, including digital reproduction, please contact the University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu. The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/InC-EDU/1.0/,mg5792_011-008.jpg,image,https://objects.lib.uidaho.edu/thayer/mg5792_011-008,https://objects.lib.uidaho.edu/thayer/small/mg5792_011-008_sm.jpg,https://objects.lib.uidaho.edu/thayer/thumbs/mg5792_011-008_th.jpg
mg5792_011-009,,Hailey photos [8],Sheldon Zadok Thayer; Vernice Thayer,,,"A group of people stand near a telephone pole, which has fallen down in the snow. ""Telephone line trouble [illegible], Hailey & [illegible]"" is written on the front of the photograph. The back of the photograph is stamped with the number 16.",telephone poles; snow (precipitation); night,"Hailey, Idaho",43.51957048,-114.3153813,"Sheldon Z. and Vernice Thayer collection, 1938-1941, University of Idaho Library Special Collections and Archives, https://www.lib.uidaho.edu/special-collections/",mg5792_011-009,Image;StillImage,black-and-white photograph,image/jpeg,https://archiveswest.orbiscascade.org/ark:80444/xv576502,Thayer Photograph Collection,,eng,"In copyright, educational use permitted. Educational use includes non-commercial reproduction of text and images in materials for teaching and research purposes. For other contexts beyond fair use, including digital reproduction, please contact the University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu. The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/InC-EDU/1.0/,mg5792_011-009.jpg,image,https://objects.lib.uidaho.edu/thayer/mg5792_011-009,https://objects.lib.uidaho.edu/thayer/small/mg5792_011-009_sm.jpg,https://objects.lib.uidaho.edu/thayer/thumbs/mg5792_011-009_th.jpg
mg5792_011-010,,Hailey photos [9],Sheldon Zadok Thayer; Vernice Thayer,,,"A woman stands in the snow, in front of a building with a bell tower. ""Me, our last winter in Hailey"" is written on the front of the photo. The back of the photo is stamped with the number 716.",,"Hailey, Idaho",43.51957048,-114.3153813,"Sheldon Z. and Vernice Thayer collection, 1938-1941, University of Idaho Library Special Collections and Archives, https://www.lib.uidaho.edu/special-collections/",mg5792_011-010,Image;StillImage,black-and-white photograph,image/jpeg,https://archiveswest.orbiscascade.org/ark:80444/xv576502,Thayer Photograph Collection,,eng,"In copyright, educational use permitted. Educational use includes non-commercial reproduction of text and images in materials for teaching and research purposes. For other contexts beyond fair use, including digital reproduction, please contact the University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu. The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/InC-EDU/1.0/,mg5792_011-010.jpg,image,https://objects.lib.uidaho.edu/thayer/mg5792_011-010,https://objects.lib.uidaho.edu/thayer/small/mg5792_011-010_sm.jpg,https://objects.lib.uidaho.edu/thayer/thumbs/mg5792_011-010_th.jpg
mg5792_011-011,,Hailey photos [10],Sheldon Zadok Thayer; Vernice Thayer,,,A large group of people pose for a photo in a room.,groups of people; parties (events); living rooms,"Hailey, Idaho",43.51957048,-114.3153813,"Sheldon Z. and Vernice Thayer collection, 1938-1941, University of Idaho Library Special Collections and Archives, https://www.lib.uidaho.edu/special-collections/",mg5792_011-011,Image;StillImage,black-and-white photograph,image/jpeg,https://archiveswest.orbiscascade.org/ark:80444/xv576502,Thayer Photograph Collection,,eng,"In copyright, educational use permitted. Educational use includes non-commercial reproduction of text and images in materials for teaching and research purposes. For other contexts beyond fair use, including digital reproduction, please contact the University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu. The University of Idaho Library is not liable for any violations of the law by users.",http://rightsstatements.org/vocab/InC-EDU/1.0/,mg5792_011-011.jpg,image,https://objects.lib.uidaho.edu/thayer/mg5792_011-011,https://objects.lib.uidaho.edu/thayer/small/mg5792_011-011_sm.jpg,https://objects.lib.uidaho.edu/thayer/thumbs/mg5792_011-011_th.jpg
