objectid,parentid,title,date,archival_date,description,relation_is_part_of,image_alt_text,subject,location,source,identifier,type,format,finding_aid,language,rights,rightsstatement,filename,display_template,object_location,image_small,image_thumb
kooskia825,,"Full scrapbook page, page 14: facilities in Kooskia",1944,1943-1945,"Various facilities at the Kooskia Internment Camp, including the kitchen, dining area, infirmary, and barber shop. Photo taken from 12-3/4 x 15-1/4 Photograph album of the Kooskia Japanese Internment Camp.","A page from the Kooskia Internment Camp Scrapbook, http://www.lib.uidaho.edu/digital/kooskia",Image of a page from the scrapbook. The page is lightly tinted due to age and contains five black and white photos; three on one side and two on the other.,"Japanese Americans; Evacuation and relocation, 1942-1945;  Kooskia (Idaho);  World War, 1939-1945; Concentration camps; Idaho; Kooskia; ","Kooskia, Idaho","PG 103, Kooskia Internment Camp Scrapbook, University of Idaho Library Special Collections and Archives, http://www.lib.uidaho.edu/special-collections/","PG 103, Box 1, page 14, item a",image;StillImage,image/jpeg,https://archiveswest.orbiscascade.org/ark:80444/xv838108,eng,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted University of Idaho Library Special Collections and Archives Department. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,pg103_box1_page14.jpg,image,https://objects.lib.uidaho.edu/kooskia/pg103_box1_page14.jpg,https://objects.lib.uidaho.edu/kooskia/small/pg103_box1_page14_sm.jpg,https://objects.lib.uidaho.edu/kooskia/thumbs/pg103_box1_page14_th.jpg
kooskia831,,Kitchen and cook staff at Kooskia,1944,1943-1945,Interior image of men working in kitchen at Kooskia Internment Camp. Photo taken from 12-3/4 x 15-1/4 Photograph album of the Kooskia Japanese Internment Camp.,"A photo from the  Kooskia Internment Camp Scrapbook, http://www.lib.uidaho.edu/digital/kooskia",A black and white photo of a kitchen and men working.,"Japanese Americans; Evacuation and relocation, 1942-1945;  Kooskia (Idaho);  World War, 1939-1945; Concentration camps; Idaho; Kooskia; ","Kooskia, Idaho","PG 103, Kooskia Internment Camp Scrapbook, University of Idaho Library Special Collections and Archives, http://www.lib.uidaho.edu/special-collections/","PG 103, Box 1, page 14, item b",image;StillImage,image/jpeg,https://archiveswest.orbiscascade.org/ark:80444/xv838108,eng,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted University of Idaho Library Special Collections and Archives Department. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,pg103_box1_page14_a.jpg,image,https://objects.lib.uidaho.edu/kooskia/pg103_box1_page14_a.jpg,https://objects.lib.uidaho.edu/kooskia/small/pg103_box1_page14_a_sm.jpg,https://objects.lib.uidaho.edu/kooskia/thumbs/pg103_box1_page14_a_th.jpg
kooskia828,,Man sitting under chalkboard in Kooskia,1944,1943-1945,Image of man at Kooskia Internment Camp sitting outside building in front of chalkboard. Photo taken from 12-3/4 x 15-1/4 Photograph album of the Kooskia Japanese Internment Camp.,"A photo from the  Kooskia Internment Camp Scrapbook, http://www.lib.uidaho.edu/digital/kooskia",A black and white photograph of a man sitting under a chalkboard on the outside of a building. Both English and Japanese can be read from the sign.,"Japanese Americans; Evacuation and relocation, 1942-1945;  Kooskia (Idaho);  World War, 1939-1945; Concentration camps; Idaho; Kooskia; ","Kooskia, Idaho","PG 103, Kooskia Internment Camp Scrapbook, University of Idaho Library Special Collections and Archives, http://www.lib.uidaho.edu/special-collections/","PG 103, Box 1, page 14, item c",image;StillImage,image/jpeg,https://archiveswest.orbiscascade.org/ark:80444/xv838108,eng,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted University of Idaho Library Special Collections and Archives Department. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,pg103_box1_page14_b.jpg,image,https://objects.lib.uidaho.edu/kooskia/pg103_box1_page14_b.jpg,https://objects.lib.uidaho.edu/kooskia/small/pg103_box1_page14_b_sm.jpg,https://objects.lib.uidaho.edu/kooskia/thumbs/pg103_box1_page14_b_th.jpg
kooskia827,,Man sitting at table in Kooskia,1944,1943-1945,Interior shot of a man sitting at a set dining table at the Kooskia Internment Camp. Photo taken from 12-3/4 x 15-1/4 Photograph album of the Kooskia Japanese Internment Camp.,"A photo from the  Kooskia Internment Camp Scrapbook, http://www.lib.uidaho.edu/digital/kooskia",A black and white photograph of a man sitting at a table with dinnerware in front of him. A large calendar of the twelve months hangs on the wall. ,"Japanese Americans; Evacuation and relocation, 1942-1945;  Kooskia (Idaho);  World War, 1939-1945; Concentration camps; Idaho; Kooskia; ","Kooskia, Idaho","PG 103, Kooskia Internment Camp Scrapbook, University of Idaho Library Special Collections and Archives, http://www.lib.uidaho.edu/special-collections/","PG 103, Box 1, page 14, item d",image;StillImage,image/jpeg,https://archiveswest.orbiscascade.org/ark:80444/xv838108,eng,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted University of Idaho Library Special Collections and Archives Department. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,pg103_box1_page14_c.jpg,image,https://objects.lib.uidaho.edu/kooskia/pg103_box1_page14_c.jpg,https://objects.lib.uidaho.edu/kooskia/small/pg103_box1_page14_c_sm.jpg,https://objects.lib.uidaho.edu/kooskia/thumbs/pg103_box1_page14_c_th.jpg
kooskia826,,Medical patient at Kooskia,1944,1943-1945,Interior view of men in medical uniform attending to a patient at Kooskia Internment Camp.. Photo taken from 12-3/4 x 15-1/4 Photograph album of the Kooskia Japanese Internment Camp.,"A photo from the  Kooskia Internment Camp Scrapbook, http://www.lib.uidaho.edu/digital/kooskia","A black and white photograph of a patient on a bed, with three medical personnel attending to the patient on the table. ","Japanese Americans; Evacuation and relocation, 1942-1945;  Kooskia (Idaho);  World War, 1939-1945; Concentration camps; Idaho; Kooskia; ","Kooskia, Idaho","PG 103, Kooskia Internment Camp Scrapbook, University of Idaho Library Special Collections and Archives, http://www.lib.uidaho.edu/special-collections/","PG 103, Box 1, page 14, item e",image;StillImage,image/jpeg,https://archiveswest.orbiscascade.org/ark:80444/xv838108,eng,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted University of Idaho Library Special Collections and Archives Department. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,pg103_box1_page14_d.jpg,image,https://objects.lib.uidaho.edu/kooskia/pg103_box1_page14_d.jpg,https://objects.lib.uidaho.edu/kooskia/small/pg103_box1_page14_d_sm.jpg,https://objects.lib.uidaho.edu/kooskia/thumbs/pg103_box1_page14_d_th.jpg
kooskia829,,Medical office in Kooskia,1944,1943-1945,Interior shot of  group of men in room with medical equipment at Kooskia Internment Camp. Photo taken from 12-3/4 x 15-1/4 Photograph album of the Kooskia Japanese Internment Camp.,"A photo from the  Kooskia Internment Camp Scrapbook, http://www.lib.uidaho.edu/digital/kooskia",A black and white photograph of five men in a medical office. Two of them are sitting on chairs. ,"Japanese Americans; Evacuation and relocation, 1942-1945;  Kooskia (Idaho);  World War, 1939-1945; Concentration camps; Idaho; Kooskia; ","Kooskia, Idaho","PG 103, Kooskia Internment Camp Scrapbook, University of Idaho Library Special Collections and Archives, http://www.lib.uidaho.edu/special-collections/","PG 103, Box 1, page 14, item f",image;StillImage,image/jpeg,https://archiveswest.orbiscascade.org/ark:80444/xv838108,eng,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted University of Idaho Library Special Collections and Archives Department. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,pg103_box1_page14_e.jpg,image,https://objects.lib.uidaho.edu/kooskia/pg103_box1_page14_e.jpg,https://objects.lib.uidaho.edu/kooskia/small/pg103_box1_page14_e_sm.jpg,https://objects.lib.uidaho.edu/kooskia/thumbs/pg103_box1_page14_e_th.jpg
kooskia830,,"Full scrapbook page, page 15: medical facilities at Kooskia",1944,1943-1945,"Photographs of the medical facilities at the Kooskia Internment Camp, including the sick ward, infirmary, and dentists office. Photo taken from 12-3/4 x 15-1/4 Photograph album of the Kooskia Japanese Internment Camp.","A page from the Kooskia Internment Camp Scrapbook, http://www.lib.uidaho.edu/digital/kooskia",Image of a page from the scrapbook. The page is lightly tinted due to age and contains four black and white photographs at various angles. ,"Japanese Americans; Evacuation and relocation, 1942-1945;  Kooskia (Idaho);  World War, 1939-1945; Concentration camps; Idaho; Kooskia; ","Kooskia, Idaho","PG 103, Kooskia Internment Camp Scrapbook, University of Idaho Library Special Collections and Archives, http://www.lib.uidaho.edu/special-collections/","PG 103, Box 1, page 15, item a",image;StillImage,image/jpeg,https://archiveswest.orbiscascade.org/ark:80444/xv838108,eng,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted University of Idaho Library Special Collections and Archives Department. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,pg103_box1_page15.jpg,image,https://objects.lib.uidaho.edu/kooskia/pg103_box1_page15.jpg,https://objects.lib.uidaho.edu/kooskia/small/pg103_box1_page15_sm.jpg,https://objects.lib.uidaho.edu/kooskia/thumbs/pg103_box1_page15_th.jpg
kooskia833,,Tending flowers at Kooskia,1944,1943-1945,Image of a man tending flowers in front of a building at Kooskia Internment Camp. Photo taken from 12-3/4 x 15-1/4 Photograph album of the Kooskia Japanese Internment Camp.,"A photo from the  Kooskia Internment Camp Scrapbook, http://www.lib.uidaho.edu/digital/kooskia",A black and white photo of a man kneeling in front of a flower bed at the base of a building.,"Japanese Americans; Evacuation and relocation, 1942-1945;  Kooskia (Idaho);  World War, 1939-1945; Concentration camps; Idaho; Kooskia; ","Kooskia, Idaho","PG 103, Kooskia Internment Camp Scrapbook, University of Idaho Library Special Collections and Archives, http://www.lib.uidaho.edu/special-collections/","PG 103, Box 1, page 15, item b",image;StillImage,image/jpeg,https://archiveswest.orbiscascade.org/ark:80444/xv838108,eng,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted University of Idaho Library Special Collections and Archives Department. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,pg103_box1_page15_a.jpg,image,https://objects.lib.uidaho.edu/kooskia/pg103_box1_page15_a.jpg,https://objects.lib.uidaho.edu/kooskia/small/pg103_box1_page15_a_sm.jpg,https://objects.lib.uidaho.edu/kooskia/thumbs/pg103_box1_page15_a_th.jpg
kooskia835,,Medical personnel in Kooskia,1944,1943-1945,Interior image of men in medical jackets attending a patient in bed at Kooskia Internment Camp. Photo taken from 12-3/4 x 15-1/4 Photograph album of the Kooskia Japanese Internment Camp.,"A photo from the  Kooskia Internment Camp Scrapbook, http://www.lib.uidaho.edu/digital/kooskia",A black and white photo of medical personnel tending to a patient in a room. Four medical personnel surround a man on a bed.,"Japanese Americans; Evacuation and relocation, 1942-1945;  Kooskia (Idaho);  World War, 1939-1945; Concentration camps; Idaho; Kooskia; ","Kooskia, Idaho","PG 103, Kooskia Internment Camp Scrapbook, University of Idaho Library Special Collections and Archives, http://www.lib.uidaho.edu/special-collections/","PG 103, Box 1, page 15, item c",image;StillImage,image/jpeg,https://archiveswest.orbiscascade.org/ark:80444/xv838108,eng,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted University of Idaho Library Special Collections and Archives Department. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,pg103_box1_page15_b.jpg,image,https://objects.lib.uidaho.edu/kooskia/pg103_box1_page15_b.jpg,https://objects.lib.uidaho.edu/kooskia/small/pg103_box1_page15_b_sm.jpg,https://objects.lib.uidaho.edu/kooskia/thumbs/pg103_box1_page15_b_th.jpg
kooskia832,,Dental personnel at Kooskia,1944,1943-1945,Interior image of man in a dental jacket at Kooskia Internment Camp. Molds of teeth can be seen on the counter in front of the dentist. Photo taken from 12-3/4 x 15-1/4 Photograph album of the Kooskia Japanese Internment Camp.,"A photo from the  Kooskia Internment Camp Scrapbook, http://www.lib.uidaho.edu/digital/kooskia",A black and white photograph of a man in a dental jacket. He is holding a tool.,"Japanese Americans; Evacuation and relocation, 1942-1945;  Kooskia (Idaho);  World War, 1939-1945; Concentration camps; Idaho; Kooskia; ","Kooskia, Idaho","PG 103, Kooskia Internment Camp Scrapbook, University of Idaho Library Special Collections and Archives, http://www.lib.uidaho.edu/special-collections/","PG 103, Box 1, page 15, item d",image;StillImage,image/jpeg,https://archiveswest.orbiscascade.org/ark:80444/xv838108,eng,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted University of Idaho Library Special Collections and Archives Department. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,pg103_box1_page15_c.jpg,image,https://objects.lib.uidaho.edu/kooskia/pg103_box1_page15_c.jpg,https://objects.lib.uidaho.edu/kooskia/small/pg103_box1_page15_c_sm.jpg,https://objects.lib.uidaho.edu/kooskia/thumbs/pg103_box1_page15_c_th.jpg
kooskia834,,Dentist at Kooskia,1944,1943-1945,"Interior image of two men: one standing wearing a medical jacket, while other sits in dentist chair at Kooskia Internment Camp. Photo taken from 12-3/4 x 15-1/4 Photograph album of the Kooskia Japanese Internment Camp.","A photo from the  Kooskia Internment Camp Scrapbook, http://www.lib.uidaho.edu/digital/kooskia",A black and white photograph of a dentist standing next to a dental patient laying back in a chair. ,"Japanese Americans; Evacuation and relocation, 1942-1945;  Kooskia (Idaho);  World War, 1939-1945; Concentration camps; Idaho; Kooskia; ","Kooskia, Idaho","PG 103, Kooskia Internment Camp Scrapbook, University of Idaho Library Special Collections and Archives, http://www.lib.uidaho.edu/special-collections/","PG 103, Box 1, page 15, item e",image;StillImage,image/jpeg,https://archiveswest.orbiscascade.org/ark:80444/xv838108,eng,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted University of Idaho Library Special Collections and Archives Department. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,pg103_box1_page15_d.jpg,image,https://objects.lib.uidaho.edu/kooskia/pg103_box1_page15_d.jpg,https://objects.lib.uidaho.edu/kooskia/small/pg103_box1_page15_d_sm.jpg,https://objects.lib.uidaho.edu/kooskia/thumbs/pg103_box1_page15_d_th.jpg
kooskia836,,"Full scrapbook page, page 16: camp canteen at Kooskia",1944,1943-1945,Kooskia Camp camp canteen. Photo taken from 12-3/4 x 15-1/4 Photograph album of the Kooskia Japanese Internment Camp.,"A page from the Kooskia Internment Camp Scrapbook, http://www.lib.uidaho.edu/digital/kooskia",Image of a page from the scrapbook. The page is lightly tinted due to age and includes three black and white photographs.,"Japanese Americans; Evacuation and relocation, 1942-1945;  Kooskia (Idaho);  World War, 1939-1945; Concentration camps; Idaho; Kooskia; ","Kooskia, Idaho","PG 103, Kooskia Internment Camp Scrapbook, University of Idaho Library Special Collections and Archives, http://www.lib.uidaho.edu/special-collections/","PG 103, Box 1, page 16, item a",image;StillImage,image/jpeg,https://archiveswest.orbiscascade.org/ark:80444/xv838108,eng,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted University of Idaho Library Special Collections and Archives Department. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,pg103_box1_page16.jpg,image,https://objects.lib.uidaho.edu/kooskia/pg103_box1_page16.jpg,https://objects.lib.uidaho.edu/kooskia/small/pg103_box1_page16_sm.jpg,https://objects.lib.uidaho.edu/kooskia/thumbs/pg103_box1_page16_th.jpg
kooskia838,,Flowers in front of building at Kooskia Internment Camp,1944,1943-1945,Image of flowers in front of building at Kooskia Internment Camp. Photo taken from 12-3/4 x 15-1/4 Photograph album of the Kooskia Japanese Internment Camp.,"A photo from the  Kooskia Internment Camp Scrapbook, http://www.lib.uidaho.edu/digital/kooskia",A black and white photograph of flowers in front of a building.,"Japanese Americans; Evacuation and relocation, 1942-1945;  Kooskia (Idaho);  World War, 1939-1945; Concentration camps; Idaho; Kooskia; ","Kooskia, Idaho","PG 103, Kooskia Internment Camp Scrapbook, University of Idaho Library Special Collections and Archives, http://www.lib.uidaho.edu/special-collections/","PG 103, Box 1, page 16, item b",image;StillImage,image/jpeg,https://archiveswest.orbiscascade.org/ark:80444/xv838108,eng,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted University of Idaho Library Special Collections and Archives Department. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,pg103_box1_page16_a.jpg,image,https://objects.lib.uidaho.edu/kooskia/pg103_box1_page16_a.jpg,https://objects.lib.uidaho.edu/kooskia/small/pg103_box1_page16_a_sm.jpg,https://objects.lib.uidaho.edu/kooskia/thumbs/pg103_box1_page16_a_th.jpg
kooskia841,,Kooskia camp canteen,1944,1943-1945,"Image of buildings with a man in a doorway; sign on buildings says, &quot;Kooskia Camp Canteen&quot;. Photo taken from 12-3/4 x 15-1/4 Photograph album of the Kooskia Japanese Internment Camp.","A photo from the  Kooskia Internment Camp Scrapbook, http://www.lib.uidaho.edu/digital/kooskia",A black and white photograph of a building at the Kooskia Internment Camp.,"Japanese Americans; Evacuation and relocation, 1942-1945;  Kooskia (Idaho);  World War, 1939-1945; Concentration camps; Idaho; Kooskia; ","Kooskia, Idaho","PG 103, Kooskia Internment Camp Scrapbook, University of Idaho Library Special Collections and Archives, http://www.lib.uidaho.edu/special-collections/","PG 103, Box 1, page 16, item c",image;StillImage,image/jpeg,https://archiveswest.orbiscascade.org/ark:80444/xv838108,eng,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted University of Idaho Library Special Collections and Archives Department. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,pg103_box1_page16_b.jpg,image,https://objects.lib.uidaho.edu/kooskia/pg103_box1_page16_b.jpg,https://objects.lib.uidaho.edu/kooskia/small/pg103_box1_page16_b_sm.jpg,https://objects.lib.uidaho.edu/kooskia/thumbs/pg103_box1_page16_b_th.jpg
kooskia837,,Merchandise in Kooskia,1944,1943-1945,Interior image of merchandise at Kooskia Internment Camp. Photo taken from 12-3/4 x 15-1/4 Photograph album of the Kooskia Japanese Internment Camp.,"A photo from the  Kooskia Internment Camp Scrapbook, http://www.lib.uidaho.edu/digital/kooskia","A black and white photograph of the merchandise inside of a store such as bottles, clothing, and food.","Japanese Americans; Evacuation and relocation, 1942-1945;  Kooskia (Idaho);  World War, 1939-1945; Concentration camps; Idaho; Kooskia; ","Kooskia, Idaho","PG 103, Kooskia Internment Camp Scrapbook, University of Idaho Library Special Collections and Archives, http://www.lib.uidaho.edu/special-collections/","PG 103, Box 1, page 16, item d",image;StillImage,image/jpeg,https://archiveswest.orbiscascade.org/ark:80444/xv838108,eng,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted University of Idaho Library Special Collections and Archives Department. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,pg103_box1_page16_c.jpg,image,https://objects.lib.uidaho.edu/kooskia/pg103_box1_page16_c.jpg,https://objects.lib.uidaho.edu/kooskia/small/pg103_box1_page16_c_sm.jpg,https://objects.lib.uidaho.edu/kooskia/thumbs/pg103_box1_page16_c_th.jpg
kooskia839,,"Full scrapbook page, page 17: vegetables, livestock, and timber near Kooskia",1944,1943-1945,"Photographs of vegetables, pigs and wood. Photo taken from 12-3/4 x 15-1/4 Photograph album of the Kooskia Japanese Internment Camp.","A page from the Kooskia Internment Camp Scrapbook, http://www.lib.uidaho.edu/digital/kooskia",Image of a page from the scrapbook. The page is lightly tinted due to age and includes three black and white photographs.,"Japanese Americans; Evacuation and relocation, 1942-1945;  Kooskia (Idaho);  World War, 1939-1945; Concentration camps; Idaho; Kooskia; ","Kooskia, Idaho","PG 103, Kooskia Internment Camp Scrapbook, University of Idaho Library Special Collections and Archives, http://www.lib.uidaho.edu/special-collections/","PG 103, Box 1, page 17, item a",image;StillImage,image/jpeg,https://archiveswest.orbiscascade.org/ark:80444/xv838108,eng,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted University of Idaho Library Special Collections and Archives Department. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,pg103_box1_page17.jpg,image,https://objects.lib.uidaho.edu/kooskia/pg103_box1_page17.jpg,https://objects.lib.uidaho.edu/kooskia/small/pg103_box1_page17_sm.jpg,https://objects.lib.uidaho.edu/kooskia/thumbs/pg103_box1_page17_th.jpg
kooskia840,,Sawing wood at Kooskia,1944,1943-1945,Image of men sawing tree at Kooskia Internment Camp. Photo taken from 12-3/4 x 15-1/4 Photograph album of the Kooskia Japanese Internment Camp.,"A photo from the  Kooskia Internment Camp Scrapbook, http://www.lib.uidaho.edu/digital/kooskia",A black and white photo of five men chopping a large log.,"Japanese Americans; Evacuation and relocation, 1942-1945;  Kooskia (Idaho);  World War, 1939-1945; Concentration camps; Idaho; Kooskia; ","Kooskia, Idaho","PG 103, Kooskia Internment Camp Scrapbook, University of Idaho Library Special Collections and Archives, http://www.lib.uidaho.edu/special-collections/","PG 103, Box 1, page 17, item b",image;StillImage,image/jpeg,https://archiveswest.orbiscascade.org/ark:80444/xv838108,eng,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted University of Idaho Library Special Collections and Archives Department. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,pg103_box1_page17_a.jpg,image,https://objects.lib.uidaho.edu/kooskia/pg103_box1_page17_a.jpg,https://objects.lib.uidaho.edu/kooskia/small/pg103_box1_page17_a_sm.jpg,https://objects.lib.uidaho.edu/kooskia/thumbs/pg103_box1_page17_a_th.jpg
kooskia843,,Vegetables from Kooskia,1944,1943-1945,"Image of picked vegetables, mostly gourds, at Kooskia Internment Camp. Photo taken from 12-3/4 x 15-1/4 Photograph album of the Kooskia Japanese Internment Camp.","A photo from the  Kooskia Internment Camp Scrapbook, http://www.lib.uidaho.edu/digital/kooskia",A black and white photograph of gourds in a wood crate and wood basket.,"Japanese Americans; Evacuation and relocation, 1942-1945;  Kooskia (Idaho);  World War, 1939-1945; Concentration camps; Idaho; Kooskia; ","Kooskia, Idaho","PG 103, Kooskia Internment Camp Scrapbook, University of Idaho Library Special Collections and Archives, http://www.lib.uidaho.edu/special-collections/","PG 103, Box 1, page 17, item c",image;StillImage,image/jpeg,https://archiveswest.orbiscascade.org/ark:80444/xv838108,eng,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted University of Idaho Library Special Collections and Archives Department. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,pg103_box1_page17_b.jpg,image,https://objects.lib.uidaho.edu/kooskia/pg103_box1_page17_b.jpg,https://objects.lib.uidaho.edu/kooskia/small/pg103_box1_page17_b_sm.jpg,https://objects.lib.uidaho.edu/kooskia/thumbs/pg103_box1_page17_b_th.jpg
kooskia842,,Pigs in corral in Kooskia,1944,1943-1945,Image of four pigs in a corral at Kooskia Internment Camp. Photo taken from 12-3/4 x 15-1/4 Photograph album of the Kooskia Japanese Internment Camp.,"A photo from the  Kooskia Internment Camp Scrapbook, http://www.lib.uidaho.edu/digital/kooskia",A black and white photograph of pigs in a corral. ,"Japanese Americans; Evacuation and relocation, 1942-1945;  Kooskia (Idaho);  World War, 1939-1945; Concentration camps; Idaho; Kooskia; ","Kooskia, Idaho","PG 103, Kooskia Internment Camp Scrapbook, University of Idaho Library Special Collections and Archives, http://www.lib.uidaho.edu/special-collections/","PG 103, Box 1, page 17, item d",image;StillImage,image/jpeg,https://archiveswest.orbiscascade.org/ark:80444/xv838108,eng,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted University of Idaho Library Special Collections and Archives Department. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,pg103_box1_page17_c.jpg,image,https://objects.lib.uidaho.edu/kooskia/pg103_box1_page17_c.jpg,https://objects.lib.uidaho.edu/kooskia/small/pg103_box1_page17_c_sm.jpg,https://objects.lib.uidaho.edu/kooskia/thumbs/pg103_box1_page17_c_th.jpg
kooskia844,,"Full scrapbook page, page 18: Christmas scenes from Kooskia",1944,1943-1945,"Christmas scenes, including decorating the Christmas tree for the camp. Photo taken from 12-3/4 x 15-1/4 Photograph album of the Kooskia Japanese Internment Camp.","A page from the Kooskia Internment Camp Scrapbook, http://www.lib.uidaho.edu/digital/kooskia",Image of a page from the scrapbook. The page is lightly tinted due to age and includes three black and white photographs.,"Japanese Americans; Evacuation and relocation, 1942-1945;  Kooskia (Idaho);  World War, 1939-1945; Concentration camps; Idaho; Kooskia; ","Kooskia, Idaho","PG 103, Kooskia Internment Camp Scrapbook, University of Idaho Library Special Collections and Archives, http://www.lib.uidaho.edu/special-collections/","PG 103, Box 1, page 18, item a",image;StillImage,image/jpeg,https://archiveswest.orbiscascade.org/ark:80444/xv838108,eng,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted University of Idaho Library Special Collections and Archives Department. For other uses beyond free use, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,pg103_box1_page18.jpg,image,https://objects.lib.uidaho.edu/kooskia/pg103_box1_page18.jpg,https://objects.lib.uidaho.edu/kooskia/small/pg103_box1_page18_sm.jpg,https://objects.lib.uidaho.edu/kooskia/thumbs/pg103_box1_page18_th.jpg
