title,description,creator,recipient,point of origin,date,date is approximate,subject,latitude,longitude,source,identifier,rights,rightsstatement,format original,type,format,language,cdm_url,cdmid,contentdm file name,contentdm file path,objectid,display_template,filename,object_location,image_small,image_thumb,object_transcript
Questions for Hal Riegger about the Craig Mountain Railroad,"A document containing typed answers to a list of 9 questions about the Craig Mountain Railroad, answers provided by Hal Riegger. Questions assumed to be created by John Ulrich, or 'Jack'.","Riegger, Hal","Ulrich, John",United States; Idaho;,1905-06-04,yes,freight trains; letters (correspondence),,,"MG 183 Hal Riegger Papers, 1981-1986",MG183_F01_002,"No Copyright. Material made available by source. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://creativecommons.org/publicdomain/mark/1.0/,Text,Text,application/pdf,eng,http://cdm17254.contentdm.oclc.org/cdm/ref/collection/riegger/id/147,147,502.pdf,/riegger/image/502.pdf,riegger147,pdf,riegger147.pdf,https://objects.lib.uidaho.edu/riegger/riegger147.pdf,https://objects.lib.uidaho.edu/riegger/small/riegger147_sm.jpg,https://objects.lib.uidaho.edu/riegger/thumbs/riegger147_th.jpg,
Employee Passenger Car on Bridge 38,"A photograph of a man operating a passenger car, moving across Bridge 38. Pictured in the foreground is a man supervising the action, as well as the back of the head of a dog.","Cash, Earl",,,1905-04-06,,construction (assembling); freight trains; railroads (infrastructure),46.151777,-116.390602,"MG 183 Hal Riegger Papers, 1981-1986",MG183_F16_004,"No Copyright. Material made available by source. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://creativecommons.org/publicdomain/mark/1.0/,Photograph,Image;Stillimage,image/jpeg,eng,http://cdm17254.contentdm.oclc.org/cdm/ref/collection/riegger/id/148,148,293.jp2,/riegger/image/293.jp2,riegger148,image,riegger148.jpg,https://objects.lib.uidaho.edu/riegger/riegger148.jpg,https://objects.lib.uidaho.edu/riegger/small/riegger148_sm.jpg,https://objects.lib.uidaho.edu/riegger/thumbs/riegger148_th.jpg,
Tractor Clearing Railroad Ties,A photograph of a worker riding a tractor as he clears old railroad ties.,"Meckstroth, Wally",,,1957,yes,freight trains; railroads (infrastructure),,,"MG 183 Hal Riegger Papers, 1981-1986",MG183_F23_006,"In Copyright – Educational Use Permitted. Digital reproduction rights assigned to University of Idaho Library by source. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,Photograph,Image;Stillimage,image/jpeg,eng,http://cdm17254.contentdm.oclc.org/cdm/ref/collection/riegger/id/149,149,242.jp2,/riegger/image/242.jp2,riegger149,image,riegger149.jpg,https://objects.lib.uidaho.edu/riegger/riegger149.jpg,https://objects.lib.uidaho.edu/riegger/small/riegger149_sm.jpg,https://objects.lib.uidaho.edu/riegger/thumbs/riegger149_th.jpg,
Z.A. Johnson,"A photograph of Z.A. Johnson in his office, located inside the Kettenbach Building on West Main St., Lewiston, ID.","Johnson, Dale",,,1905-03-25,,freight trains; railroads (infrastructure),46.400483,-117.004975,"MG 183 Hal Riegger Papers, 1981-1986",MG183_F21_001,"No Copyright. Material made available by source. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://creativecommons.org/publicdomain/mark/1.0/,Photograph,Image;Stillimage,image/jpeg,eng,http://cdm17254.contentdm.oclc.org/cdm/ref/collection/riegger/id/150,150,252.jp2,/riegger/image/252.jp2,riegger150,image,riegger150.jpg,https://objects.lib.uidaho.edu/riegger/riegger150.jpg,https://objects.lib.uidaho.edu/riegger/small/riegger150_sm.jpg,https://objects.lib.uidaho.edu/riegger/thumbs/riegger150_th.jpg,
Union Pacific Train Engine 2100,"A photograph of Union Pacific Train Engine 2100 'McArthur' class (a Mikado re-named after Pearl Harbor). Oil burner, mainly when used on Headquarters Branch to help avoid fires.","Banks, Herb",,United States; Idaho,1947-07-05,,freight trains,,,"MG 183 Hal Riegger Papers, 1981-1986",MG183_F09_005,"In Copyright – Educational Use Permitted. Digital reproduction rights assigned to University of Idaho Library by source. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,Photograph,Image;Stillimage,image/jpeg,eng,http://cdm17254.contentdm.oclc.org/cdm/ref/collection/riegger/id/151,151,176.jp2,/riegger/image/176.jp2,riegger151,image,riegger151.jpg,https://objects.lib.uidaho.edu/riegger/riegger151.jpg,https://objects.lib.uidaho.edu/riegger/small/riegger151_sm.jpg,https://objects.lib.uidaho.edu/riegger/thumbs/riegger151_th.jpg,
"Construction Crew, Man Holding A Gun",A man holds a gun while standing next to a passenger car full of cargo and materials. Behind him is a construction car with three men inside.,"Cash, Earl",,,1905-04-13,,passenger cars (railroad cars); railroads (infrastructure),,,"MG 183 Hal Riegger Papers, 1981-1986",MG183_F16_006,"No Copyright. Material made available by source. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://creativecommons.org/publicdomain/mark/1.0/,Photograph,Image;Stillimage,image/jpeg,eng,http://cdm17254.contentdm.oclc.org/cdm/ref/collection/riegger/id/152,152,197.jp2,/riegger/image/197.jp2,riegger152,image,riegger152.jpg,https://objects.lib.uidaho.edu/riegger/riegger152.jpg,https://objects.lib.uidaho.edu/riegger/small/riegger152_sm.jpg,https://objects.lib.uidaho.edu/riegger/thumbs/riegger152_th.jpg,
"Letter from Hal Riegger to Ken Brovald, August 24, 1983",A letter from Hal Riegger to Ken Brovald regarding Riegger's railroad research.,"Riegger, Hal","Brovald, Ken",United States; California; Nevada County; Penn Valley;,1983-08-24,,letters (correspondence),,,"MG 183 Hal Riegger Papers, 1981-1989",MG183_F11_010,"In Copyright – Educational Use Permitted. Digital reproduction rights assigned to University of Idaho Library by source. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,Text,Text,application/pdf,eng,http://cdm17254.contentdm.oclc.org/cdm/ref/collection/riegger/id/153,153,110.pdf,/riegger/image/110.pdf,riegger153,pdf,riegger153.pdf,https://objects.lib.uidaho.edu/riegger/riegger153.pdf,https://objects.lib.uidaho.edu/riegger/small/riegger153_sm.jpg,https://objects.lib.uidaho.edu/riegger/thumbs/riegger153_th.jpg,
"Letter from Hal Riegger to Todd Sullivan, July 23, 1984.",Hal Riegger provides Todd Sullivan with his payment and wishes him well.,"Riegger, Hal","Sullivan, Todd",United States; California; Nevada County; Penn Valley;,1984-07-23,,letters (correspondence),,,"MG 183 Hal Riegger Papers, 1981-1986",MG183_F29_030,"In Copyright – Educational Use Permitted. Digital reproduction rights assigned to University of Idaho Library by source. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,text,text,application/pdf,eng,http://cdm17254.contentdm.oclc.org/cdm/ref/collection/riegger/id/154,154,297.pdf,/riegger/image/297.pdf,riegger154,pdf,riegger154.pdf,https://objects.lib.uidaho.edu/riegger/riegger154.pdf,https://objects.lib.uidaho.edu/riegger/small/riegger154_sm.jpg,https://objects.lib.uidaho.edu/riegger/thumbs/riegger154_th.jpg,
Clearwater Timber Co. Train Engine In Snow,"A photograph of a Clearwater Timber Co. Train Engine moving through Potlatch, ID in the snow.",Gruber,,,1905-04-10,yes,construction (assembling); freight trains; railroads (infrastructure),46.642283,-115.804161,"MG 183 Hal Riegger Papers, 1981-1986",MG183_F18_007,"No Copyright. Material made available by source. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://creativecommons.org/publicdomain/mark/1.0/,Photograph,Image;Stillimage,image/jpeg,eng,http://cdm17254.contentdm.oclc.org/cdm/ref/collection/riegger/id/155,155,465.jp2,/riegger/image/465.jp2,riegger155,image,riegger155.jpg,https://objects.lib.uidaho.edu/riegger/riegger155.jpg,https://objects.lib.uidaho.edu/riegger/small/riegger155_sm.jpg,https://objects.lib.uidaho.edu/riegger/thumbs/riegger155_th.jpg,
"Tunnel No. 7, Lapwai Branch [1]",A photograph of Tunnel No. 7 on the Lapwai Branch of the Camas Prairie Railroad. The view was taken to show the solid timber lining inside the portal at the Grangeville end of the tunnel.,"Leiterman, Ray",,,1949-08-24,,freight trains,46.405064,-116.805835,"MG 183 Hal Riegger Papers, 1981-1986",MG183_F14_024,"In Copyright – Educational Use Permitted. Digital reproduction rights assigned to University of Idaho Library by source. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,Photograph,Image;Stillimage,image/jpeg,eng,http://cdm17254.contentdm.oclc.org/cdm/ref/collection/riegger/id/156,156,329.jp2,/riegger/image/329.jp2,riegger156,image,riegger156.jpg,https://objects.lib.uidaho.edu/riegger/riegger156.jpg,https://objects.lib.uidaho.edu/riegger/small/riegger156_sm.jpg,https://objects.lib.uidaho.edu/riegger/thumbs/riegger156_th.jpg,
A Retired Maintenance Car,"A photograph of 'a retired maintenance car sit[ting] in the wheat fields in Nez Perce, Idaho in the summer of 1973. Its years of service is at an end. The boxy, tin roof canopy protected the track workers from the hot relentless sun of the Camas Prairie wheat fields.'","Brovald, Ken","Riegger, Hal",,1973,,freight trains,"46.236717,",-116.243668,"MG 183 Hal Riegger Papers, 1981-1986",MG183_F11_004,"In Copyright – Educational Use Permitted. Digital reproduction rights assigned to University of Idaho Library by source. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,Photograph,Image;Stillimage,image/jpeg,eng,http://cdm17254.contentdm.oclc.org/cdm/ref/collection/riegger/id/157,157,305.jp2,/riegger/image/305.jp2,riegger157,image,riegger157.jpg,https://objects.lib.uidaho.edu/riegger/riegger157.jpg,https://objects.lib.uidaho.edu/riegger/small/riegger157_sm.jpg,https://objects.lib.uidaho.edu/riegger/thumbs/riegger157_th.jpg,
"Letter from Hal Riegger to P.W. Stafford, December 7 1983","A letter from Hal Riegger to P.W. Stafford of the Burlington Northern Railroad in which Riegger asks about the Northern Pacific tracks that went from Pullman Junction, Washington to Genesee, Idaho.","Riegger, Hal","Stafford, Patrick W.",United States; California; Nevada County; Penn Valley;,1983-12-07,,freight trains; letters (correspondence),,,"MG 183 Hal Riegger Papers, 1981-1986",MG183_F01_009,"In Copyright – Educational Use Permitted. Digital reproduction rights assigned to University of Idaho Library by source. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,Text,Text,application/pdf,eng,http://cdm17254.contentdm.oclc.org/cdm/ref/collection/riegger/id/158,158,272.pdf,/riegger/image/272.pdf,riegger158,pdf,riegger158.pdf,https://objects.lib.uidaho.edu/riegger/riegger158.pdf,https://objects.lib.uidaho.edu/riegger/small/riegger158_sm.jpg,https://objects.lib.uidaho.edu/riegger/thumbs/riegger158_th.jpg,
"Paper Copy of Photograph of Headquarters, ID","A paper copy of a photograph of Headquarters, ID in August of 1927.","Anderson, J.F.","Riegger, Hal",United States; Idaho; Clearwater County; Headquarters,1927-08-27,,freight trains; letters (correspondence),,,"MG 183 Hal Riegger Papers, 1981-1986",MG183_F01_016,"In Copyright – Educational Use Permitted. Digital reproduction rights assigned to University of Idaho Library by source. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,Photograph,image;stillimage,image/jpeg,eng,http://cdm17254.contentdm.oclc.org/cdm/ref/collection/riegger/id/159,159,464.jp2,/riegger/image/464.jp2,riegger159,image,riegger159.jpg,https://objects.lib.uidaho.edu/riegger/riegger159.jpg,https://objects.lib.uidaho.edu/riegger/small/riegger159_sm.jpg,https://objects.lib.uidaho.edu/riegger/thumbs/riegger159_th.jpg,
Northern Pacific B-12 Locomotive,Northern Pacific's B-12 railway post office seen at what appears to be a railway station.,Will Whittaker,,,1941-06-27,,locomotives; railway post offices; train stations; electrical posts; trees,,,"MG 183 Hal Riegger Papers, 1981-1986",MG183_F32_002,"In Copyright – Educational Use Permitted. Digital reproduction rights assigned to University of Idaho Library by source. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,Photograph,Image;Stillimage,image/jpeg,eng,http://cdm17254.contentdm.oclc.org/cdm/ref/collection/riegger/id/160,160,221.jp2,/riegger/image/221.jp2,riegger160,image,riegger160.jpg,https://objects.lib.uidaho.edu/riegger/riegger160.jpg,https://objects.lib.uidaho.edu/riegger/small/riegger160_sm.jpg,https://objects.lib.uidaho.edu/riegger/thumbs/riegger160_th.jpg,
"Letter from Kellie Cash to Hal Riegger, April 3, 1984","Correspondence between Kellie Cash and Hal Riegger, regarding Cash's son Earl and the use of his photographs of railroad bridges on the Camas Prairie Railroad, as well as personal details and correspondence.","Cash, Kellie","Riegger, Hal",United States; Washington; Asotin County; Clarkston;,1984-04-03,,freight trains; letters (correspondence),,,"MG 183 Hal Riegger Papers, 1981-1986",MG183_F15_006,"In Copyright – Educational Use Permitted. Digital reproduction rights assigned to University of Idaho Library by source. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,Text,Text,application/pdf,eng,http://cdm17254.contentdm.oclc.org/cdm/ref/collection/riegger/id/161,161,157.pdf,/riegger/image/157.pdf,riegger161,pdf,riegger161.pdf,https://objects.lib.uidaho.edu/riegger/riegger161.pdf,https://objects.lib.uidaho.edu/riegger/small/riegger161_sm.jpg,https://objects.lib.uidaho.edu/riegger/thumbs/riegger161_th.jpg,
"Letter from Hal Riegger to Todd Sullivan, June 26, 1984",Hal Riegger thanks Todd Sullivan for sending along photos that he needs for the book. He asks if he can hold on to the negatives until conditions improve for the darkroom work. Riegger asks for an idea of what he will owe when their agreement is complete.,"Riegger, Hal","Sullivan, Todd",United States; California; Nevada County; Penn Valley;,1984-06-24,,letters (correspondence),,,"MG 183 Hal Riegger Papers, 1981-1986",MG183_F29_027,"In Copyright – Educational Use Permitted. Digital reproduction rights assigned to University of Idaho Library by source. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,text,text,application/pdf,eng,http://cdm17254.contentdm.oclc.org/cdm/ref/collection/riegger/id/162,162,78.pdf,/riegger/image/78.pdf,riegger162,pdf,riegger162.pdf,https://objects.lib.uidaho.edu/riegger/riegger162.pdf,https://objects.lib.uidaho.edu/riegger/small/riegger162_sm.jpg,https://objects.lib.uidaho.edu/riegger/thumbs/riegger162_th.jpg,
Pat Ryan's Grave,A photograph of Pat Ryan's Grave.,"Sullivan, Irvin",,,1958-11-01,,freight trains; railroads (infrastructure),,,"MG 183 Hal Riegger Papers, 1981-1986",MG183_F27_001,"In Copyright – Educational Use Permitted. Digital reproduction rights assigned to University of Idaho Library by source. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,Photograph,Image;Stillimage,image/jpeg,eng,http://cdm17254.contentdm.oclc.org/cdm/ref/collection/riegger/id/163,163,24.jp2,/riegger/image/24.jp2,riegger163,image,riegger163.jpg,https://objects.lib.uidaho.edu/riegger/riegger163.jpg,https://objects.lib.uidaho.edu/riegger/small/riegger163_sm.jpg,https://objects.lib.uidaho.edu/riegger/thumbs/riegger163_th.jpg,
Camas Prairie Rotary Close-up,"A stationary rotary snow plow in East Lewiston, on the Ready Tracks, about to plow snow. This rotary was equipped with 2 electric motors.","Rikerd, Maynard",,,1905-05-25,,freight trains; railroads (infrastructure),46.400248,-117.00087,"MG 183 Hal Riegger Papers, 1981-1986",MG183_F26_005,"No Copyright. Material made available by source. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://creativecommons.org/publicdomain/mark/1.0/,Photograph,Image;Stillimage,image/jpeg,eng,http://cdm17254.contentdm.oclc.org/cdm/ref/collection/riegger/id/164,164,330.jp2,/riegger/image/330.jp2,riegger164,image,riegger164.jpg,https://objects.lib.uidaho.edu/riegger/riegger164.jpg,https://objects.lib.uidaho.edu/riegger/small/riegger164_sm.jpg,https://objects.lib.uidaho.edu/riegger/thumbs/riegger164_th.jpg,
Railroad Construction Map,A map of railroads built in the late 19th-early 20th century in Washington and Oregon. A note in the bottom right indicates that it is not to scale.,,,United States; Washington; Oregon;,,,historical maps; location maps,,,"MG 183 Hal Riegger Papers, 1981-1986",MG183_F06_009,"In Copyright – Educational Use Permitted. Digital reproduction rights assigned to University of Idaho Library by source. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,Photograph,image;stillimage,image/jpeg,eng,http://cdm17254.contentdm.oclc.org/cdm/ref/collection/riegger/id/165,165,2.jp2,/riegger/image/2.jp2,riegger165,image,riegger165.jpg,https://objects.lib.uidaho.edu/riegger/riegger165.jpg,https://objects.lib.uidaho.edu/riegger/small/riegger165_sm.jpg,https://objects.lib.uidaho.edu/riegger/thumbs/riegger165_th.jpg,
"Letter from Hal Riegger to Todd Sullivan, July 9, 1984",Hal Riegger informs Todd Sullivan of the materials that he will be sending back to him as well a an update on the materials that he needs. Riegger also thanks Sullivan for the quick reply.,"Riegger, Hal","Sullivan, Todd",United States; California; Nevada County; Penn Valley;,1984-07-09,,letters (correspondence),,,"MG 183 Hal Riegger Papers, 1981-1986",MG183_F29_028,"In Copyright – Educational Use Permitted. Digital reproduction rights assigned to University of Idaho Library by source. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,text,text,application/pdf,eng,http://cdm17254.contentdm.oclc.org/cdm/ref/collection/riegger/id/166,166,238.pdf,/riegger/image/238.pdf,riegger166,pdf,riegger166.pdf,https://objects.lib.uidaho.edu/riegger/riegger166.pdf,https://objects.lib.uidaho.edu/riegger/small/riegger166_sm.jpg,https://objects.lib.uidaho.edu/riegger/thumbs/riegger166_th.jpg,
Image Copying Receipt,"An old receipt of 25 photocopies made by Ken C. Brovald, included in a letter to Hal Riegger in which Brovald requests reimbursement.","Brovald, Ken",,,1948,yes,freight trains,,,"MG 183 Hal Riegger Papers, 1981-1986",MG183_F11_007,"In Copyright – Educational Use Permitted. Digital reproduction rights assigned to University of Idaho Library by source. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,Text,Text,application/pdf,eng,http://cdm17254.contentdm.oclc.org/cdm/ref/collection/riegger/id/167,167,419.pdf,/riegger/image/419.pdf,riegger167,pdf,riegger167.pdf,https://objects.lib.uidaho.edu/riegger/riegger167.pdf,https://objects.lib.uidaho.edu/riegger/small/riegger167_sm.jpg,https://objects.lib.uidaho.edu/riegger/thumbs/riegger167_th.jpg,
Train Engine At Winchester Engine House,A photograph of train engine Heisler #6 tying up at engine house after taking a couple of cars of lumber to the Camas Prairie R.R. interchange at Craig Junction.,"Hastings, Phil",,,1951-06-14,,freight trains,46.239238,-116.623082,"MG 183 Hal Riegger Papers, 1981-1986",MG183_F19_024,"In Copyright – Educational Use Permitted. Digital reproduction rights assigned to University of Idaho Library by source. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,Photograph,Image;Stillimage,image/jpeg,eng,http://cdm17254.contentdm.oclc.org/cdm/ref/collection/riegger/id/168,168,21.jp2,/riegger/image/21.jp2,riegger168,image,riegger168.jpg,https://objects.lib.uidaho.edu/riegger/riegger168.jpg,https://objects.lib.uidaho.edu/riegger/small/riegger168_sm.jpg,https://objects.lib.uidaho.edu/riegger/thumbs/riegger168_th.jpg,
U.P. 248 Engine Stuck In The Snow,A photograph of Union Pacific Engine 248 stuck in its place on the tracks near Grangeville because of immense amounts of snow. There are several workers in the photograph that are working to dig the train out.,"Leiterman, Ray",,,,,freight trains,45.926713,-116.121637,"MG 183 Hal Riegger Papers, 1981-1986",MG183_F14_013,"In Copyright – Educational Use Permitted. Digital reproduction rights assigned to University of Idaho Library by source. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,Photograph,Image;Stillimage,image/jpeg,eng,http://cdm17254.contentdm.oclc.org/cdm/ref/collection/riegger/id/169,169,414.jp2,/riegger/image/414.jp2,riegger169,image,riegger169.jpg,https://objects.lib.uidaho.edu/riegger/riegger169.jpg,https://objects.lib.uidaho.edu/riegger/small/riegger169_sm.jpg,https://objects.lib.uidaho.edu/riegger/thumbs/riegger169_th.jpg,
Correspondence between P.W. Stafford and Hal Riegger,"A December 6, 1984 letter from Hal Riegger to Patrick W. Stafford, and Mr. Stafford's December 11, 1984 response.","Riegger, Hal","Stafford, Patrick W.",United States; California; Nevada County; Penn Valley;,1984-12-06,,freight trains; railroad tracks; letters (correspondence),,,"MG 183 Hal Riegger Papers, 1981-1986",MG183_F01_044,"In Copyright – Educational Use Permitted. Digital reproduction rights assigned to University of Idaho Library by source. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,Text,Text,application/pdf,eng,http://cdm17254.contentdm.oclc.org/cdm/ref/collection/riegger/id/170,170,125.pdf,/riegger/image/125.pdf,riegger170,pdf,riegger170.pdf,https://objects.lib.uidaho.edu/riegger/riegger170.pdf,https://objects.lib.uidaho.edu/riegger/small/riegger170_sm.jpg,https://objects.lib.uidaho.edu/riegger/thumbs/riegger170_th.jpg,
Train Unloads Mail at Train Station,"A photograph of 'train 311' unloading mail. 'Class L9, hand fired coal burning. Cab extended forward along boiler and engineer operated throttle by sitting in right cab window. Throttle up high along top of boiler. Uncomfortable for engineer and cold in winter.'","Butler, Bruce",,,1954-06-23,,freight trains,46.40035,-117.004475,"MG 183 Hal Riegger Papers, 1981-1986",MG183_F13_006,"In Copyright – Educational Use Permitted. Digital reproduction rights assigned to University of Idaho Library by source. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,Photograph,Image;Stillimage,image/jpeg,eng,http://cdm17254.contentdm.oclc.org/cdm/ref/collection/riegger/id/171,171,398.jp2,/riegger/image/398.jp2,riegger171,image,riegger171.jpg,https://objects.lib.uidaho.edu/riegger/riegger171.jpg,https://objects.lib.uidaho.edu/riegger/small/riegger171_sm.jpg,https://objects.lib.uidaho.edu/riegger/thumbs/riegger171_th.jpg,
Logger Line In Water,A black and white photograph of what is colloquially called a 'Logger Line' stuck in the water next to a pair of railroad tracks.,"Cash, Earl",,,1905-04-17,,freight trains; railroads (infrastructure),,,"MG 183 Hal Riegger Papers, 1981-1986",MG183_F16_047,"No Copyright. Material made available by source. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://creativecommons.org/publicdomain/mark/1.0/,Photograph,Image;Stillimage,image/jpeg,eng,http://cdm17254.contentdm.oclc.org/cdm/ref/collection/riegger/id/172,172,138.jp2,/riegger/image/138.jp2,riegger172,image,riegger172.jpg,https://objects.lib.uidaho.edu/riegger/riegger172.jpg,https://objects.lib.uidaho.edu/riegger/small/riegger172_sm.jpg,https://objects.lib.uidaho.edu/riegger/thumbs/riegger172_th.jpg,
Freight Train Crosses Clearwater River,"A photograph of train engine Extra 1703 East crossing the Clearwater River atop a metal bridge with ''commercials' ahead, log flats behind. The train is headed for Orofino. Mountains stretch across the background.","Hastings, Phil",,,1983-09-27,,freight trains,46.478172,-116.767886,"MG 183 Hal Riegger Papers, 1981-1986",MG183_F19_033,"In Copyright – Educational Use Permitted. Digital reproduction rights assigned to University of Idaho Library by source. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,Photograph,Image;Stillimage,image/jpeg,eng,http://cdm17254.contentdm.oclc.org/cdm/ref/collection/riegger/id/173,173,191.jp2,/riegger/image/191.jp2,riegger173,image,riegger173.jpg,https://objects.lib.uidaho.edu/riegger/riegger173.jpg,https://objects.lib.uidaho.edu/riegger/small/riegger173_sm.jpg,https://objects.lib.uidaho.edu/riegger/thumbs/riegger173_th.jpg,
NP Engine 684 [3],Northern Pacific Train Engine 684 at Hilly and Shopo Area in July 1974. This specific train used to run for Nez Perce & Idaho Railroad.,"Rikerd, Maynard",,,1974-07-01,,freight trains; railroads (infrastructure),46.664655,-118.223319,"MG 183 Hal Riegger Papers, 1981-1986",MG183_F26_013,"In Copyright – Educational Use Permitted. Digital reproduction rights assigned to University of Idaho Library by source. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,Photograph,Image;Stillimage,image/jpeg,eng,http://cdm17254.contentdm.oclc.org/cdm/ref/collection/riegger/id/174,174,311.jp2,/riegger/image/311.jp2,riegger174,image,riegger174.jpg,https://objects.lib.uidaho.edu/riegger/riegger174.jpg,https://objects.lib.uidaho.edu/riegger/small/riegger174_sm.jpg,https://objects.lib.uidaho.edu/riegger/thumbs/riegger174_th.jpg,
Train 860 Underneath Highway,"A photograph of Train #860 moving under the highway at Central Ferry, Washington. 55 miles west of Lewiston.","Morefield, Jim",,,1977-01-01,,color photographs; freight trains; railroads (infrastructure),46.632302,-117.80148,"MG 183 Hal Riegger Papers, 1981-1986",MG183_F24_003,"In Copyright – Educational Use Permitted. Digital reproduction rights assigned to University of Idaho Library by source. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,Photograph,Image;Stillimage,image/jpeg,eng,http://cdm17254.contentdm.oclc.org/cdm/ref/collection/riegger/id/175,175,404.jp2,/riegger/image/404.jp2,riegger175,image,riegger175.jpg,https://objects.lib.uidaho.edu/riegger/riegger175.jpg,https://objects.lib.uidaho.edu/riegger/small/riegger175_sm.jpg,https://objects.lib.uidaho.edu/riegger/thumbs/riegger175_th.jpg,
Construction Vehicle On Bridge #5,"A photograph of a construction vehicle on the tracks near Bridge 5, across Orofino Creek.","Cash, Earl",,,1905-04-17,,freight trains; railroads (infrastructure),46.482101,-116.207343,"MG 183 Hal Riegger Papers, 1981-1986",MG183_F16_046,"No Copyright. Material made available by source. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://creativecommons.org/publicdomain/mark/1.0/,Photograph,Image;Stillimage,image/jpeg,eng,http://cdm17254.contentdm.oclc.org/cdm/ref/collection/riegger/id/176,176,281.jp2,/riegger/image/281.jp2,riegger176,image,riegger176.jpg,https://objects.lib.uidaho.edu/riegger/riegger176.jpg,https://objects.lib.uidaho.edu/riegger/small/riegger176_sm.jpg,https://objects.lib.uidaho.edu/riegger/thumbs/riegger176_th.jpg,
Train Engine 684 In Missoula,Northern Pacific Train Engine 684 on exhibition at Missoula.,"Nixon, Ron",,,1953-06-14,,freight trains; railroads (infrastructure),46.90923,-113.996338,"MG 183 Hal Riegger Papers, 1981-1986",MG183_F25_033,"In Copyright – Educational Use Permitted. Digital reproduction rights assigned to University of Idaho Library by source. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,Photograph,Image;Stillimage,image/jpeg,eng,http://cdm17254.contentdm.oclc.org/cdm/ref/collection/riegger/id/177,177,408.jp2,/riegger/image/408.jp2,riegger177,image,riegger177.jpg,https://objects.lib.uidaho.edu/riegger/riegger177.jpg,https://objects.lib.uidaho.edu/riegger/small/riegger177_sm.jpg,https://objects.lib.uidaho.edu/riegger/thumbs/riegger177_th.jpg,
